
[00:00:00.000 --> 00:00:04.000]  這兩天晚上我講的信息的主題
[00:00:04.000 --> 00:00:08.000]  在這兩天晚上我講信息的主題
[00:00:08.000 --> 00:00:13.000]  是基督徒墨世觀的重整
[00:00:13.000 --> 00:00:17.000]  墨世觀的重整
[00:00:17.000 --> 00:00:20.000]  重整兩個字有一種意味在裏頭
[00:00:20.000 --> 00:00:26.000]  重整這個字有兩個特別的意味在裏頭
[00:00:26.000 --> 00:00:33.000]  那就是今天一般信仰純正的基督徒的墨世觀
[00:00:33.000 --> 00:00:36.000]  是不是完全符合聖經呢?
[00:00:36.000 --> 00:00:38.000]  再問一個問題就是
[00:00:38.000 --> 00:00:43.000]  今天我們基督徒的墨世觀是不是完全符合聖經呢?
[00:00:43.000 --> 00:00:48.000]  有沒有和聖經的信息有出入的地方呢?
[00:00:48.000 --> 00:00:52.000]  有沒有和聖經的信息有出入的地方呢?
[00:00:52.000 --> 00:00:58.000]  我們的墨世觀有沒有需要重整重新整頓的地方呢?
[00:00:58.000 --> 00:01:03.000]  我們的墨世觀有沒有需要重整或者重新整頓的需要呢?
[00:01:03.000 --> 00:01:08.000]  我相信是有些需要重整的地方
[00:01:08.000 --> 00:01:11.000]  我相信有些地方是需要的
[00:01:11.000 --> 00:01:14.000]  一般來說一般來說
[00:01:14.000 --> 00:01:19.000]  信仰純正的基督徒對墨世是完全的悲觀的
[00:01:19.000 --> 00:01:25.000]  一般信仰純正的信徒對墨世觀是完全悲觀的
[00:01:25.000 --> 00:01:30.000]  我相信大家也感受到這個事實
[00:01:30.000 --> 00:01:32.000]  我們相信大家都感受到這個事實
[00:01:32.000 --> 00:01:34.000]  一切都是越來越壞
[00:01:34.000 --> 00:01:36.000]  越來越向下
[00:01:36.000 --> 00:01:37.000]  越來越墮落
[00:01:37.000 --> 00:01:39.000]  一切的事都是越來越壞
[00:01:39.000 --> 00:01:40.000]  越來越向下
[00:01:40.000 --> 00:01:41.000]  越來越墮落
[00:01:41.000 --> 00:01:44.000]  但是聖經怎麼說的呢?
[00:01:44.000 --> 00:01:46.000]  但是聖經怎麼說呢?
[00:01:46.000 --> 00:01:50.000]  聖經的信息裏面有一個調和在裏頭
[00:01:50.000 --> 00:01:53.000]  聖經的信息裏面有一個調和的性質在裏頭
[00:01:53.000 --> 00:02:00.000]  一方面確實是告訴我們墨世的時候必有危險的日子來臨
[00:02:00.000 --> 00:02:05.000]  一方面確實的告訴我們在墨世的時候有危險的日子來臨
[00:02:05.000 --> 00:02:10.000]  聽完太后書三章第一段所說的
[00:02:10.000 --> 00:02:13.000]  再看我們後書第三章第一段所說的話
[00:02:13.000 --> 00:02:17.000]  那個墨世危險的日子是什麼危險呢?
[00:02:17.000 --> 00:02:23.000]  墨世危險的時候有什麼危險呢?
