
[00:00:00.000 --> 00:00:03.640]  我們今天一起思想的是約翰一書第一章的經文
[00:00:03.640 --> 00:00:08.000]  大家一起見開聖經約翰一書第一章
[00:00:08.000 --> 00:00:10.400]  當我預備拍攝經文的時候
[00:00:10.400 --> 00:00:13.600]  我就想起一件很多年前發生的事情
[00:00:13.600 --> 00:00:16.160]  的確是陳年的往事
[00:00:16.160 --> 00:00:19.720]  是我自己小學二年級的事情
[00:00:19.720 --> 00:00:22.160]  可以想像是很久之前的事
[00:00:22.160 --> 00:00:25.760]  我很記得當年有一個意外發生
[00:00:25.760 --> 00:00:29.640]  我自己在學校一個意外撞上一條柱子
[00:00:30.600 --> 00:00:35.240]  不知為何撞上柱子當場暈倒了
[00:00:35.240 --> 00:00:36.880]  後來有人救醒了我
[00:00:36.880 --> 00:00:38.680]  帶我進了一個班房
[00:00:38.680 --> 00:00:40.400]  我自己的班房
[00:00:40.400 --> 00:00:43.120]  老師很害怕不知道發生什麼事情
[00:00:43.120 --> 00:00:44.560]  當時我迷迷糊糊
[00:00:44.560 --> 00:00:46.960]  老師很害怕我撞壞了腦
[00:00:46.960 --> 00:00:49.520]  因此就立刻找幾條數學給我算一下
[00:00:49.520 --> 00:00:52.040]  (笑)
[00:00:52.040 --> 00:00:53.720]  很深刻的他立刻叫我
[00:00:53.720 --> 00:00:55.640]  這條數的答案是多少
[00:00:55.640 --> 00:00:58.600]  立刻叫我算數
[00:00:58.600 --> 00:01:02.160]  我迷糊當中好像大概算對了
[00:01:02.160 --> 00:01:05.800]  但那個時候他們發現我的耳朵流出血
[00:01:05.800 --> 00:01:07.720]  立刻就要送進醫院
[00:01:07.720 --> 00:01:10.960]  就要立刻檢查有沒有發生什麼事情
[00:01:10.960 --> 00:01:13.800]  那次是我人生第一次進醫院
[00:01:13.800 --> 00:01:15.240]  我爸爸來到的時候
[00:01:15.240 --> 00:01:17.280]  立刻就問醫生有關的情況
[00:01:17.280 --> 00:01:18.760]  醫生說大概沒什麼事
[00:01:18.760 --> 00:01:21.560]  不過留院觀察一天
[00:01:21.560 --> 00:01:25.440]  但醫院就不准許我父親留院照顧我
[00:01:25.440 --> 00:01:27.680]  當時我記得很小
[00:01:27.680 --> 00:01:30.120]  那晚在醫院裡面
[00:01:30.120 --> 00:01:31.640]  那間是兒童病房
[00:01:31.640 --> 00:01:33.680]  哪間醫院我也忘記了
[00:01:33.680 --> 00:01:38.360]  但我看到周圍的情景很令人驚慄
[00:01:38.360 --> 00:01:42.280]  我看到小孩子身體有畸形的情況
[00:01:42.280 --> 00:01:44.960]  有些手腳扭曲了
[00:01:44.960 --> 00:01:47.360]  有些在床上看到小朋友
[00:01:47.360 --> 00:01:48.440]  看一看 哇
[00:01:48.440 --> 00:01:50.400]  嚇一跳 因為頭很大
[00:01:50.400 --> 00:01:52.480]  身軀很小
[00:01:52.480 --> 00:01:54.440]  我走幾張床已經不敢看
