
[00:00:00.000 --> 00:00:05.240]  我們的崇拜裏面我們特別是集中看這一位的基奠
[00:00:05.240 --> 00:00:08.200]  我們透過基奠來看我們自己
[00:00:08.200 --> 00:00:10.960]  我們今天的經文除了第六章之外
[00:00:10.960 --> 00:00:13.020]  其實第六章是第八章的
[00:00:13.020 --> 00:00:14.820]  如果大家手裏面有聖經的話
[00:00:14.820 --> 00:00:19.080]  一方面你打開《事司記》的第六章開始看
[00:00:19.080 --> 00:00:22.400]  還有拿著派給大家的大綱
[00:00:22.400 --> 00:00:26.920]  這個經文我們都會大家讀出來
[00:00:26.920 --> 00:00:29.640]  不過我們盡量爭取時間
[00:00:29.640 --> 00:00:32.000]  希望可以很快的
[00:00:32.000 --> 00:00:36.640]  但是很深刻的來看看基奠這個事司
[00:00:36.640 --> 00:00:37.960]  對於事司記
[00:00:37.960 --> 00:00:39.640]  一般大英姐妹比較熟悉的
[00:00:39.640 --> 00:00:42.360]  就是另外一個事司叫做參宣
[00:00:42.360 --> 00:00:44.400]  基奠有些人都聽過
[00:00:44.400 --> 00:00:48.280]  其實基奠都很值得我們思想去研究的
[00:00:48.280 --> 00:00:54.760]  基奠也是事司記裏面第一個比較記載詳細的事司
[00:00:54.760 --> 00:00:59.240]  大家都知道是事司記的背景
[00:00:59.240 --> 00:01:01.160]  以色列人進入加拿大
[00:01:01.160 --> 00:01:03.080]  即是現在的巴勒斯坦之後
[00:01:03.080 --> 00:01:05.680]  雖然說已經進入了應許之地
[00:01:05.680 --> 00:01:08.720]  但是很急速的在信仰上墮落
[00:01:08.720 --> 00:01:12.160]  因為他們跟隨了當地的巴力
[00:01:12.160 --> 00:01:15.200]  阿斯拉這些外邦人的信仰
[00:01:15.200 --> 00:01:16.720]  離棄了耶和華
[00:01:16.720 --> 00:01:22.320]  耶和華也是讓他們接受到他們應有的遭遇
[00:01:22.320 --> 00:01:26.440]  就是當地的人比他們文化高得多的民族
[00:01:26.440 --> 00:01:29.200]  包括今天我們經常說的米殿人
[00:01:29.200 --> 00:01:30.600]  或者阿瑪力人
[00:01:30.600 --> 00:01:32.560]  甚至聖經裏面說的東方人
[00:01:32.560 --> 00:01:36.160]  即是很多那些異邦的民族本來已經住在那裏
[00:01:36.160 --> 00:01:37.640]  就給他們很多的壓力
[00:01:37.640 --> 00:01:38.960]  尤其是米殿人
[00:01:38.960 --> 00:01:41.880]  聖經記載在第六章開始
[00:01:41.880 --> 00:01:43.960]  就是以色列人行謠
[00:01:43.960 --> 00:01:45.440]  橫眼中看為惡的事
[00:01:45.440 --> 00:01:47.320]  他們是京拜偶像
[00:01:47.320 --> 00:01:53.520]  於是神就讓這些米殿人搶奪他們的財富
[00:01:53.520 --> 00:01:56.240]  欺負他們甚至殺戮他們
[00:01:56.240 --> 00:02:00.200]  所以他們落在一個很大的困苦當中
[00:02:00.200 --> 00:02:02.440]  就在這個時間
[00:02:02.440 --> 00:02:06.840]  神就呼召一個本來是寂寂無聞的人
[00:02:06.840 --> 00:02:09.600]  他就叫做基奠
[00:02:09.600 --> 00:02:11.280]  剛才我們所讀的那段聖經
[00:02:11.280 --> 00:02:12.680]  在第十一節開始
[00:02:12.680 --> 00:02:15.680]  就說到耶和華的使者來找基奠
[00:02:15.680 --> 00:02:17.880]  就好像我們每個人的人生一樣
[00:02:17.880 --> 00:02:19.960]  遲早你都有一天你會感覺到
[00:02:19.960 --> 00:02:22.400]  或者你曾經回顧你的人生
[00:02:22.400 --> 00:02:24.920]  有一些事情你沒有想過會發生的
[00:02:24.920 --> 00:02:25.920]  就發生了
[00:02:25.920 --> 00:02:27.320]  而發生了之後
[00:02:27.320 --> 00:02:29.200]  你的人生就改變
[00:02:29.200 --> 00:02:31.720]  尤其是我們有神自己生命的人
[00:02:31.720 --> 00:02:35.680]  我們知道我們有一位主宰在我們人生背後
[00:02:35.680 --> 00:02:37.400]  他有安排他有帶領
[00:02:37.400 --> 00:02:40.080]  所以其實你可能沒有估計到
[00:02:40.080 --> 00:02:41.080]  突然間發生這樣的事情
[00:02:41.080 --> 00:02:42.560]  有些事情好像很小的事情
[00:02:42.560 --> 00:02:43.960]  但是就在那時候
[00:02:43.960 --> 00:02:47.080]  神的手就已經在你的生命裡面呼召你
[00:02:47.080 --> 00:02:49.280]  剛才我們所見到的就是
[00:02:49.280 --> 00:02:53.360]  神的使者去呼召基奠的這一幕
[00:02:53.360 --> 00:02:54.920]  我們一路看下去的時候
[00:02:54.920 --> 00:02:57.400]  今天我很想分了三個部分
[00:02:57.400 --> 00:02:59.920]  和大家稍微一起來思想
[00:02:59.920 --> 00:03:02.640]  第一我們看看基奠的神怎樣呼召他
[00:03:02.640 --> 00:03:04.320]  和他接受這個呼召之後
[00:03:04.320 --> 00:03:06.160]  他的生命有什麼改變
[00:03:06.160 --> 00:03:06.760]  好不好?
[00:03:06.760 --> 00:03:07.520]  這是第一樣
[00:03:07.520 --> 00:03:08.720]  正如你和我
[00:03:08.720 --> 00:03:09.920]  可能人生裡面
[00:03:09.920 --> 00:03:11.240]  因為神的緣故
[00:03:11.240 --> 00:03:13.800]  你有了很大的改變
[00:03:13.800 --> 00:03:14.600]  第二
[00:03:14.600 --> 00:03:16.360]  我們看到這個改變成為基奠
[00:03:16.360 --> 00:03:18.400]  一路從一個平凡人
[00:03:18.400 --> 00:03:19.600]  今天我們的題目
[00:03:19.600 --> 00:03:21.600]  成為一個不平凡的人
[00:03:21.600 --> 00:03:23.560]  成為以色列人的領袖
[00:03:23.560 --> 00:03:24.760]  就是這個時思
[00:03:24.760 --> 00:03:26.240]  這個程序裡面
[00:03:26.240 --> 00:03:28.520]  他屬靈生命一路的成長
[00:03:28.520 --> 00:03:32.120]  幾個我覺得可以總結給大家的秘訣
[00:03:32.120 --> 00:03:35.120]  這些秘訣也可以成為你屬靈成長
