
[00:00:00.000 --> 00:00:06.300]  今晚這個題目是較為學術性一點
[00:00:06.300 --> 00:00:13.120]  但是我不希望純粹將它成為一個學術研討會的晚上
[00:00:13.120 --> 00:00:17.960]  其實主要因為這個部分是我今年年底
[00:00:17.960 --> 00:00:20.000]  最遲希望下年年初
[00:00:20.000 --> 00:00:23.240]  希望今年年底會出的一本書裡面最後一章
[00:00:23.240 --> 00:00:27.000]  最後一個章節裡面的四分之三
[00:00:27.000 --> 00:00:32.120]  不過當我預備今晚的時候
[00:00:32.120 --> 00:00:38.000]  我又發覺要將一個較為嚴肅的學術問題
[00:00:38.000 --> 00:00:42.400]  將它轉成一個講座是有它的困難的
[00:00:42.400 --> 00:00:46.120]  最大的困難當然第一就是資料上太多
[00:00:46.120 --> 00:00:49.400]  未必可以在這裡講完
[00:00:49.400 --> 00:00:54.720]  所以待會我講的時候可能會比較籠統的講一些看法
[00:00:54.720 --> 00:00:58.920]  但是背後有很多的根據
[00:00:58.920 --> 00:01:03.680]  有機會你買我出的那本書
[00:01:03.680 --> 00:01:06.280]  你去看 我不是在賣廣告
[00:01:06.280 --> 00:01:09.280]  你就看到裡面是引自哪裡哪裡
[00:01:09.280 --> 00:01:12.280]  哪本書什麼經典 第幾章 第幾節
[00:01:12.280 --> 00:01:13.680]  為了省時間的緣故
[00:01:13.680 --> 00:01:15.960]  有時候我不一定講完第幾章 第幾節
[00:01:15.960 --> 00:01:19.280]  甚至不會逐句在《古蘭經》裡面
[00:01:19.280 --> 00:01:22.480]  或者在《蒙門經》裡面讀出來
[00:01:22.480 --> 00:01:30.400]  第二 我也想過 也有人問過
[00:01:30.400 --> 00:01:35.400]  為什麼今晚不邀請蒙門教的代表
[00:01:35.400 --> 00:01:39.680]  邀請一位伊斯蘭教的代表上來大家一起對話呢?
[00:01:39.680 --> 00:01:42.080]  我相信這是一個很好的意見
[00:01:42.080 --> 00:01:44.280]  不過也有它的困難
[00:01:44.280 --> 00:01:47.120]  首先第一個困難就是
[00:01:47.120 --> 00:01:50.480]  這裡是基督教的教堂
[00:01:50.480 --> 00:01:56.040]  這些代表未必喜歡來這裡
[00:01:56.040 --> 00:01:57.320]  可能人家會說
[00:01:57.320 --> 00:02:02.040]  為什麼你不去愛群島伊斯蘭教協會那裡舉行呢?
[00:02:02.040 --> 00:02:03.960]  所以地點也是一個困難
[00:02:03.960 --> 00:02:04.920]  不過我來到的時候
[00:02:04.920 --> 00:02:08.480]  今晚我來到 我知道有不少的
[00:02:08.480 --> 00:02:11.040]  蒙門教的代表和朋友
[00:02:11.040 --> 00:02:14.120]  也有伊斯蘭教的代表和朋友在這裡
[00:02:14.120 --> 00:02:19.640]  他們能夠進來基督教教堂裡面聽這個講座
[00:02:19.640 --> 00:02:22.840]  對於他們來說也是一個很大的突破
[00:02:22.840 --> 00:02:24.280]  也很不容易
