
[00:00:00.000 --> 00:00:08.000]  請大家再翻回彼得前書第二章
[00:00:08.000 --> 00:00:17.000]  我們要領受的經文是第一節到第十節
[00:00:17.000 --> 00:00:22.000]  這段的經文有一個主題
[00:00:22.000 --> 00:00:28.000]  是在第二節裏面給我們清楚地看見
[00:00:28.000 --> 00:00:32.000]  第二節第二句說
[00:00:32.000 --> 00:00:36.000]  才生的嬰兒
[00:00:36.000 --> 00:00:42.000]  跟著又說因此漸長
[00:00:42.000 --> 00:00:47.000]  小孩子生下來是有了生命
[00:00:47.000 --> 00:00:51.000]  但是這個生命是幼稚的
[00:00:51.000 --> 00:00:55.000]  必須漸長
[00:00:55.000 --> 00:00:59.000]  一天天地長大
[00:00:59.000 --> 00:01:08.000]  然後才能夠得到成熟的有用的生命
[00:01:08.000 --> 00:01:13.000]  可以有作為可以有貢獻
[00:01:13.000 --> 00:01:17.000]  可以榮神益人
[00:01:17.000 --> 00:01:20.000]  天父對我們的旨意
[00:01:20.000 --> 00:01:24.000]  就是要我們不但有生命
[00:01:24.000 --> 00:01:29.000]  而且這個生命可以長進發展
[00:01:29.000 --> 00:01:35.000]  到成熟豐盛的地步
[00:01:35.000 --> 00:01:40.000]  我們願意從這段經文裏面
[00:01:40.000 --> 00:01:46.000]  看一看如何的這樣的成長
[00:01:46.000 --> 00:01:49.000]  那個路線是什麽
[00:01:49.000 --> 00:01:52.000]  那個方向是什麽
[00:01:52.000 --> 00:01:56.000]  那個過程又是什麽
[00:01:56.000 --> 00:01:59.000]  第一方面的成長
[00:01:59.000 --> 00:02:06.000]  就是從倒空到充滿
[00:02:06.000 --> 00:02:09.000]  我們看第一節
[00:02:09.000 --> 00:02:13.000]  所以你們去除去一切的惡毒詭詐
[00:02:13.000 --> 00:02:17.000]  假善嫉妒和一切毀謗的話
[00:02:17.000 --> 00:02:21.000]  所以你們去除去一切的惡毒詭詐
[00:02:21.000 --> 00:02:24.000]  並假善嫉妒和一切毀謗的話
[00:02:24.000 --> 00:02:28.000]  這裏提到五樣的事物
[00:02:28.000 --> 00:02:38.000]  都是違反天父的真善美的旨意的事物
[00:02:38.000 --> 00:02:41.000]  這些事物我們要除去
[00:02:41.000 --> 00:02:44.000]  我們要倒空
[00:02:44.000 --> 00:02:52.000]  我們從這些事物裏面轉過身來向著神
[00:02:52.000 --> 00:02:57.000]  這就是徹底的悔改
[00:02:57.000 --> 00:03:00.000]  每一個基督徒
[00:03:00.000 --> 00:03:03.000]  皈信基督的時候
[00:03:03.000 --> 00:03:09.000]  他就是人生方向的轉變
[00:03:09.000 --> 00:03:12.000]  原來是背向神
[00:03:12.000 --> 00:03:17.000]  現在轉過來面向神
[00:03:17.000 --> 00:03:22.000]  不但基本的心態改變
[00:03:22.000 --> 00:03:28.000]  而且實際的生活也跟著改變
[00:03:28.000 --> 00:03:31.000]  這是悔改
[00:03:31.000 --> 00:03:39.000]  每一個真信主的人必須經過這一步
[00:03:39.000 --> 00:03:42.000]  如果一個人沒有經過真悔改
[00:03:42.000 --> 00:03:44.000]  糊里糊塗進入教會
[00:03:44.000 --> 00:03:48.000]  有一天他會糊里糊塗離開教會
[00:03:48.000 --> 00:03:50.000]  如果有一個人沒有真正悔改
[00:03:50.000 --> 00:03:52.000]  糊里糊塗地進入教會
[00:03:52.000 --> 00:03:55.000]  有一天他也會糊里糊塗地離開教會
[00:03:55.000 --> 00:04:01.000]  如果一個人真正認識生命的主
[00:04:01.000 --> 00:04:03.000]  接受了他的生命
[00:04:03.000 --> 00:04:04.000]  接受了他的生命
[00:04:04.000 --> 00:04:06.000]  接受了他的真理
[00:04:06.000 --> 00:04:07.000]  接受了他的真理
[00:04:07.000 --> 00:04:09.000]  對於這個人來講
[00:04:09.000 --> 00:04:13.000]  天翻地覆的時候
[00:04:13.000 --> 00:04:16.000]  真理還不改變
[00:04:16.000 --> 00:04:19.000]  這個人也不改變
[00:04:19.000 --> 00:04:27.000]  這是主帶領我們走的不歸路
[00:04:27.000 --> 00:04:32.000]  跟著我們倒空以後
[00:04:32.000 --> 00:04:35.000]  就要被充滿
[00:04:35.000 --> 00:04:37.000]  被什麼充滿呢?
[00:04:37.000 --> 00:04:40.000]  第二節第一句
[00:04:40.000 --> 00:04:47.000]  就要愛慕那純淨的靈奶
[00:04:47.000 --> 00:04:51.000]  就是神的道
[00:04:51.000 --> 00:04:55.000]  這是我們的靈糧
[00:04:55.000 --> 00:04:58.000]  我們必須接受這個靈糧
[00:04:58.000 --> 00:05:01.000]  我們的屬靈的健康才能維持
