
[00:00:00.000 --> 00:00:04.080]  請看《馬太福音》第五章到第七章的經文
[00:00:04.080 --> 00:00:08.160]  大家都會知道是主耶穌的登山部分
[00:00:08.160 --> 00:00:11.240]  這段經文大家可能有一部分會比較熟
[00:00:11.240 --> 00:00:16.280]  但我們這段日子會比較集中整體地看
[00:00:16.280 --> 00:00:21.200]  在看的過程我們心裏很渴望神讓我們真實地明白
[00:00:21.200 --> 00:00:24.680]  和留心如何讓這些描述
[00:00:24.680 --> 00:00:28.840]  成為我們生命的實際和實況
[00:00:28.840 --> 00:00:32.160]  我們讀回《馬太福音》第五章一開始的時候
[00:00:32.160 --> 00:00:36.360]  聖經就說到主耶穌的情況
[00:00:36.360 --> 00:00:40.520]  耶穌看見群眾就上了山
[00:00:40.520 --> 00:00:45.320]  他坐下之後門徒來到他跟前
[00:00:45.320 --> 00:00:48.720]  在當時有很多人擁擠著
[00:00:48.720 --> 00:00:52.320]  耶穌就特別走上去山上
[00:00:52.320 --> 00:00:53.600]  可能有幾個原因
[00:00:53.600 --> 00:00:56.520]  第一 或者祂想去一些高位的地方
[00:00:56.520 --> 00:00:59.560]  比較容易向群眾說話
[00:00:59.560 --> 00:01:01.400]  又或者有其他原因就是
[00:01:01.400 --> 00:01:03.800]  祂會察覺到在群眾當中
[00:01:03.800 --> 00:01:06.920]  有一些只不過是湊熱鬧
[00:01:06.920 --> 00:01:07.840]  人家來了
[00:01:07.840 --> 00:01:11.680]  跟在一起看看有什麼好處利益都未定
[00:01:11.680 --> 00:01:14.160]  因此耶穌去到山上
[00:01:14.160 --> 00:01:16.880]  可能某些人已經不再跟上去
[00:01:16.880 --> 00:01:18.680]  但聖經特別提到
[00:01:18.680 --> 00:01:22.600]  當時門徒來到他的跟前
[00:01:22.600 --> 00:01:25.400]  耶穌就開口向他們說話
[00:01:25.400 --> 00:01:27.440]  向哪些人說話呢?
[00:01:27.440 --> 00:01:30.360]  主耶穌所要教導的對象
[00:01:30.360 --> 00:01:33.880]  主要就是這一群的門徒
[00:01:33.880 --> 00:01:35.760]  可能你會想起聖經另一處地方
[00:01:35.760 --> 00:01:39.120]  路加福音第十四章有類似的經文
[00:01:39.120 --> 00:01:40.480]  說到有一大群人
[00:01:40.480 --> 00:01:44.640]  他們都是跟隨著和耶穌同行
[00:01:44.640 --> 00:01:47.320]  在那個時候耶穌轉身向他們
[00:01:47.320 --> 00:01:48.720]  本來在前面走
[00:01:48.720 --> 00:01:53.560]  突然轉身來向著整個群眾說
[00:01:53.560 --> 00:01:56.720]  如果你們哪一個不是愛我
[00:01:56.720 --> 00:02:00.240]  過於你們的父母、妻子、兒女
[00:02:00.240 --> 00:02:02.800]  弟兄姊妹和自己的性命
[00:02:02.800 --> 00:02:06.480]  就不能作我的門徒
[00:02:06.480 --> 00:02:08.760]  這句話很震撼
[00:02:08.760 --> 00:02:10.360]  本來很開心一直跟著的時候
[00:02:10.360 --> 00:02:14.560]  突然間耶穌好像要他們想清楚
[00:02:14.560 --> 00:02:18.200]  甚至好像要趕一些人走
[00:02:18.200 --> 00:02:19.800]  是要他們清楚考慮
[00:02:19.800 --> 00:02:24.120]  你是否願意愛主多於其他人
[00:02:24.120 --> 00:02:26.120]  如果你沒有這樣的準備
[00:02:26.120 --> 00:02:29.200]  你大概不需要再跟隨
[00:02:29.200 --> 00:02:31.120]  我相信當時也有一些人
[00:02:31.120 --> 00:02:33.840]  在那個時候就離開了
[00:02:33.840 --> 00:02:36.080]  主耶穌清楚知道有些人的跟隨
[00:02:36.080 --> 00:02:40.360]  只不過可能是想得到一些好處
[00:02:40.360 --> 00:02:42.680]  或者只是湊熱鬧
[00:02:42.680 --> 00:02:44.320]  但主清楚指出
[00:02:44.320 --> 00:02:46.040]  如果你要跟隨我
[00:02:46.040 --> 00:02:49.520]  就要預備附上你自己
[00:02:49.520 --> 00:02:51.640]  放下你自己
[00:02:51.640 --> 00:02:55.080]  很明顯主在當時沒有呼召一些
[00:02:55.080 --> 00:02:58.920]  單單是口頭認順的人
[00:02:58.920 --> 00:03:02.120]  《整管四方書》不斷提到
[00:03:02.120 --> 00:03:05.920]  主耶穌呼召的對象是他的門徒
