
[00:00:00.000 --> 00:00:03.320]  在今天的經文中 我們剛才所讀的有兩段
[00:00:03.320 --> 00:00:06.000]  有些大英姐妹會特別發覺好像頗零碎
[00:00:06.000 --> 00:00:10.480]  第一章裏面的四節 跟著第四章最後那段成經
[00:00:10.480 --> 00:00:14.240]  說到很多的人名 很多零零星星的事情
[00:00:14.240 --> 00:00:16.520]  究竟有些甚麼意思呢
[00:00:16.520 --> 00:00:21.960]  今天我給這個題目是後現代的主體陳述
[00:00:21.960 --> 00:00:26.280]  生命就是如此 這般的美
[00:00:26.280 --> 00:00:29.120]  有些人會說你講甚麼
[00:00:29.120 --> 00:00:32.600]  我曾經試過用兩個不同的範疇
[00:00:32.600 --> 00:00:38.560]  兩個不同的文化思潮來理解提摩太后書的信息
[00:00:38.560 --> 00:00:42.000]  上一次用過現代
[00:00:42.000 --> 00:00:45.680]  這次用後現代
[00:00:45.680 --> 00:00:48.120]  大家不要誤會我用這些字眼的時候
[00:00:48.120 --> 00:00:51.280]  就是志在時髦 講一些新潮的東西
[00:00:51.280 --> 00:00:57.680]  不是 我只是想指出聖經神自己的說話是超乎時代
[00:00:57.680 --> 00:01:01.040]  他有現代性那種宏大的理想
[00:01:01.040 --> 00:01:07.000]  也有後現代那種個別的關懷
[00:01:07.000 --> 00:01:08.840]  在人類的歷史文明裏面
[00:01:08.840 --> 00:01:13.120]  可能這兩個是截然不同的文化衝擊的對比
[00:01:13.120 --> 00:01:17.880]  有些人說90年代開始進入後現代的世界
[00:01:17.880 --> 00:01:19.880]  在90年代以前的二三百年
[00:01:19.880 --> 00:01:24.440]  人類歷史尤其是西方發展了一個現代性的文化
[00:01:24.440 --> 00:01:27.400]  現代性的文化裏面有科技
[00:01:27.400 --> 00:01:29.520]  有各樣的理想
[00:01:29.520 --> 00:01:31.440]  最典型的就像馬克思所說的
[00:01:31.440 --> 00:01:34.720]  希望將來有一個宏大的世界
[00:01:34.720 --> 00:01:36.920]  這個世界裏面再沒有貧富懸殊
[00:01:36.920 --> 00:01:39.680]  可以各盡所能 各水所需
[00:01:39.680 --> 00:01:41.560]  多麼美麗的一個世界
[00:01:41.560 --> 00:01:43.560]  或者可以好像美國
[00:01:43.560 --> 00:01:45.560]  希望好像自由神像那樣
[00:01:45.560 --> 00:01:48.240]  有這個民主自由平等
[00:01:48.240 --> 00:01:49.920]  講了百多年
[00:01:49.920 --> 00:01:53.280]  到頭來好像一場夢一樣
[00:01:53.280 --> 00:01:55.040]  夢幻破滅
[00:01:55.040 --> 00:01:59.320]  進入了90年代一個全球化資本主義的時代
[00:01:59.320 --> 00:02:04.120]  人得到的並不是更多的美麗的共同的理想
[00:02:04.120 --> 00:02:06.000]  而是更多的戰爭
[00:02:06.000 --> 00:02:08.920]  更多的混亂 更多的失落
[00:02:08.920 --> 00:02:12.480]  人類開始進入一個我們叫後現代的反動的時代
[00:02:12.480 --> 00:02:17.000]  後現代的思潮已經再不相信有人有宏大的美夢
[00:02:17.000 --> 00:02:20.760]  我們曾經都會留意到
[00:02:20.760 --> 00:02:24.400]  我們小朋友 小朋友90年代長大的一群
[00:02:24.400 --> 00:02:28.120]  我們所看的MTV Music TV
[00:02:28.120 --> 00:02:30.520]  沒有一幅圖片是完整的
[00:02:30.520 --> 00:02:32.160]  全部都是零零碎碎
[00:02:32.160 --> 00:02:35.960]  代表他們內心的世界是支離破碎
[00:02:35.960 --> 00:02:39.280]  變幻 沒有再一個完整的理想
[00:02:39.280 --> 00:02:42.200]  沒有一個完整的意義
[00:02:42.200 --> 00:02:45.160]  但是進入後現代的世界的時候
[00:02:45.160 --> 00:02:50.320]  是不是只有一個懷疑反動的思潮呢?
[00:02:50.320 --> 00:02:53.280]  上一次我們特別說到在聖經裏面
[00:02:53.280 --> 00:02:54.720]  保羅提醒我們
[00:02:54.720 --> 00:02:56.360]  在一個後現代世界裏面
[00:02:56.360 --> 00:02:58.040]  我們基督徒因為有神
[00:02:58.040 --> 00:02:59.200]  因為有耶穌基督
[00:02:59.200 --> 00:03:00.440]  我們有神的國
[00:03:00.440 --> 00:03:02.920]  我們是不需要好像後現代的人
[00:03:02.920 --> 00:03:06.440]  將我們的世界 將我們的夢幻全部放下
[00:03:06.440 --> 00:03:09.400]  我們仍然有永恆的盼望
[00:03:09.400 --> 00:03:11.800]  所以我們好像保羅所說的話
[00:03:11.800 --> 00:03:14.280]  我們可以一生仍然不枉過
[00:03:14.280 --> 00:03:17.640]  我們前面見到有公義的冠冕為我們存留
[00:03:17.640 --> 00:03:19.200]  我們可以很大膽的說
[00:03:19.200 --> 00:03:20.880]  我們一生無憾無悔
[00:03:20.880 --> 00:03:23.400]  因為我們美好的仗我們可以打過
[00:03:23.400 --> 00:03:25.200]  當跑過路我們跑盡
[00:03:25.200 --> 00:03:27.080]  當守的真理我們守過
[00:03:27.080 --> 00:03:29.920]  從此以後我生命也都無憾
[00:03:29.920 --> 00:03:31.920]  結果一個宏大的理想
[00:03:31.920 --> 00:03:34.840]  不會因為時代的改變而消失
[00:03:34.840 --> 00:03:36.880]  今天我們進入另外一個層次
[00:03:36.880 --> 00:03:38.320]  是說到後現代
[00:03:38.320 --> 00:03:40.320]  後現代當然剛才我們提過
[00:03:40.320 --> 00:03:41.880]  似乎是比較負面的
[00:03:41.880 --> 00:03:44.400]  後現代的思潮比較多是反動的
[00:03:44.400 --> 00:03:48.840]  比較多是強調那種無意義的思想
[00:03:48.840 --> 00:03:50.240]  和生活方式
[00:03:50.240 --> 00:03:52.920]  但是其實後現代有它一個很獨特的
[00:03:52.920 --> 00:03:53.960]  貢獻的地方
[00:03:53.960 --> 00:03:56.560]  它之所以能夠反現代化
[00:03:56.560 --> 00:03:59.280]  是因為它這種思潮很強調
[00:03:59.280 --> 00:04:02.400]  現代世界雖然很宏大
[00:04:02.400 --> 00:04:04.760]  但是其實這個宏大的背後
[00:04:04.760 --> 00:04:07.680]  犧牲了很多個別的生命
[00:04:07.680 --> 00:04:09.760]  其實每一個人的生命
[00:04:09.760 --> 00:04:11.200]  都是有它自己的故事
[00:04:11.200 --> 00:04:13.000]  沒有人可以取代
[00:04:13.000 --> 00:04:14.840]  有它自己的眼淚
[00:04:14.840 --> 00:04:16.600]  有它的歡笑
[00:04:16.600 --> 00:04:18.000]  有它的美麗
[00:04:18.000 --> 00:04:19.760]  有它的痛楚
[00:04:19.760 --> 00:04:22.960]  不會因為偉大的宏願而消失的
[00:04:22.960 --> 00:04:24.400]  在一個現代化的世界裏面
[00:04:24.400 --> 00:04:27.480]  很多時候我們發覺我們就感受不到這種
[00:04:27.480 --> 00:04:30.760]  大家都很熟悉那套電影叫做Dr. Zhivago
[00:04:30.760 --> 00:04:32.720]  齊瓦戈醫生裏面就是這樣
[00:04:32.720 --> 00:04:35.760]  在一個偉大的宏大的革命裏面
[00:04:35.760 --> 00:04:37.880]  俄國、蘇聯的革命當中
[00:04:37.880 --> 00:04:40.320]  每一個人只不過是一個號碼
[00:04:40.320 --> 00:04:42.000]  對於控訴這件事
[00:04:42.000 --> 00:04:43.280]  每一個生命
[00:04:43.280 --> 00:04:48.560]  其實都是一個有血有肉的故事
[00:04:48.560 --> 00:04:51.640]  所以後現代的世界很喜歡講故事
[00:04:51.640 --> 00:04:54.960]  不再喜歡講那些宏大的理論的篇章
