
[00:00:00.000 --> 00:00:03.640]  今天所牽涉的大部分都是神的全能問題
[00:00:03.640 --> 00:00:09.840]  神是無所不能 無所不知 無所不在 和全善
[00:00:09.840 --> 00:00:14.120]  其實這四個就是神最難理解的四個屬性
[00:00:14.120 --> 00:00:16.120]  當然神的屬性還有很多
[00:00:16.120 --> 00:00:19.520]  神是公義的 神是聖潔的
[00:00:19.520 --> 00:00:24.240]  這些就是我們比較能夠了解多一點的
[00:00:24.240 --> 00:00:26.240]  就是容易明白一點的
[00:00:26.240 --> 00:00:31.440]  但關於神是無所不能 無所不在 無所不知 和絕對的善
[00:00:31.440 --> 00:00:36.040]  這幾樣的屬性就是我們比較難處理的
[00:00:36.040 --> 00:00:39.960]  今天我們會處理神的無所不能問題
[00:00:39.960 --> 00:00:42.800]  下一節我們會處理神的無所不知
[00:00:42.800 --> 00:00:45.200]  我還沒有考慮到 如果時間夠的話
[00:00:45.200 --> 00:00:46.520]  我估計可能夠的話
[00:00:46.520 --> 00:00:49.000]  我們會和大家處理神的無所不在
[00:00:49.000 --> 00:00:51.680]  這三個最主要的屬性的問題
[00:00:51.680 --> 00:00:54.240]  我們一起先低頭圖圖圖
[00:00:54.240 --> 00:00:56.240]  我們主要是我們的神
[00:00:56.240 --> 00:00:59.440]  每當我們思想到你的時候
[00:00:59.440 --> 00:01:02.760]  我們就感覺到一份驚訝
[00:01:02.760 --> 00:01:09.080]  感覺到我們在你面前智力上的不足
[00:01:09.080 --> 00:01:13.640]  將會想到你自己的全能
[00:01:13.640 --> 00:01:15.640]  你自己的全善
[00:01:15.640 --> 00:01:17.640]  你自己的存在
[00:01:17.640 --> 00:01:20.640]  你自己的全知
[00:01:20.640 --> 00:01:23.040]  主要是每一個的觀念
[00:01:23.040 --> 00:01:26.040]  每一個屬於你自己最偉大的屬性
[00:01:26.040 --> 00:01:29.640]  主要是我們人體這麼有限 沒辦法打壓
[00:01:29.640 --> 00:01:35.040]  懇求主今天讓我們盡我們一點力量去明白你
[00:01:35.040 --> 00:01:38.840]  以致我們對於你在我們生命當中的掌管
[00:01:38.840 --> 00:01:41.240]  在我們生命當中的預定
[00:01:41.240 --> 00:01:44.040]  在我們生命當中所彰顯的能力
[00:01:44.040 --> 00:01:47.640]  有多一份的信服和接受的時候
[00:01:47.640 --> 00:01:52.640]  懇求聖靈真是今天帶領我們進入屬於你自己的真理當中
[00:01:52.640 --> 00:01:57.640]  主如果不是你自己的靈教導我們屬於你自己的真理
[00:01:57.640 --> 00:02:02.240]  主我們只能在門外觀看周圍的盲目的摸索
[00:02:02.240 --> 00:02:04.240]  沒人能明白你
[00:02:04.240 --> 00:02:07.040]  求主憐憫我們今晚的時間
[00:02:07.040 --> 00:02:08.640]  賜智慧給我們
[00:02:08.640 --> 00:02:11.640]  特別是那個敬畏你自己的智慧給我們
[00:02:11.640 --> 00:02:13.640]  奉耶穌的名祈禱
[00:02:13.640 --> 00:02:17.640]  關於神的全能
[00:02:17.640 --> 00:02:23.640]  Omnipotence 神的全能是拉丁文轉過來的
[00:02:23.640 --> 00:02:27.640]  Omni 是絕對或者擁有一切的意思
[00:02:27.640 --> 00:02:31.640]  Potent 這個字就是一個能力的意思
[00:02:31.640 --> 00:02:35.640]  Potential 英文譯作Power
[00:02:35.640 --> 00:02:41.640]  這個觀念當然引申有相當多複雜的神學問題
[00:02:41.640 --> 00:02:46.640]  但我綜觀整個神學歷史和道賢金哲學的討論裏
[00:02:46.640 --> 00:02:50.640]  我相信主要都是集中在三個大問題上
[00:02:50.640 --> 00:02:56.640]  第一就是神因為他的無所不能絕對有能力的緣故
[00:02:56.640 --> 00:03:00.640]  牽涉到預定論的問題
[00:03:00.640 --> 00:03:04.640]  預定我們得救或者不得救的問題
[00:03:04.640 --> 00:03:23.640]  第二就是神的絕對能力牽涉到神對整個世界歷史和我們人生裏面發生的每一件事件的掌管和照顧和保守的問題
[00:03:23.640 --> 00:03:30.640]  第三就是在哲學上對神的全能這個觀念有一個很強的質疑
[00:03:30.640 --> 00:03:38.640]  特別是哲學家一直以來都質疑這個全能的觀念本身是具有矛盾性的
[00:03:38.640 --> 00:03:41.640]  既然有矛盾性就不可能成立
[00:03:41.640 --> 00:03:44.640]  不可能有這樣的觀念的時候
[00:03:44.640 --> 00:03:50.640]  加諸於神的身上就變成神擁有一種本身自相矛盾的性格
[00:03:50.640 --> 00:03:56.640]  當然比較具有代表性的一直以來都是用一個說法
[00:03:56.640 --> 00:04:02.640]  神能不能做一塊石頭重到他自己搬不起來的說法作為一個論點
[00:04:02.640 --> 00:04:06.640]  今天我們希望正正式式面對這個問題
[00:04:06.640 --> 00:04:12.640]  通常我們報道會或者傳播會都是靠氣勢帶過去
[00:04:12.640 --> 00:04:16.640]  聲音大的時候就加兩個見證解決問題
[00:04:16.640 --> 00:04:21.640]  問題還沒解決的我們今天嘗試比較理性冷靜的想想這個問題
[00:04:21.640 --> 00:04:25.640]  怎樣去處理 我相信這三樣東西解決了
[00:04:25.640 --> 00:04:29.640]  我不覺得一定能解決的 因為關於神自己本身的問題
[00:04:29.640 --> 00:04:32.640]  終極可能沒辦法完全令你滿意的解決
[00:04:32.640 --> 00:04:38.640]  因為理性去到那個限度就一定有些困難
