
[00:00:00.000 --> 00:00:02.920]  大家再看一看聖經的羅馬書
[00:00:02.920 --> 00:00:05.520]  我們剛才讀過的第一章經文
[00:00:05.520 --> 00:00:13.320]  聖經這一段經文裏面有很多豐富的信息
[00:00:13.320 --> 00:00:16.320]  但今天特別留意的是聖經提及
[00:00:16.320 --> 00:00:19.920]  一個很重要的教徒的身份
[00:00:19.920 --> 00:00:21.600]  這是甚麼身份呢?
[00:00:21.600 --> 00:00:24.000]  大家看第一章第一節
[00:00:25.400 --> 00:00:32.800]  耶穌的僕人保羅夢照作使徒 奉派全神的福音
[00:00:32.800 --> 00:00:36.800]  保羅一開始就提及到他的身份
[00:00:36.800 --> 00:00:40.600]  他是夢神所呼召成為使徒
[00:00:40.600 --> 00:00:42.800]  使徒按聖經所提及的
[00:00:42.800 --> 00:00:47.000]  這裏所說和十二個使徒的身份是一樣的
[00:00:47.000 --> 00:00:51.800]  是同樣的一個夢照作使徒的身份
[00:00:51.800 --> 00:00:57.400]  而這個身份不是因為保羅有甚麼特殊的條件
[00:00:57.400 --> 00:01:00.000]  所以神要揀選他
[00:01:00.000 --> 00:01:05.000]  他很清楚地說出這個身份是因為神的恩惠
[00:01:05.000 --> 00:01:07.200]  聖經格拉太書第一章都提及
[00:01:07.200 --> 00:01:11.800]  「神施恩 呼召我」
[00:01:11.800 --> 00:01:15.800]  在這章經文第一章第五節
[00:01:15.800 --> 00:01:22.600]  保羅提及「我命從他領受了恩典和使徒的積分」
[00:01:22.600 --> 00:01:26.200]  呼召和恩典是連在一起的
[00:01:26.200 --> 00:01:29.200]  他很清楚地知道是神出於他的恩惠
[00:01:29.200 --> 00:01:32.200]  所以呼召他作使徒
[00:01:32.200 --> 00:01:35.400]  而作使徒有一個清楚的目標
[00:01:35.400 --> 00:01:38.200]  是將福音傳給外邦人
[00:01:38.200 --> 00:01:41.800]  是保羅清楚地知道神對他的心意
[00:01:41.800 --> 00:01:43.800]  對他的計劃
[00:01:43.800 --> 00:01:49.000]  因此你發覺呼召裏面是含有神對人的計劃
[00:01:49.000 --> 00:01:54.000]  是神的心意要我們在當中得著
[00:01:54.000 --> 00:01:55.800]  當保羅再說的時候
[00:01:55.800 --> 00:01:57.800]  他說到不單止是他自己
[00:01:57.800 --> 00:02:01.600]  所有信主的人同樣領受呼召
[00:02:01.600 --> 00:02:06.000]  大家再讀下去 下面第六節
[00:02:06.000 --> 00:02:11.600]  「其中也有你們這夢耶穌基督所召的人」
[00:02:11.600 --> 00:02:13.600]  是夢主所召的
[00:02:13.600 --> 00:02:18.600]  或者剛才你可能留意和合本有一個翻譯
[00:02:18.600 --> 00:02:24.200]  「其中也有你們這夢召屬耶穌基督的人」
[00:02:24.200 --> 00:02:26.600]  我相信和合本更加將裏面的
[00:02:26.600 --> 00:02:29.600]  豐富含義說得清楚
[00:02:29.600 --> 00:02:32.200]  我們是夢神的呼召
[00:02:32.200 --> 00:02:35.600]  是歸屬於耶穌基督的
[00:02:35.600 --> 00:02:37.000]  不單單是一個身份
[00:02:37.000 --> 00:02:39.000]  更加是一種關係
[00:02:39.000 --> 00:02:42.000]  亦都是生命最核心的部份
[00:02:42.000 --> 00:02:45.800]  我們是屬於這位創造主
[00:02:45.800 --> 00:02:48.600]  是歸屬於他的名下
[00:02:48.600 --> 00:02:52.600]  這是神父召我們一個很清楚的目標
[00:02:52.600 --> 00:02:57.200]  召我們成為屬於基督的人
[00:02:57.200 --> 00:03:02.200]  這種屬於同時包含了一種很重要的方向
[00:03:02.200 --> 00:03:04.400]  在第七節說
[00:03:04.400 --> 00:03:07.800]  「我寫信給各位住在羅馬
[00:03:07.800 --> 00:03:09.600]  為神所愛
[00:03:09.600 --> 00:03:12.200]  夢召作甚麼?
[00:03:12.200 --> 00:03:15.000]  聖徒的人」
[00:03:15.000 --> 00:03:18.400]  同樣神父召我們作聖徒
[00:03:18.400 --> 00:03:23.400]  我們常常說聖潔在聖經的意思就是分別出來
[00:03:23.400 --> 00:03:24.400]  是分別出來
[00:03:24.400 --> 00:03:26.600]  從這個世界分別出來
[00:03:26.600 --> 00:03:28.800]  是歸屬於神
[00:03:28.800 --> 00:03:32.200]  亦都是從這個罪惡的世界分別出來
[00:03:32.200 --> 00:03:34.400]  成為聖徒
[00:03:34.400 --> 00:03:36.200]  是聖潔的
[00:03:36.200 --> 00:03:38.600]  是屬於神的
[00:03:38.600 --> 00:03:41.200]  因此當我們領受這個呼召的時候
[00:03:41.200 --> 00:03:45.600]  不是說神呼召我們如今領受救恩
[00:03:45.600 --> 00:03:48.600]  就等於我們今天如常生活
[00:03:48.600 --> 00:03:51.000]  等待上天堂
[00:03:51.000 --> 00:03:53.600]  沒錯 神影響我們天堂的恩惠
[00:03:53.600 --> 00:03:56.000]  但更加比我們人生今天
[00:03:56.000 --> 00:04:00.400]  有一個很清晰的方向和目的
[00:04:00.400 --> 00:04:02.600]  神對我們人生有一個計劃
[00:04:02.600 --> 00:04:09.000]  要我們行在一條聖潔的路上作聖徒
[00:04:09.000 --> 00:04:11.800]  而因為救恩在我們生命裏面
