
[00:00:00.000 --> 00:00:02.540]  大家留意到這個季度
[00:00:02.540 --> 00:00:07.300]  提到聖靈的喜樂和召命的人生
[00:00:07.300 --> 00:00:08.780]  而這個月份
[00:00:08.780 --> 00:00:10.940]  我們大家都留意到在今句裏面
[00:00:10.940 --> 00:00:12.940]  我們有一節熟悉的經文
[00:00:12.940 --> 00:00:16.180]  亦都是今日所讀的《馬太方案》第十六章
[00:00:16.180 --> 00:00:18.180]  其中的二十四節
[00:00:18.180 --> 00:00:20.680]  這節經文這樣說
[00:00:20.680 --> 00:00:23.940]  若有人要跟從我
[00:00:23.940 --> 00:00:26.140]  就當捨己
[00:00:26.780 --> 00:00:30.300]  背起他的十字架來跟從我
[00:00:30.300 --> 00:00:33.780]  是我們熟悉的一句聖經
[00:00:33.780 --> 00:00:39.780]  但似乎是我們比較少很認真地去想
[00:00:39.780 --> 00:00:42.780]  究竟我們怎樣能夠真實地
[00:00:42.780 --> 00:00:45.580]  遵行主給我們的吩咐
[00:00:45.580 --> 00:00:48.180]  究竟應至聖經所說
[00:00:48.180 --> 00:00:50.180]  甚麼叫做捨己
[00:00:50.180 --> 00:00:54.180]  甚麼叫做背起自己的十字架跟從主
[00:00:54.980 --> 00:00:57.380]  很值得我們去深思
[00:00:57.380 --> 00:01:00.780]  亦都不斷地去問我自己
[00:01:00.780 --> 00:01:05.180]  怎樣能夠可以捨己背起十字架跟從主
[00:01:05.180 --> 00:01:07.380]  不單止是熟悉的
[00:01:07.380 --> 00:01:09.380]  甚至是識背誦的經文
[00:01:09.380 --> 00:01:11.380]  而可以真是
[00:01:11.380 --> 00:01:15.980]  去表達出我們生命的實況的經文
[00:01:15.980 --> 00:01:18.780]  我們都這樣要求神引領我們
[00:01:18.780 --> 00:01:21.980]  聖經在世述六章第二十一節之前
[00:01:21.980 --> 00:01:23.980]  大家會留意到當時
[00:01:24.580 --> 00:01:27.580]  聖經裏面提到主耶穌很快
[00:01:27.580 --> 00:01:30.980]  會來面對他的苦難
[00:01:30.980 --> 00:01:33.980]  他由門徒確認他自己的身份
[00:01:33.980 --> 00:01:37.580]  就是他是基督永生神的兒子
[00:01:37.580 --> 00:01:40.980]  當門徒確認這個身份的時候
[00:01:40.980 --> 00:01:44.980]  他就隨即講述他自己將會受苦的事情
[00:01:44.980 --> 00:01:47.580]  之前他不會講述這方面
[00:01:47.580 --> 00:01:51.580]  直至人知道確認他是基督
[00:01:51.580 --> 00:01:53.580]  是神的兒子之後
[00:01:53.980 --> 00:01:55.980]  聖經就說在二十一節
[00:01:55.980 --> 00:01:57.980]  從那時起
[00:01:57.980 --> 00:02:00.580]  耶穌就開始向門徒指出
[00:02:00.580 --> 00:02:02.980]  他必須往耶路撒冷去受長老
[00:02:02.980 --> 00:02:06.580]  祭司長和經學家許多的苦害
[00:02:06.580 --> 00:02:09.580]  並且被殺第三天復活
[00:02:09.580 --> 00:02:12.780]  主耶穌要面對著苦難
[00:02:12.780 --> 00:02:14.380]  面對著死亡
[00:02:14.380 --> 00:02:18.580]  受到長老 祭司長和經學家的苦害
[00:02:18.580 --> 00:02:20.780]  這三種人物
[00:02:20.780 --> 00:02:25.780]  亦是當時猶太人最高的公會領導
[00:02:25.780 --> 00:02:30.180]  長老是一些民間領袖
[00:02:30.180 --> 00:02:32.180]  不是屬於教會的領袖
[00:02:32.180 --> 00:02:35.180]  而祭司長和經學家
[00:02:35.180 --> 00:02:38.180]  他們都代表著一些宗教的領袖
[00:02:38.180 --> 00:02:40.980]  他們要受這些人
[00:02:40.980 --> 00:02:44.380]  他們會帶給耶穌基督的苦難和死亡
[00:02:44.380 --> 00:02:46.580]  或者我們可以理解
[00:02:46.580 --> 00:02:47.780]  這三種人
[00:02:47.780 --> 00:02:51.780]  也都象徵著在那個時代裏面的世界的價值
[00:02:51.780 --> 00:02:53.380]  世界的權勢
[00:02:53.380 --> 00:02:56.380]  所帶來給基督的苦難
[00:02:56.380 --> 00:03:00.780]  或者說帶來給基督的跟隨者的苦難
[00:03:00.780 --> 00:03:04.380]  耶穌很清楚直接地講述
[00:03:04.380 --> 00:03:07.380]  我會面對著這些苦難
[00:03:07.380 --> 00:03:09.380]  但同時他會指出
[00:03:09.380 --> 00:03:12.380]  他被殺之後第三天要復活
[00:03:12.380 --> 00:03:14.780]  當耶穌這樣講的時候
[00:03:14.780 --> 00:03:17.380]  彼得不能夠接受這個事實
[00:03:17.780 --> 00:03:20.380]  大家會記得他當時就立刻說
[00:03:20.380 --> 00:03:23.380]  他說:主啊!千萬不可這樣
[00:03:23.380 --> 00:03:26.380]  這事一定不會發生在你身上
[00:03:26.380 --> 00:03:30.380]  彼得所說的話包含了一個意思
[00:03:30.380 --> 00:03:34.380]  就是說其實神對你有仁慈
[00:03:34.380 --> 00:03:39.380]  祂是不會讓一件事發生在你身上的
[00:03:39.380 --> 00:03:43.380]  很自然的一種回應
[00:03:43.380 --> 00:03:46.380]  彼得其實體貼耶穌
[00:03:46.380 --> 00:03:48.380]  但是他所說的話
[00:03:48.380 --> 00:03:51.380]  只是從一個人的角度去了解
[00:03:51.380 --> 00:03:54.380]  希望自己所愛的夫子
[00:03:54.380 --> 00:03:56.380]  能夠避開一些苦難
[00:03:56.380 --> 00:03:59.380]  不用受一些身體的苦楚
[00:03:59.380 --> 00:04:00.380]  但是耶穌的回應
[00:04:00.380 --> 00:04:03.380]  讓我們察覺到一件很重要的事情
[00:04:03.380 --> 00:04:04.380]  大家留意到
[00:04:04.380 --> 00:04:06.380]  下面主耶穌所說
[00:04:06.380 --> 00:04:09.380]  撒旦推到我後面去罷
[00:04:09.380 --> 00:04:11.380]  你是叛倒我的
[00:04:11.380 --> 00:04:13.380]  因為你不思念
[00:04:13.380 --> 00:04:15.380]  或者說不體貼神的事
[00:04:15.380 --> 00:04:18.380]  只是思念人的事情
[00:04:18.380 --> 00:04:24.380]  祂只是能夠去思念人的事情
[00:04:24.380 --> 00:04:27.380]  而耶穌就直接說
[00:04:27.380 --> 00:04:30.380]  你是撒旦代表的說話
[00:04:30.380 --> 00:04:34.380]  大家可能會想起當主耶穌說的時候
[00:04:34.380 --> 00:04:36.380]  曾經祂說過類似的話
[00:04:36.380 --> 00:04:38.380]  向誰說?
[00:04:38.380 --> 00:04:39.380]  向撒旦說
[00:04:39.380 --> 00:04:44.380]  在《瑪特芬第四章》當主耶穌面對試探的時候
[00:04:44.380 --> 00:04:49.380]  大家記得當時撒旦帶領耶穌去到一個高山的地方
[00:04:49.380 --> 00:04:50.380]  然後跟祂說
[00:04:50.380 --> 00:04:52.380]  祢只要俯伏敬拜我
[00:04:52.380 --> 00:05:00.380]  我就將世上的萬國和萬國的榮耀都賜給你
[00:05:00.380 --> 00:05:03.380]  但是主耶穌當時就馬上說
[00:05:03.380 --> 00:05:06.380]  撒旦,退去吧
[00:05:06.380 --> 00:05:11.380]  當拜主你的神,丹瑤是逢甲
[00:05:12.380 --> 00:05:14.380]  主耶穌很直接地告訴他
[00:05:14.380 --> 00:05:17.380]  當拜主的,你的神
[00:05:17.380 --> 00:05:20.380]  沒有其他是你敬拜的對象
[00:05:20.380 --> 00:05:25.380]  當人內心裡面只是思念著這個世界的榮華
[00:05:25.380 --> 00:05:30.380]  或者說我們自己自身的身體的安殊
[00:05:30.380 --> 00:05:32.380]  甚至是我們自己個人
[00:05:32.380 --> 00:05:33.380]  我們自己的前度
[00:05:33.380 --> 00:05:38.380]  整個心思只是集中在這些事上的時候
[00:05:38.380 --> 00:05:41.380]  他不能夠去體貼神的意思
[00:05:42.380 --> 00:05:43.380]  而在那個時候
[00:05:43.380 --> 00:05:46.380]  不知不覺就掉進了撒旦的陷阱
[00:05:46.380 --> 00:05:49.380]  或者進入了撒旦的陣營裡面
[00:05:49.380 --> 00:05:50.380]  因此一句話
[00:05:50.380 --> 00:05:52.380]  主耶穌來得很直接
[00:05:52.380 --> 00:05:56.380]  撒旦,退我後面去吧
[00:05:56.380 --> 00:06:00.380]  何時一個人就像彼得那樣
[00:06:00.380 --> 00:06:03.380]  他是一個主所愛的門徒
[00:06:03.380 --> 00:06:09.380]  剛才還剛剛承認到主耶穌的一種屬靈的身份
[00:06:09.380 --> 00:06:12.380]  宣告主耶穌那種屬靈的地位
[00:06:12.380 --> 00:06:14.380]  但是很片刻之間
[00:06:14.380 --> 00:06:17.380]  他就突然間將心思不自覺地
[00:06:17.380 --> 00:06:19.380]  集中在人的身上
[00:06:19.380 --> 00:06:22.380]  而進入了撒旦的陣營
[00:06:22.380 --> 00:06:25.380]  弟兄姊妹,當我們讀這幾句話的時候
[00:06:25.380 --> 00:06:29.380]  我們都常常想起一個事實
[00:06:29.380 --> 00:06:32.380]  就是無論你在屬靈的什麼階段
[00:06:32.380 --> 00:06:34.380]  什麼狀況
[00:06:34.380 --> 00:06:38.380]  留意你自己所關注的
[00:06:38.380 --> 00:06:43.380]  人生很多的抉擇所倚重的是什麼
[00:06:43.380 --> 00:06:47.380]  只是關心自己的一些事
