
[00:00:00.000 --> 00:00:02.560]  大家都留意到我們這個季度
[00:00:02.560 --> 00:00:06.560]  一直思想有關聖經裏面團契生活的真理
[00:00:06.560 --> 00:00:09.360]  而今日我們特別思想的是在末日
[00:00:09.360 --> 00:00:10.960]  在末世的時候
[00:00:10.960 --> 00:00:14.240]  我們如何能夠按照神給我們的恩賜
[00:00:14.240 --> 00:00:16.240]  來彼此的服侍
[00:00:16.240 --> 00:00:18.960]  當說到末世的時候
[00:00:18.960 --> 00:00:20.960]  大家都會很熟悉的
[00:00:20.960 --> 00:00:23.840]  就是聖經上上許多處的篇幅
[00:00:23.840 --> 00:00:27.360]  是講述到有一天主耶穌會再回來
[00:00:27.360 --> 00:00:29.680]  祂再回來的時候
[00:00:29.680 --> 00:00:33.120]  要審判萬有
[00:00:33.120 --> 00:00:36.240]  亦都要更新整個大地
[00:00:36.240 --> 00:00:37.840]  當然主耶穌回來的時候
[00:00:37.840 --> 00:00:39.760]  有沒有什麼預兆
[00:00:39.760 --> 00:00:41.760]  是我們很想知道的
[00:00:41.760 --> 00:00:44.240]  當主耶穌在地上的時候
[00:00:44.240 --> 00:00:47.120]  一班門徒圍集在耶穌面前問
[00:00:47.120 --> 00:00:49.280]  主耶穌祢再回來的時候
[00:00:49.280 --> 00:00:51.840]  這個世界結局的時候
[00:00:51.840 --> 00:00:54.240]  有什麼預兆呢
[00:00:54.240 --> 00:00:57.040]  主耶穌說了很多讓他們知道
[00:00:57.040 --> 00:00:59.600]  而其中一點是我們上上提及的
[00:00:59.600 --> 00:01:01.600]  就是在末世的時候
[00:01:01.600 --> 00:01:04.400]  一個國家要攻打另一個國家
[00:01:04.400 --> 00:01:06.880]  一個民族要攻打另一個民族
[00:01:06.880 --> 00:01:10.240]  很多地方會有戰爭的事情
[00:01:10.240 --> 00:01:13.440]  主耶穌又說在末世的時候
[00:01:13.440 --> 00:01:16.080]  整個大地有一些變化
[00:01:16.080 --> 00:01:22.240]  其中包括了多處必有饑荒和地震
[00:01:22.240 --> 00:01:23.920]  當然我們都知道
[00:01:23.920 --> 00:01:26.400]  周圍都有很多饑荒地震的事情
[00:01:26.400 --> 00:01:29.760]  但如果你再稍稍留意一下
[00:01:29.760 --> 00:01:33.920]  你會發覺這些饑荒地震的頻密度
[00:01:33.920 --> 00:01:38.000]  是不斷不斷增加的
[00:01:38.000 --> 00:01:39.840]  如果說回饑荒
[00:01:39.840 --> 00:01:41.280]  大家如果留意的時候
[00:01:41.280 --> 00:01:44.000]  你會發覺報紙經常講述這些事情
[00:01:44.000 --> 00:01:46.400]  但你可能都未必會留意
[00:01:46.400 --> 00:01:49.440]  就是今天這個時代的饑荒問題
[00:01:49.440 --> 00:01:53.520]  是歷代最嚴重的一個階段
[00:01:53.520 --> 00:01:56.160]  你說現在社會這麼多的發展
[00:01:56.160 --> 00:01:57.840]  這麼多科技昌明的
[00:01:57.840 --> 00:02:00.240]  很多新的一些發明
[00:02:00.240 --> 00:02:02.560]  應該去解決糧食問題
[00:02:02.560 --> 00:02:04.400]  但偏偏在這個時代
[00:02:04.400 --> 00:02:07.680]  糧食問題是最嚴重的問題
[00:02:07.680 --> 00:02:09.520]  最近一些調查提到
[00:02:09.520 --> 00:02:13.040]  在全世界特別在亞洲和非洲
[00:02:13.040 --> 00:02:16.400]  極多的地區是有嚴重的饑荒
[00:02:16.400 --> 00:02:18.400]  其中四個國家裡面的
