
[00:00:00.000 --> 00:00:02.000]  今天也是一個很特別的日子
[00:00:02.000 --> 00:00:04.000]  就是一個
[00:00:04.000 --> 00:00:06.000]  三十晚
[00:00:06.000 --> 00:00:08.000]  就是明天年初一
[00:00:08.000 --> 00:00:10.000]  在中國人來說
[00:00:10.000 --> 00:00:12.000]  這個也是相當
[00:00:12.000 --> 00:00:14.000]  重要的一個日子
[00:00:14.000 --> 00:00:16.000]  在中國人來說
[00:00:16.000 --> 00:00:18.000]  為什麼會有新年呢?
[00:00:18.000 --> 00:00:20.000]  我曾經看過一些資料
[00:00:20.000 --> 00:00:22.000]  都有不同的
[00:00:22.000 --> 00:00:24.000]  說法
[00:00:24.000 --> 00:00:26.000]  有些說是龍奸的年代
[00:00:26.000 --> 00:00:28.000]  所以要看一些
[00:00:28.000 --> 00:00:30.000]  節日
[00:00:30.000 --> 00:00:32.000]  所以叫春節
[00:00:32.000 --> 00:00:34.000]  因為一些龍奸的社會
[00:00:34.000 --> 00:00:36.000]  也有一些比較
[00:00:36.000 --> 00:00:38.000]  年瘦
[00:00:38.000 --> 00:00:40.000]  廣州的年瘦
[00:00:40.000 --> 00:00:42.000]  有很多不同的說法
[00:00:42.000 --> 00:00:44.000]  為什麼會有新年呢?
[00:00:44.000 --> 00:00:46.000]  有些說是周朝以前已經有了
[00:00:46.000 --> 00:00:48.000]  都很遠的
[00:00:48.000 --> 00:00:50.000]  但是我想到現在
[00:00:50.000 --> 00:00:52.000]  我想大部分
[00:00:52.000 --> 00:00:54.000]  我們都會有一個習慣
[00:00:54.000 --> 00:00:56.000]  就是一個
[00:00:56.000 --> 00:00:58.000]  祈福
[00:00:58.000 --> 00:01:00.000]  我們都希望在新年的時候
[00:01:00.000 --> 00:01:02.000]  我們有更多的福氣
[00:01:02.000 --> 00:01:04.000]  藉著不同的方式
[00:01:04.000 --> 00:01:06.000]  令到我們的個人
[00:01:06.000 --> 00:01:08.000]  或者家庭裡面
[00:01:08.000 --> 00:01:10.000]  都有一個好的
[00:01:10.000 --> 00:01:12.000]  福氣在裡面
[00:01:12.000 --> 00:01:14.000]  猶太人過年
[00:01:14.000 --> 00:01:16.000]  其實和中國人有些不同的地方
[00:01:16.000 --> 00:01:18.000]  如果大家去看
[00:01:18.000 --> 00:01:20.000]  舊約聖經你都會發覺
[00:01:20.000 --> 00:01:22.000]  在猶太人的
[00:01:22.000 --> 00:01:24.000]  新年裡面
[00:01:24.000 --> 00:01:26.000]  其實是建基於一個節日
[00:01:26.000 --> 00:01:28.000]  這個就是如雨節
[00:01:28.000 --> 00:01:30.000]  如雨節是
[00:01:30.000 --> 00:01:32.000]  上帝去拯救一群
[00:01:32.000 --> 00:01:34.000]  以色列人出埃及的時候
[00:01:34.000 --> 00:01:36.000]  就是
[00:01:36.000 --> 00:01:38.000]  有一個
[00:01:38.000 --> 00:01:40.000]  情況出來
