
[00:00:00.000 --> 00:00:10.000]  路加福音22:31-34,40-50,54-62
[00:00:10.000 --> 00:00:22.000]  31.主要說:西門,西門,撒旦要得罪你們,好篩你們,像篩麥子一樣。
[00:00:22.000 --> 00:00:33.000]  但我已經為你祈求,使你不至於失了信心,你回頭以後要兼顧你的弟兄。
[00:00:33.000 --> 00:00:52.000]  彼得對他說:主啊,我已準備好,要同你坐牢,與你同洗。耶穌說:彼得,我告訴你,今日雞還沒有叫,你要三次說不認得我。
[00:00:52.000 --> 00:01:12.000]  49.左右的人見了要發生的事,就說:主啊,我們拿刀砍好不好?其中有一個人把大晉西的僕人砍了一刀,削掉了他的右耳。
[00:01:12.000 --> 00:01:32.000]  50.他們拿住耶穌,把他帶走,進入大晉西的住宅,彼得遠遠地跟著。他們在園子中間生了火,一同坐著,彼得也坐在他們當中。
[00:01:32.000 --> 00:01:51.000]  51.有一個洗女看見彼得面向火光坐著,就盯近看他說:這個人出來也是同男人一起的。彼得卻不承認說:你這個女人,我不認得她。
[00:01:51.000 --> 00:02:03.000]  52.過了一會,又有一個人看見他說:你也是他們一伙的。彼得說:你這個人,我不是。
[00:02:03.000 --> 00:02:20.000]  53.又過了一小時,又有一個人堅持說:她實在是同男人一起的,因為她也是加利利人。彼得說:你這個人,我不知道你在說什麼。
[00:02:20.000 --> 00:02:37.000]  54.正說話之間,雞就叫了,主轉過身來看彼得,彼得就想起主對他所說的話:今日雞叫以前,你要三去不認我。
[00:02:37.000 --> 00:02:56.000]  提供子妹平安,讓我們一起禱告先。神啊,請禰賜給我們智慧,賜給我們屬靈的能力可以聽懂禰的話語,可以在禰的話語上領受禰賜給我們莫大的能力,
[00:02:56.000 --> 00:03:19.000]  讓我們在這個能力裡面都是勇敢的,都是剛強的,都是可以充滿著禰賜下的平安喜樂的,讓我們在走我們生活的路當中的話,我們不至於偏離左右,也不至於害怕跌倒,我們這樣仰望交托,奉主耶穌,得勝的民囚。
[00:03:19.000 --> 00:03:37.000]  這個經文大家都非常熟悉了,就是雞叫以前三次不認主的故事,但是我想給大家透露一個小小的地方,耶路撒冷城是不養雞的,是沒有雞的。
[00:03:37.000 --> 00:03:47.000]  那為什麼呢?我們先不要特別關注這一點,我們先看看這段經文怎麼講。
[00:03:47.000 --> 00:04:04.000]  滾滾長江東逝水,浪花淘盡英雄,是非崇拜轉頭空,青山依舊在,幾度夕陽紅。
[00:04:04.000 --> 00:04:15.000]  大家說,你怎麼突然背詩來了?其實我是想說明,這個世界上做英雄容易不容易?不容易。
[00:04:15.000 --> 00:04:37.000]  比如說我們香港中文大學的前任校長沈祖堯先生,他被稱為"殺死英雄",因為他在03年殺死爆發最嚴重的時候,他冒著生命危險去救人,所以後來被稱為"殺死英雄"。
[00:04:37.000 --> 00:04:44.000]  還有很多這樣的英雄,但是我們發現都是拿命來換的。
[00:04:44.000 --> 00:04:54.000]  記得我小時候看電影,我們大陸的電視電影喜歡放抗日片。
[00:04:54.000 --> 00:05:16.000]  抗日就是我們當時有很多搞情報工作的地下英雄,他們被日本人抓住了之後,無論是用電擊,還是用針刺,還是鞭打,甚至是殺頭,都不出賣自己人。
