
[00:00:00.000 --> 00:00:06.840]  最近幾個月裡面有兩個新聞的報導值得我們特別的注意
[00:00:06.840 --> 00:00:12.380]  最近這幾個月裡面有兩個新聞報導是很值得我們注意的
[00:00:12.380 --> 00:00:18.160]  一個是在美國的一位電視的新聞記者的報導
[00:00:18.160 --> 00:00:21.660]  一個就是在美國新聞記者的報導
[00:00:21.660 --> 00:00:25.160]  他到蘇聯去訪問
[00:00:25.160 --> 00:00:31.560]  他在街頭上拿著一個錄音機來訪問路上的行人
[00:00:31.560 --> 00:00:35.100]  他就在街上拿著一個錄音機問街上的行人
[00:00:35.100 --> 00:00:36.800]  他就問這個行人說
[00:00:36.800 --> 00:00:38.840]  他就問其中一個行人
[00:00:38.840 --> 00:00:42.880]  最近在蘇聯國內有一個報導
[00:00:42.880 --> 00:00:45.440]  最近在蘇聯有一個報導
[00:00:45.440 --> 00:00:51.640]  就是說有很多的蘇聯人表示有靈性的
[00:00:51.640 --> 00:00:54.760]  就是信仰上的需要
[00:00:54.760 --> 00:00:57.800]  就是其中有很多的蘇聯人最近表示
[00:00:57.800 --> 00:01:01.840]  他們在心靈裡面有靈性信仰上的需要
[00:01:01.840 --> 00:01:05.140]  這個電視記者就問那個行人說
[00:01:05.140 --> 00:01:07.800]  你覺得這個報導怎麼樣?
[00:01:07.800 --> 00:01:10.560]  這個電視的記者就問那個行人
[00:01:10.560 --> 00:01:12.800]  你覺得這個報導是怎麼樣呢?
[00:01:12.800 --> 00:01:13.680]  他回答說
[00:01:13.680 --> 00:01:15.300]  他就回答說
[00:01:15.300 --> 00:01:18.540]  不是很多的人有這個需要
[00:01:18.540 --> 00:01:21.320]  那是所有的人都有這個需要
[00:01:21.320 --> 00:01:23.900]  他說不是有很多的人有這個需要
[00:01:23.900 --> 00:01:26.440]  而是所有的人都有這個需要
[00:01:26.440 --> 00:01:32.400]  這是美國各地電視的觀眾都親眼看見聽見的
[00:01:32.400 --> 00:01:37.600]  這個就是美國各地電視的觀眾親眼親耳聽見看到的
[00:01:37.600 --> 00:01:39.100]  另外一個報導
[00:01:39.100 --> 00:01:40.760]  另外一個報導
[00:01:40.760 --> 00:01:44.560]  是中國國內的新聞的報導
[00:01:44.560 --> 00:01:46.880]  就是中國國內的新聞報導
[00:01:46.880 --> 00:01:48.880]  甚至報紙上登出來
[00:01:48.880 --> 00:01:51.040]  甚至報紙上都登出來
[00:01:51.040 --> 00:01:53.960]  中國政府的一位領袖王震
[00:01:53.960 --> 00:01:57.020]  中國政府的一位領袖王震
[00:01:57.020 --> 00:01:57.840]  他這樣說
[00:01:57.840 --> 00:02:00.260]  他這樣說
[00:02:00.260 --> 00:02:04.560]  共產黨員開大會的時候出現的人很少
[00:02:04.560 --> 00:02:08.260]  共產黨員開會的時候出現的人很少
[00:02:08.260 --> 00:02:10.720]  但是基督教開會的時候
[00:02:10.720 --> 00:02:13.040]  人擁擠的去參加
[00:02:13.040 --> 00:02:17.080]  而基督教開會的時候人就擁擠的去參加
[00:02:17.080 --> 00:02:19.960]  你們已經聽見過這個消息了
[00:02:19.960 --> 00:02:21.960]  你們已經聽見過這個消息了
[00:02:21.960 --> 00:02:25.440]  我們看見在今天這個末世的時候
[00:02:25.440 --> 00:02:27.000]  聖靈在工作
[00:02:27.000 --> 00:02:30.440]  我們看見今天這個末世的時代聖靈在工作
[00:02:30.440 --> 00:02:32.280]  而且是很奇妙的工作
[00:02:32.280 --> 00:02:34.240]  而且是很奇妙的工作
[00:02:34.240 --> 00:02:39.560]  去年葛佩妮到東歐匈牙利去報道
[00:02:39.560 --> 00:02:43.800]  去年葛佩妮博士到東歐匈牙利去報道
[00:02:43.800 --> 00:02:47.400]  有九萬多人聚集在一起聽她講道
[00:02:47.400 --> 00:02:50.480]  有九萬多人聚集在一起聽她講道
[00:02:50.480 --> 00:02:53.640]  其中有三萬多絕痔信眾
[00:02:53.640 --> 00:02:56.680]  其中有三萬多絕痔信眾
[00:02:56.680 --> 00:02:59.680]  在匈牙利的首都發生的事
[00:02:59.680 --> 00:03:02.320]  這是在匈牙利的首都發生的事
[00:03:02.320 --> 00:03:05.520]  是的聖靈到處在工作
[00:03:05.520 --> 00:03:07.840]  是的聖靈到處在工作
[00:03:07.840 --> 00:03:09.520]  昨天晚上我們看見
[00:03:09.520 --> 00:03:10.840]  昨天晚上我們看見
[00:03:10.840 --> 00:03:14.520]  在七十六裡面聖靈有一個特別的名字
[00:03:14.520 --> 00:03:17.320]  在七十六裡面聖靈有一個特別的名字
[00:03:17.320 --> 00:03:19.560]  就是七靈
[00:03:19.560 --> 00:03:19.560]  就是七靈
[00:03:19.560 --> 00:03:22.520]  表示聖靈完全的工作
[00:03:22.520 --> 00:03:25.080]  表示聖靈完全的工作
[00:03:25.080 --> 00:03:29.080]  為什麼在七十六裡面聖靈有這個特別的名字呢?
[00:03:29.080 --> 00:03:32.640]  為什麼在七十六裡面聖靈有這個特別的名字呢?
[00:03:32.640 --> 00:03:37.480]  因為在末世的時代我們特別需要聖靈的工作
[00:03:37.480 --> 00:03:41.040]  因為在末世的時代我們特別需要聖靈的工作
[00:03:41.040 --> 00:03:42.480]  在這個時代裡頭
[00:03:42.480 --> 00:03:43.800]  在這個時代裡頭
[00:03:43.800 --> 00:03:47.520]  撒旦在加緊的加強的工作
[00:03:47.520 --> 00:03:50.040]  撒旦在加緊加強的工作
[00:03:50.040 --> 00:03:52.320]  這是七十六清楚告訴我們的
[00:03:52.320 --> 00:03:52.320]  這是七十六清楚告訴我們的
[00:03:52.320 --> 00:03:54.560]  這是七十六清楚告訴我們的
[00:03:54.560 --> 00:03:57.680]  請大家翻到七十六第十二章
[00:03:57.680 --> 00:03:57.680]  請大家翻到七十六第十二章
[00:03:57.680 --> 00:04:00.080]  請大家翻到七十六第十二章
[00:04:00.080 --> 00:04:00.080]  第十二節
[00:04:00.080 --> 00:04:01.360]  第十二節
[00:04:01.360 --> 00:04:01.400]  第十二節
[00:04:01.400 --> 00:04:03.240]  第十二節
[00:04:03.240 --> 00:04:05.640]  七十六十二章十二節
[00:04:05.640 --> 00:04:05.680]  七十六十二章十二節
[00:04:05.680 --> 00:04:07.840]  七十六十二章十二節
[00:04:07.840 --> 00:04:07.840]  下半節
[00:04:07.840 --> 00:04:08.680]  下半節
[00:04:08.680 --> 00:04:10.040]  下半節
