
[00:00:00.000 --> 00:00:05.000]  我們再看剛才說看了《新經》《路加福音》十八章
[00:00:05.000 --> 00:00:07.000]  我們先看了十八章的經文
[00:00:07.000 --> 00:00:14.000]  我三千弟兄姊妹在幾年在香港的寶江
[00:00:14.000 --> 00:00:17.000]  常常看見一個特別的名詞
[00:00:17.000 --> 00:00:20.000]  叫那個「堅離細數」
[00:00:20.000 --> 00:00:23.000]  「堅離細數」
[00:00:23.000 --> 00:00:26.000]  這個「堅離細數」是講什麼呢?
[00:00:26.000 --> 00:00:33.000]  是講香港的貧窮跟富有之間的元素的情況
[00:00:33.000 --> 00:00:35.000]  這個講的是什麼?
[00:00:35.000 --> 00:00:36.000]  講香港的情況
[00:00:36.000 --> 00:00:41.000]  那個貧窮跟有錢的人的分別很大很大
[00:00:41.000 --> 00:00:43.000]  很多的統計告訴我們
[00:00:43.000 --> 00:00:46.000]  在香港是全亞洲區
[00:00:46.000 --> 00:00:51.000]  那個貧窮元素最高的地方
[00:00:51.000 --> 00:00:55.000]  那個堅離細數是不斷不斷的增高的
[00:00:55.000 --> 00:01:00.000]  他們發現在聯合國他們有個報告講
[00:01:00.000 --> 00:01:10.000]  他說香港是全世界發展國家貧富元素的情況最嚴重的
[00:01:10.000 --> 00:01:11.000]  你們知道嗎?
[00:01:11.000 --> 00:01:17.000]  我們現在這個地方那個貧富元素的情況是最嚴重最嚴重的一個國家
[00:01:17.000 --> 00:01:19.000]  一個地區
[00:01:19.000 --> 00:01:21.000]  在這個地區我們生活的時候發現
[00:01:21.000 --> 00:01:23.000]  我們說很多有錢的人
[00:01:23.000 --> 00:01:25.000]  不錯!
[00:01:25.000 --> 00:01:28.000]  香港的情況是有錢的人增加
[00:01:28.000 --> 00:01:31.000]  但是沒有錢的人也是增加
[00:01:31.000 --> 00:01:39.000]  有些統計發現在一萬元收入以下的人數不斷的增加
[00:01:39.000 --> 00:01:41.000]  但是另外一方面
[00:01:41.000 --> 00:01:47.000]  每個月兩萬五千收入的人也是增加
[00:01:47.000 --> 00:01:49.000]  這是怎麼樣呢?
[00:01:49.000 --> 00:01:52.000]  這是兩極化的情況
[00:01:52.000 --> 00:01:53.000]  外面的增加
[00:01:53.000 --> 00:01:55.000]  中間的情況
[00:01:55.000 --> 00:01:59.000]  一萬到兩萬元收入的減少
[00:01:59.000 --> 00:02:03.000]  很多有錢的也有很多沒有錢的
[00:02:03.000 --> 00:02:08.000]  兩個情況好像兩個地級一樣的情況
[00:02:08.000 --> 00:02:10.000]  這個是給我們很多的想
[00:02:10.000 --> 00:02:12.000]  很多的思想
[00:02:12.000 --> 00:02:14.000]  就是在香港生活在這個地方
[00:02:14.000 --> 00:02:17.000]  我們一般生活也可以
[00:02:17.000 --> 00:02:22.000]  但是我們怎麼樣關心我們在香港其他的
[00:02:22.000 --> 00:02:24.000]  我們的很多的鄰居呢?
[00:02:24.000 --> 00:02:26.000]  關心他們的情況呢?
[00:02:26.000 --> 00:02:32.000]  我們常常講是在香港你們都去過在天水圍的地方
[00:02:32.000 --> 00:02:33.000]  天水圍
[00:02:33.000 --> 00:02:36.000]  你們曾經到那個地方去
[00:02:36.000 --> 00:02:40.000]  到那個地方我們看見很多人他們生活比較艱難
[00:02:40.000 --> 00:02:44.000]  我曾經看見一個報導講
[00:02:44.000 --> 00:02:46.000]  那個文章那個題目講什麼
[00:02:46.000 --> 00:02:53.000]  在單車上面的小巨人
[00:02:53.000 --> 00:02:54.000]  是講誰?
[00:02:54.000 --> 00:02:57.000]  是講一個中年的太太
[00:02:57.000 --> 00:02:58.000]  她的身材很小
[00:02:58.000 --> 00:03:00.000]  她是九十四磅
[00:03:00.000 --> 00:03:02.000]  很輕
[00:03:02.000 --> 00:03:03.000]  但是很矮小
[00:03:03.000 --> 00:03:06.000]  大概是沒有五千
[00:03:06.000 --> 00:03:09.000]  都是四千多一點
[00:03:09.000 --> 00:03:11.000]  這個很小的中年的太太
[00:03:11.000 --> 00:03:14.000]  她的生活很艱難
[00:03:14.000 --> 00:03:17.000]  因為她要照顧四個孩子
[00:03:17.000 --> 00:03:20.000]  她的丈夫已經離開她的家庭
[00:03:20.000 --> 00:03:23.000]  她在當地她要維持她的家庭
[00:03:23.000 --> 00:03:25.000]  做那個家庭的助理
[00:03:25.000 --> 00:03:30.000]  但是在天水圍沒有很多的家庭可以請得起她
[00:03:30.000 --> 00:03:35.000]  所以她到附近的元朗的地方做那個家庭的助理
[00:03:35.000 --> 00:03:36.000]  都是part time
[00:03:36.000 --> 00:03:38.000]  都是部分時間的
[00:03:38.000 --> 00:03:41.000]  但是你發覺有多少份這樣的工作
[00:03:41.000 --> 00:03:45.000]  是可以維持她的家庭
[00:03:45.000 --> 00:03:51.000]  她一共做八份那個家務的助理的工作
[00:03:51.000 --> 00:03:53.000]  到很多不同地方走動
[00:03:53.000 --> 00:03:55.000]  因此每天的工作時間很長
[00:03:55.000 --> 00:03:58.000]  而且她要每天坐那個單車
[00:03:58.000 --> 00:04:00.000]  因為她不敢用那個公共的機器
[00:04:00.000 --> 00:04:02.000]  太貴了
[00:04:02.000 --> 00:04:04.000]  因此她每天搭那個單車
[00:04:04.000 --> 00:04:07.000]  從一個地方到另外一個地方
[00:04:07.000 --> 00:04:08.000]  每天兩個小時
[00:04:08.000 --> 00:04:11.000]  在單車上面走路
[00:04:11.000 --> 00:04:14.000]  就是這樣維持她的家庭
[00:04:14.000 --> 00:04:17.000]  但是弟兄姊妹你可以知道這個情況不是一個
[00:04:17.000 --> 00:04:18.000]  不是兩個
[00:04:18.000 --> 00:04:21.000]  而是很多很多的人
[00:04:21.000 --> 00:04:24.000]  在香港慢慢更多的人
[00:04:24.000 --> 00:04:28.000]  他們活在那個貧窮線以下的生活
[00:04:28.000 --> 00:04:30.000]  當我們在香港
[00:04:30.000 --> 00:04:34.000]  我們求神幫助我們怎麼樣可以關心他們
[00:04:34.000 --> 00:04:37.000]  怎麼樣可以做一點我們可以做的事情
[00:04:37.000 --> 00:04:40.000]  所以今天當我們看聖經的時候
[00:04:40.000 --> 00:04:42.000]  我們在細想香港的情況
[00:04:42.000 --> 00:04:44.000]  在看聖經
[00:04:44.000 --> 00:04:48.000]  我們看聖經路加福音18章18節
[00:04:48.000 --> 00:04:52.000]  聖經講當時有一個官講
[00:04:52.000 --> 00:04:54.000]  他問耶穌說
