
[00:00:00.000 --> 00:00:07.000]  我估計大多數人都坐過飛機
[00:00:07.000 --> 00:00:12.000]  最長的飛機程是多久呢?
[00:00:12.000 --> 00:00:21.000]  5小時? 10小時? 15小時? 20小時?
[00:00:21.000 --> 00:00:32.000]  早前國泰一班航機CX883由洛杉磯飛來香港, 原定14小時30分鐘
[00:00:32.000 --> 00:00:42.000]  來到香港時遇上了和風, 所以轉飛台北桃園機場
[00:00:42.000 --> 00:00:53.000]  不過在這裏乘客沒有下飛機, 只能等待29小時
[00:00:53.000 --> 00:01:00.000]  創下國泰最長的飛機程
[00:01:00.000 --> 00:01:12.000]  不單止這樣, 乘客吃了一張套餐, 但沒有其他包, 過了29小時
[00:01:12.000 --> 00:01:21.000]  人生有不同的困難, 坐這班飛機是難忘的經歷
[00:01:21.000 --> 00:01:29.000]  困難當中在所難免, 但又如何面對呢?
[00:01:29.000 --> 00:01:36.000]  今天這段經文, 保羅很想鼓勵廷光泰堅忍到底
[00:01:36.000 --> 00:01:43.000]  特別是在傳福音的事實上面對的逼迫困難
[00:01:43.000 --> 00:01:49.000]  做一些回顧, 差不多由7月初開始
[00:01:49.000 --> 00:01:55.000]  我已經說到的一章八節, 差不多是整卷廷光泰後書的主題
[00:01:55.000 --> 00:02:03.000]  我提到保羅或勸勉廷光泰為福音同受苦難
[00:02:03.000 --> 00:02:08.000]  同受苦難的主題包括一章十二節, 十六節
[00:02:08.000 --> 00:02:13.000]  二章三九十五節, 四章七至五節, 十六節
[00:02:13.000 --> 00:02:20.000]  還有今天的經文也會出現, 差不多整本書也說要為福音同受苦
[00:02:20.000 --> 00:02:27.000]  為什麼保羅或廷光泰值得為福音同受苦呢?
[00:02:27.000 --> 00:02:33.000]  在二章八至十三節, 保羅提出三個引導
[00:02:33.000 --> 00:02:37.000]  第一, 福音本身顯明了神的應許
[00:02:37.000 --> 00:02:44.000]  耶穌基督是舊約所應許, 期待已久的彌撒伯已經來臨
[00:02:44.000 --> 00:02:50.000]  第二, 福音顯明了神的能力, 因為耶穌基督從死來復活
[00:02:50.000 --> 00:02:59.000]  第三, 福音顯明了神的恩典, 因為已不鎖教會, 眾聖徒都無阻救恩, 得著榮耀
[00:02:59.000 --> 00:03:03.000]  在上星期我也提到, 有不同人出現過
[00:03:03.000 --> 00:03:08.000]  包括有自誇的, 哄說的, 殘言的, 出賣人的
[00:03:08.000 --> 00:03:17.000]  這些人有敬虔的外表, 但卻沒有實意內心的聖靈能力
[00:03:17.000 --> 00:03:28.000]  他們表面上是敬拜神, 但卻彷如有大心, 愛世界多過愛基督
[00:03:28.000 --> 00:03:33.000]  正因為這樣的時候, 保羅用比較負面, 消極的
[00:03:33.000 --> 00:03:40.000]  向道, 提醒, 提摩他, 以撒索的信徒, 要躲避這種人
[00:03:40.000 --> 00:03:44.000]  說完負面, 消極, 今天就說正面積極的
[00:03:44.000 --> 00:03:48.000]  應該怎樣做? 經文在一開始, 今日第十節
[00:03:48.000 --> 00:03:52.000]  說彈, 即是和第一至九節相反
[00:03:52.000 --> 00:03:56.000]  不要做不好的事, 要做甚麼? 彈做甚麼?
[00:03:56.000 --> 00:04:06.000]  提摩他已經服從了保羅的教訓, 服從這個字和圖差不多意思
[00:04:06.000 --> 00:04:17.000]  站在旁邊, 拜神, 主人, 像我效法基督
[00:04:17.000 --> 00:04:21.000]  保羅也是圓明的教會信徒
[00:04:21.000 --> 00:04:29.000]  保羅稱讚提摩他, 效法, 跟從保羅的生命和生活
[00:04:29.000 --> 00:04:34.000]  包括甚麼? 經文在第十節和第十一節
[00:04:34.000 --> 00:04:39.000]  用了我的, 很著重我的甚麼? 有九樣東西
[00:04:39.000 --> 00:04:44.000]  包括第一樣, 就是我的教訓, 好好的教義
[00:04:44.000 --> 00:04:52.000]  我的品行, 生活模式, 我的志向, 生命人生目標
[00:04:52.000 --> 00:04:57.000]  我的信心, 信仰宣言
[00:04:57.000 --> 00:05:06.000]  我的寬容, 寬容的字是長久受迫壓, 長久困苦的意思
[00:05:06.000 --> 00:05:10.000]  我的愛心, 善待人的心
[00:05:10.000 --> 00:05:15.000]  忍耐, 等候, 仰望
[00:05:15.000 --> 00:05:26.000]  第十節和第十一節提出, 還有我的迫不及待和苦難的眾數
