
[00:00:00.000 --> 00:00:20.000]  (祈祷)
[00:00:20.000 --> 00:00:26.000]  感谢主我们一起来这里崇拜,而且我们也一起来思想上帝的话语。
[00:00:26.000 --> 00:00:36.000]  我们希望用两个主日来一起思想在旧约圣经当中的一个人物。
[00:00:36.000 --> 00:00:41.000]  他的名字就是刚才我们所念的尼西米。
[00:00:41.000 --> 00:00:47.000]  所以如果大家有圣经的话,我也请你可以打开旧约的尼西米记。
[00:00:47.000 --> 00:00:54.000]  尼西米,有些人已经听过他的名字,但是我们希望深刻地去理解,
[00:00:54.000 --> 00:01:00.000]  去研究他,看看他的生命跟我们有什么关系。
[00:01:00.000 --> 00:01:03.000]  我们一起来看看尼西米。
[00:01:03.000 --> 00:01:08.000]  我们今天是主要看第一章到第三章。
[00:01:08.000 --> 00:01:12.000]  那么尼西米有什么特别的地方?
[00:01:12.000 --> 00:01:17.000]  那么尼西米当然是一个很虔诚的基督徒。
[00:01:17.000 --> 00:01:22.000]  但是我想跟大家来介绍他的时候,他有两个特色,
[00:01:22.000 --> 00:01:25.000]  对大家应该特别留意而且记得的。
[00:01:25.000 --> 00:01:37.000]  第一个,尼西米是一个有相地父教的人生跟态度的人。
[00:01:37.000 --> 00:01:43.000]  第二个特色,他可以说是一个平信徒。
[00:01:43.000 --> 00:01:50.000]  他不是传道人,他也不是神祇人员,他不是牧师,甚至不是传教士。
[00:01:50.000 --> 00:01:54.000]  他就是一个工程师,他也是个官。
[00:01:54.000 --> 00:02:00.000]  所以他跟大家,我们做这种大部分的人应该是特别亲切,
[00:02:00.000 --> 00:02:08.000]  因为他也不是一个所谓的全职侍奉的人,他是个待职侍奉的人,一个平信徒。
[00:02:08.000 --> 00:02:13.000]  但是他也是一个被相地父照的人。
[00:02:13.000 --> 00:02:17.000]  我们来看看这两点有什么特色。
[00:02:17.000 --> 00:02:22.000]  那么什么叫做被相地父照的意思呢?
[00:02:22.000 --> 00:02:26.000]  被相地父照的生命是一个怎样的生命?
[00:02:26.000 --> 00:02:29.000]  它的突出性在哪里?
[00:02:29.000 --> 00:02:35.000]  我们说我们人有两种可能的生命的生活的方式。
[00:02:35.000 --> 00:02:42.000]  一个就是被父照的人生,有一种我们可以说是应付的人生,
[00:02:42.000 --> 00:02:45.000]  用英语来说就是一个corded life。
[00:02:45.000 --> 00:02:52.000]  另外一个就是driven life,被事情发生的事情推着你去。
[00:02:52.000 --> 00:02:58.000]  那么很多人的生命大部分时间都是一种driven life。
[00:02:58.000 --> 00:03:05.000]  好像我们在香港,世界很多的地方,在现代化的城市里面我们都很忙碌,忙碌得不得了。
[00:03:05.000 --> 00:03:08.000]  但是我们忙碌不知道忙碌会有什么。
[00:03:08.000 --> 00:03:11.000]  当然你知道了忙碌就是为了工作。
[00:03:11.000 --> 00:03:14.000]  早上起来,每天都是这样。
[00:03:14.000 --> 00:03:17.000]  早起来的时候如果你有孩子的话就把他推醒。
[00:03:17.000 --> 00:03:20.000]  他们不肯醒来,要骂他,他就哭。
[00:03:20.000 --> 00:03:24.000]  然后每天都是这样,然后他醒来了,吃早餐,
[00:03:24.000 --> 00:03:27.000]  早餐的时候这个不好吃,那个不好吃,对吧?
[00:03:27.000 --> 00:03:31.000]  也逼着他去吃,吃完了以后匆匆忙忙地把他送上校巴,
[00:03:31.000 --> 00:03:35.000]  然后就去了,然后到你自己匆匆忙忙地去上班,对吧?
[00:03:35.000 --> 00:03:41.000]  上班的时候,照例的,就是在地铁又堵了,人又多,
[00:03:41.000 --> 00:03:49.000]  然后搞了好长时间赶到办公室,面对的工作又是那个工作,对不对?
[00:03:49.000 --> 00:03:53.000]  又是那一批的同事,讲的同样的是非,对不对?
[00:03:53.000 --> 00:03:56.000]  那个老板一样的差,对吧?
[00:03:56.000 --> 00:04:02.000]  然后等了好辛苦才等到了中午,中午吃饭的时候人又是那么多,
[00:04:02.000 --> 00:04:09.000]  到处都是人,今天又吃这里吃,闷得要死,明天又去那里,一样,对吧?
[00:04:09.000 --> 00:04:14.000]  然后回去的时候又开工,开工的时候有点瞌睡,但是不敢睡,
