
[00:00:00.000 --> 00:00:07.000]  剛才所讀的聖經,我相信很多弟兄姊妹一定是很熟悉的
[00:00:07.000 --> 00:00:09.000]  不可以殺人,教曰
[00:00:09.000 --> 00:00:16.000]  耶穌說,我告訴你,你心裡動怒的,就要受同樣的審判
[00:00:16.000 --> 00:00:20.000]  不過我想告訴你,我看這段聖經
[00:00:20.000 --> 00:00:24.000]  一路預備的時候,因為我們是教會一直編下去
[00:00:24.000 --> 00:00:27.000]  所以不是我選的,讓我選我就不選這段了
[00:00:27.000 --> 00:00:31.000]  因為這段聖經我看了很久,你信不信?
[00:00:31.000 --> 00:00:35.000]  我看了很久很久,都不明白
[00:00:35.000 --> 00:00:37.000]  這段聖經很難明白
[00:00:37.000 --> 00:00:42.000]  我覺得這段聖經是新約聖經裡最難明白的幾段之一
[00:00:42.000 --> 00:00:45.000]  你可能覺得很誇張,你說這段有什麼意思?
[00:00:45.000 --> 00:00:47.000]  有意思的,我數給你看
[00:00:47.000 --> 00:00:51.000]  這段聖經,句句都有疑點
[00:00:51.000 --> 00:00:53.000]  慘了,我數給你看
[00:00:53.000 --> 00:00:59.000]  第一,首先耶穌說,古人有說,你不可以殺人,殺人必被審判
[00:00:59.000 --> 00:01:03.000]  我想告訴大家,我有時會用新譯本
[00:01:03.000 --> 00:01:08.000]  所以我的翻譯讀出來可能有些不同,大家明白,不要緊,一樣的
[00:01:08.000 --> 00:01:15.000]  耶穌說,你殺人,古人有說,十戒,你殺人的時候,必被判罪
[00:01:15.000 --> 00:01:23.000]  但我告訴你,如果你是向弟兄發怒的,你必被判罪
[00:01:23.000 --> 00:01:29.000]  在原文裡面,希臘文裡面,這兩句必被判罪是完全一樣的
[00:01:29.000 --> 00:01:32.000]  就是說,懲罰是完全一樣的
[00:01:32.000 --> 00:01:39.000]  第一,我不明白,殺人有很嚴厲的懲罰,大家都明白,殺人償命
[00:01:39.000 --> 00:01:49.000]  動怒而已,生氣,跟殺人一樣嚴重的審判,這樣的判罪
[00:01:49.000 --> 00:01:53.000]  這是第一個,我覺得是很難理解的
[00:01:53.000 --> 00:01:57.000]  很現實來說是很難理解的,沒理由的
[00:01:57.000 --> 00:02:00.000]  接著再說下去,越來越多,沒理由的
[00:02:00.000 --> 00:02:05.000]  再加上,如果你說弟兄是拉加的
[00:02:05.000 --> 00:02:11.000]  那你就要受工會的審判
[00:02:11.000 --> 00:02:15.000]  拉加是什麼呢?拉加就是白癡
[00:02:15.000 --> 00:02:24.000]  罵人白癡當然不好,也不至於被人抓去工會審判
[00:02:24.000 --> 00:02:30.000]  尤其是你一直來北宣家,我六月的時候說過一篇,我還記得,我又說過白癡這個字
[00:02:30.000 --> 00:02:37.000]  我那時候說香港的大學生,男的就當是幼稚,當是有趣女的,白癡當純情
[00:02:37.000 --> 00:02:40.000]  我死了,我又說白癡
[00:02:40.000 --> 00:02:44.000]  那他就被人抓去審?在工會受審判
[00:02:44.000 --> 00:02:47.000]  好了,再下去
[00:02:47.000 --> 00:02:52.000]  說人是摩利的,就難免地獄的火
[00:02:52.000 --> 00:02:54.000]  哇,更重要,下地獄
[00:02:54.000 --> 00:02:59.000]  摩利是什麼呢?罵人,摩利就是蠢材
[00:02:59.000 --> 00:03:04.000]  那也不重要,但是要不要下地獄呢?
[00:03:04.000 --> 00:03:09.000]  罵蠢材,你真的在心裡罵,你肯定罵過
[00:03:09.000 --> 00:03:12.000]  每個父母都罵過兒子蠢材
[00:03:12.000 --> 00:03:14.000]  那下了多少次地獄呢?
[00:03:14.000 --> 00:03:20.000]  你明不明白?不是那麼嚴重,說得那麼誇張
[00:03:20.000 --> 00:03:24.000]  於是很多人就很害怕,包括很多基督徒,包括我一直以來
[00:03:24.000 --> 00:03:27.000]  死了,這個不能說,那個不能說
[00:03:27.000 --> 00:03:33.000]  罵人蠢材不行,罵他比豬蠢還要蠢,都不行
[00:03:33.000 --> 00:03:37.000]  那怎麼辦呢?是不是?我覺得我不明白
