
[00:00:00.000 --> 00:00:05.240]  我們思想當人齊集同心禱告神的時候
[00:00:05.240 --> 00:00:10.280]  經歷的很奇妙的恩惠和神的工作
[00:00:10.280 --> 00:00:12.080]  可能大家都會留意到在歷史上
[00:00:12.080 --> 00:00:15.880]  很多基督教的國家或者一些地區
[00:00:15.880 --> 00:00:18.960]  當他們面對著一些很大的困局的時候
[00:00:18.960 --> 00:00:21.280]  有些時候他們會做一件事
[00:00:21.280 --> 00:00:25.200]  就是宣告全國禁食祈禱
[00:00:25.200 --> 00:00:27.800]  而往往在那些追求裡面
[00:00:27.800 --> 00:00:31.080]  神讓他們經歷一個很大的轉變
[00:00:31.080 --> 00:00:34.680]  其中一件很明顯的歷史事項就是在美國
[00:00:34.680 --> 00:00:38.000]  當他們面對著南北戰爭的時候
[00:00:38.000 --> 00:00:39.560]  當時的總統
[00:00:39.560 --> 00:00:42.320]  大家會記得是林肯總統
[00:00:42.320 --> 00:00:45.560]  他就宣告全國禁食
[00:00:45.560 --> 00:00:49.560]  在那個時候平時教會未必有很多人參加
[00:00:49.560 --> 00:00:52.360]  但是那一天很多人湧去教會裡面
[00:00:52.360 --> 00:00:55.600]  就一起同心為國家祈禱
[00:00:55.600 --> 00:00:59.320]  在那一次整個歷史突然間扭轉
[00:00:59.320 --> 00:01:07.800]  他們可以重新戰勝了入侵的很多內部的軍隊
[00:01:07.800 --> 00:01:09.760]  因此整個國家的命運扭轉
[00:01:09.760 --> 00:01:13.440]  也帶來了後來的黑奴的解放
[00:01:13.440 --> 00:01:17.760]  當國家他們全心齊集仰望神的時候
[00:01:17.760 --> 00:01:21.480]  神就向他們作出大的恩典
[00:01:21.480 --> 00:01:23.640]  同樣我們想回到北宣教
[00:01:23.640 --> 00:01:25.200]  或者我們說回自己的經歷
[00:01:25.200 --> 00:01:27.040]  如果你記得早幾年之前
[00:01:27.040 --> 00:01:30.720]  我們中間有一對夫婦寫了一篇文章在家信
[00:01:30.720 --> 00:01:32.920]  提及他們的兒子
[00:01:32.920 --> 00:01:36.680]  是有一個很特別很奇怪的皮膚病
[00:01:36.680 --> 00:01:37.560]  一出生的時候
[00:01:37.560 --> 00:01:42.160]  全個嬰兒的身體被一層薄膜包著
[00:01:42.160 --> 00:01:46.200]  在當時他們的團契見到這樣的情況
[00:01:46.200 --> 00:01:47.840]  他們很掛心
[00:01:47.840 --> 00:01:49.400]  因此他們照習近平的經歷
[00:01:49.400 --> 00:01:52.160]  一起回來同心禁食祈禱
[00:01:52.160 --> 00:01:55.600]  為這個家庭的孩子祈禱
[00:01:55.600 --> 00:01:57.320]  好奇妙地自己的工作
[00:01:57.320 --> 00:01:58.920]  甚至令醫生都驚訝
[00:01:58.920 --> 00:02:01.240]  醫生說是很小的案例
[00:02:01.240 --> 00:02:03.840]  很奇怪的一種皮膚病
[00:02:03.840 --> 00:02:07.440]  也不知道有什麼具體的方法去治療
[00:02:07.440 --> 00:02:09.320]  但在原日節錄討告之後
[00:02:09.320 --> 00:02:11.000]  大概六個月
[00:02:11.000 --> 00:02:14.280]  他們辦一次感恩會
[00:02:14.280 --> 00:02:16.800]  在當中我自己有份出席
[00:02:16.800 --> 00:02:20.120]  當父母抱著嬰兒出來的時候
[00:02:20.120 --> 00:02:22.240]  我們的心很快樂
[00:02:22.240 --> 00:02:24.920]  因為這個嬰兒已經完全康復
[00:02:24.920 --> 00:02:28.480]  跟一般嬰兒是沒有分別的
[00:02:28.480 --> 00:02:31.080]  有些時候當我們面對著困難的時候
[00:02:31.080 --> 00:02:34.440]  我們心被催促去倚靠神
[00:02:34.440 --> 00:02:36.280]  而經歷神
[00:02:36.280 --> 00:02:38.920]  在平時生活很安穩的日子
[00:02:38.920 --> 00:02:39.960]  都沒有什麼大問題
[00:02:39.960 --> 00:02:41.320]  都很好的時候
[00:02:41.320 --> 00:02:43.840]  我們未必很懂得倚靠神
[00:02:43.840 --> 00:02:47.640]  突然一個大風浪掩過來
[00:02:47.640 --> 00:02:50.280]  突然驚惶失措怎麼辦呢?
[00:02:50.280 --> 00:02:53.920]  在那時候就會知道要祈禱
[00:02:53.920 --> 00:02:57.280]  在祈禱過程中經歷神給我們的保守
[00:02:57.280 --> 00:02:59.680]  而經歷生命的復興
[00:02:59.680 --> 00:03:01.800]  不單單事情解決了
[00:03:01.800 --> 00:03:04.640]  而是再一次深刻的體會
[00:03:04.640 --> 00:03:08.160]  這位上帝是真實的神
[00:03:08.160 --> 00:03:10.520]  是活生生的上帝
[00:03:10.520 --> 00:03:14.680]  而祂會為等候祂的人成就大事
