
[00:00:00.000 --> 00:00:05.000]  有六篇诗篇,它们有共同的特点。
[00:00:05.000 --> 00:00:09.500]  诗篇里面有六篇诗篇,有共同的特点。
[00:00:09.500 --> 00:00:16.000]  就是诗人表达他们对于圣殿和圣城的热爱。
[00:00:16.000 --> 00:00:20.000]  就是诗人表达他对圣殿和圣城的热爱。
[00:00:20.000 --> 00:00:29.000]  同时呢,他们也提到圣殿和圣城里面一些事物,是他们最欣赏的。
[00:00:29.000 --> 00:00:34.000]  同时呢,他们也提到圣殿和圣城里面一些事物,是他们最欣赏的。
[00:00:34.000 --> 00:00:39.000]  这六篇诗篇给我们至少两方面的启发。
[00:00:39.000 --> 00:00:43.000]  这六篇诗篇给我们至少两方面的启发。
[00:00:43.000 --> 00:00:51.000]  第一方面,就是让我们学习他们如何的爱圣殿和圣城。
[00:00:51.000 --> 00:00:55.000]  就是叫我们能够学习他们如何的爱圣殿和圣城。
[00:00:55.000 --> 00:00:58.000]  让我们能够在今天爱教会。
[00:00:58.000 --> 00:01:00.000]  让我们今天能够爱教会。
[00:01:00.000 --> 00:01:10.000]  第二方面,我们也在教会里面把他们所欣赏的物件建造起来。
[00:01:10.000 --> 00:01:15.000]  我们都是在教会里面将他们所欣赏的物件建造起来。
[00:01:15.000 --> 00:01:19.000]  这是今天晚上我们两个重点。
[00:01:19.000 --> 00:01:22.000]  这是今天晚上我们两个重点。
[00:01:22.000 --> 00:01:30.000]  我们用今天晚上和明天晚上来思想这一个信息。
[00:01:30.000 --> 00:01:35.000]  我们用今天晚上和明天晚上来思想这个信息。
[00:01:35.000 --> 00:01:39.000]  今天晚上看三篇,明天看三篇。
[00:01:39.000 --> 00:01:42.000]  今天晚上看三篇,明天看三篇。
[00:01:42.000 --> 00:01:46.000]  今天晚上要看的第一篇在八十四篇。
[00:01:46.000 --> 00:01:50.000]  今天晚上要看第一篇在八十四篇。
[00:01:50.000 --> 00:01:52.000]  请翻到第八十四篇。
[00:01:52.000 --> 00:01:55.000]  请翻到第八十四篇。
[00:01:55.000 --> 00:01:57.000]  我们先看头两节。
[00:01:57.000 --> 00:02:00.000]  我们先看头两节。
[00:02:00.000 --> 00:02:04.000]  万君知耶和阿,你的居所何等可爱?
[00:02:04.000 --> 00:02:07.000]  我羡慕何尚耶和的远处,
[00:02:07.000 --> 00:02:11.000]  我的心肠,我的肉体,向永生神呼吁。
[00:02:11.000 --> 00:02:13.000]  在这里世人说,
[00:02:13.000 --> 00:02:14.000]  在这里之人说,
[00:02:14.000 --> 00:02:17.000]  以后花的居所就是圣殿,
[00:02:17.000 --> 00:02:19.000]  何等可爱?
[00:02:19.000 --> 00:02:22.000]  以后花的居所就是圣殿,何等可爱?
[00:02:22.000 --> 00:02:23.000]  第二节。
[00:02:23.000 --> 00:02:24.000]  第二节。
[00:02:24.000 --> 00:02:29.000]  世人羡慕何尚耶和阿的远处,
