
[00:00:00.000 --> 00:00:02.740]  當我們讀《黑哥書》的時候
[00:00:02.740 --> 00:00:05.240]  我就先想起一件事情
[00:00:05.240 --> 00:00:07.000]  就是大家都會記得
[00:00:07.000 --> 00:00:10.000]  當主耶穌在祂幼年的時候
[00:00:10.000 --> 00:00:11.500]  十二歲的時候
[00:00:11.500 --> 00:00:15.000]  祂和祂的家人一起上到耶路撒冷過節
[00:00:15.000 --> 00:00:17.000]  在這個節期完了之後
[00:00:17.000 --> 00:00:19.000]  家人都離開
[00:00:19.000 --> 00:00:23.000]  但是祂就一個人留下在聖殿裏面
[00:00:23.000 --> 00:00:26.000]  事實上當時主耶穌在聖殿當中
[00:00:26.000 --> 00:00:29.000]  很留心地去聽道
[00:00:29.000 --> 00:00:31.000]  一邊聽一邊聞
[00:00:31.000 --> 00:00:34.000]  大家都很稀奇祂的那種智慧
[00:00:34.000 --> 00:00:39.000]  但是祂好像沒有留意到家人很掛心祂
[00:00:39.000 --> 00:00:41.000]  所以差不多三天之後
[00:00:41.000 --> 00:00:43.000]  家人才找到祂
[00:00:43.000 --> 00:00:45.000]  甚至帶著一點點責備的口吻
[00:00:45.000 --> 00:00:47.000]  就是為什麼你不留意我們
[00:00:47.000 --> 00:00:49.000]  其實很擔心你
[00:00:49.000 --> 00:00:52.000]  不知道你去了哪裡呢
[00:00:52.000 --> 00:00:55.000]  耶穌的回答是令很多人都很驚訝的
[00:00:55.000 --> 00:00:58.000]  祂怎樣回答 大家記得
[00:00:58.000 --> 00:01:06.000]  祂就說 豈不知我應當以我父的事為念嗎
[00:01:06.000 --> 00:01:10.000]  豈不是我應該以我父的事為念嗎
[00:01:10.000 --> 00:01:13.000]  在祂眼前是祂的父母
[00:01:13.000 --> 00:01:19.000]  但是祂說 豈不是我應當以我父的事為念
[00:01:19.000 --> 00:01:22.000]  很明顯 主耶穌在祂心裏想到的
[00:01:22.000 --> 00:01:27.000]  是祂的父 天上的父親的事情
[00:01:27.000 --> 00:01:29.000]  當我們這樣去讀的時候
[00:01:29.000 --> 00:01:34.000]  如果你明白你今天蒙受神的兒女的身份
[00:01:34.000 --> 00:01:39.000]  是多麼的奇妙 和多麼大的恩惠
[00:01:39.000 --> 00:01:43.000]  你會更多去認同主耶穌所說
[00:01:43.000 --> 00:01:51.000]  一切的事上不要忘記 不要疏忽你的天父的事
[00:01:51.000 --> 00:01:53.000]  今天當我們讀到哈蓋書的時候
[00:01:53.000 --> 00:01:55.000]  你會體會到聖經裏面描述
[00:01:55.000 --> 00:01:57.000]  當時的以色列百姓
[00:01:57.000 --> 00:02:03.000]  他們心裏所顧念的 所掛念的是自己的事情
[00:02:03.000 --> 00:02:07.000]  而聖經特別是神要透過一位先知
[00:02:07.000 --> 00:02:09.000]  特別地向他們提出
[00:02:09.000 --> 00:02:14.000]  你們要顧念你們父親的事情
[00:02:14.000 --> 00:02:19.000]  這是作神的兒女必須要常常提醒自己
[00:02:19.000 --> 00:02:23.000]  提醒自己鼓勵自己會有的一個方向
[00:02:23.000 --> 00:02:25.000]  哈蓋書大家都知道
[00:02:25.000 --> 00:02:28.000]  我們過去有好幾次讀《淵源經文》
[00:02:28.000 --> 00:02:30.000]  哈蓋書的背景大家會了解
[00:02:30.000 --> 00:02:32.000]  就是當時一班以色列人
[00:02:32.000 --> 00:02:34.000]  他們被擄到巴比倫之後
[00:02:34.000 --> 00:02:38.000]  神讓他們能夠回到他們的故居
[00:02:38.000 --> 00:02:40.000]  他們耶路撒冷的地方
[00:02:40.000 --> 00:02:42.000]  回去之後他們很感動
[00:02:42.000 --> 00:02:45.000]  他們重建聖壇 在當中獻祭
[00:02:45.000 --> 00:02:48.000]  也開始重新建造聖殿
[00:02:48.000 --> 00:02:50.000]  過去已經被拆毀了
[00:02:50.000 --> 00:02:53.000]  他們建造了一個根基 很歡喜
[00:02:53.000 --> 00:02:56.000]  但突然間出現了很多的阻礙
[00:02:56.000 --> 00:02:58.000]  包括當時的撒馬尼亞人
[00:02:58.000 --> 00:03:01.000]  他們的敵人來阻止他們建殿
[00:03:01.000 --> 00:03:05.000]  又加上當時經歷了旱災
[00:03:05.000 --> 00:03:08.000]  當時的經濟環境都是很差
[00:03:08.000 --> 00:03:12.000]  所以他們就停止了不再建造聖殿
[00:03:12.000 --> 00:03:16.000]  但一停 停了多久?
[00:03:16.000 --> 00:03:21.000]  一年 兩年 不是 是十六年
[00:03:21.000 --> 00:03:22.000]  停了十六年的時間
[00:03:22.000 --> 00:03:25.000]  他們似乎已經忘記了這件事情
[00:03:25.000 --> 00:03:30.000]  但上帝就特別透過哈蓋先知
[00:03:30.000 --> 00:03:31.000]  要提醒他們
[00:03:31.000 --> 00:03:35.000]  你們記得你們曾經開始了的工作
[00:03:35.000 --> 00:03:37.000]  你們要繼續
[00:03:37.000 --> 00:03:38.000]  或者我們會問
[00:03:38.000 --> 00:03:42.000]  為甚麼好像突然間他們不再理會神的殿
[00:03:42.000 --> 00:03:44.000]  或者說神的家的事呢?
[00:03:44.000 --> 00:03:46.000]  大家留意聖經
[00:03:46.000 --> 00:03:49.000]  你會留意到在聖經開始的時候第二節
[00:03:49.000 --> 00:03:52.000]  神就直接地說出那個原因
[00:03:52.000 --> 00:03:55.000]  或者他們停止建殿的心態是怎樣
[00:03:55.000 --> 00:03:58.000]  在第一章第二節
[00:03:58.000 --> 00:04:01.000]  萬君子耶和華這樣說
[00:04:01.000 --> 00:04:03.000]  這些百姓說
[00:04:03.000 --> 00:04:07.000]  從見耶和華殿院的時候說沒有到
[00:04:07.000 --> 00:04:10.000]  他們說時候未到
[00:04:10.000 --> 00:04:13.000]  可能他們在想耶利米先知曾經說
[00:04:13.000 --> 00:04:17.000]  聖殿被毀之後 七十年之後會重建
[00:04:17.000 --> 00:04:20.000]  但是他們計算好像還未夠時間
[00:04:20.000 --> 00:04:23.000]  應該不需要怎樣掛心字
[00:04:23.000 --> 00:04:25.000]  時候未到
[00:04:25.000 --> 00:04:28.000]  你們再讀到時候第四節
[00:04:28.000 --> 00:04:30.000]  主的話繼續這樣說
[00:04:30.000 --> 00:04:33.000]  或者殿院仍然荒廢
[00:04:33.000 --> 00:04:38.000]  豈是你們住在有天花板的房屋的時候嗎?
[00:04:38.000 --> 00:04:40.000]  突然間一看的時候
[00:04:40.000 --> 00:04:41.000]  你發覺神指出
[00:04:41.000 --> 00:04:44.000]  你們說時候未到其實是藉口
[00:04:44.000 --> 00:04:47.000]  建造神的殿的時候未到
[00:04:47.000 --> 00:04:49.000]  但是享受住在自己華麗的
[00:04:49.000 --> 00:04:53.000]  舒適的家裏的時候就到了
[00:04:53.000 --> 00:04:57.000]  很矛盾的一種情況
[00:04:57.000 --> 00:05:01.000]  其實背後是百姓不想理會
[00:05:01.000 --> 00:05:04.000]  神的殿的情況
[00:05:04.000 --> 00:05:06.000]  不想理會或者說他們已經很滿足於
[00:05:06.000 --> 00:05:08.000]  現在有的那種舒適
