
[00:00:00.000 --> 00:00:12.000]  不知道大家是否記得以前麥當勞有一種包叫做媽寶
[00:00:12.000 --> 00:00:20.000]  兩塊包 一頂一底 中間夾著兩塊漢堡肉
[00:00:20.000 --> 00:00:25.000]  今天這個C篇86篇的結構就是這樣
[00:00:25.000 --> 00:00:28.000]  一至七節就是上面那塊包
[00:00:28.000 --> 00:00:33.000]  詩人求上帝留心聽他的申訴 快點救我
[00:00:33.000 --> 00:00:37.000]  最底那塊包14至17節
[00:00:37.000 --> 00:00:42.000]  也是詩人去求上帝轉向自己 求你救我
[00:00:42.000 --> 00:00:45.000]  然後中間夾著的兩塊漢堡肉
[00:00:45.000 --> 00:00:50.000]  第一塊是八至十節 他說萬國會尊崇上帝
[00:00:50.000 --> 00:00:54.000]  好像剛才我們唱的詩歌 除你意外
[00:00:54.000 --> 00:01:01.000]  然後11至13節 詩人說我自己也會尊崇你
[00:01:01.000 --> 00:01:05.000]  這個媽寶的結構就是今天C篇86篇
[00:01:05.000 --> 00:01:08.000]  我們可以用這個方法去解策
[00:01:08.000 --> 00:01:11.000]  如果你是乖乖用C篇去靈修過
[00:01:11.000 --> 00:01:14.000]  由第一篇讀到86篇
[00:01:14.000 --> 00:01:20.000]  你大概會發現字眼都熟口熟面
[00:01:20.000 --> 00:01:23.000]  有一種很強烈似曾相識的感覺
[00:01:23.000 --> 00:01:30.000]  學者說原來這裡每一節都在前面的詩篇出現過
[00:01:30.000 --> 00:01:32.000]  這個詩人在唱K歌
[00:01:32.000 --> 00:01:37.000]  K歌之王 串燒 二次創作
[00:01:37.000 --> 00:01:44.000]  他好像在祈禱當中將很多他知道的詩句串連在一起
[00:01:44.000 --> 00:01:46.000]  雖然是句句似曾相識
[00:01:46.000 --> 00:01:48.000]  但這個詩篇有自己的特色
[00:01:48.000 --> 00:01:53.000]  其中一個特色就是詩人向神的祈禱是很直接的
[00:01:53.000 --> 00:01:58.000]  整篇都是詩人不斷向神禱告
[00:01:58.000 --> 00:02:00.000]  我 你 我 你
[00:02:00.000 --> 00:02:01.000]  很強烈的情感
[00:02:01.000 --> 00:02:02.000]  怎樣強烈呢
[00:02:02.000 --> 00:02:04.000]  原來當中已經用了六次
[00:02:04.000 --> 00:02:08.000]  是說你呀 神 你呀 你呀 你呀
[00:02:08.000 --> 00:02:11.000]  第二節中文譯本認不出來
[00:02:11.000 --> 00:02:15.000]  原文直譯是說你是我的神
[00:02:15.000 --> 00:02:16.000]  求你拯救
[00:02:16.000 --> 00:02:19.000]  第五節你是良善的
[00:02:19.000 --> 00:02:20.000]  第十節上半節
[00:02:20.000 --> 00:02:22.000]  因為你是偉大的
[00:02:22.000 --> 00:02:25.000]  第十節下半節只有你是神
[00:02:25.000 --> 00:02:28.000]  十五節你是有憐憫有恩憐的神
[00:02:28.000 --> 00:02:32.000]  十七節因為你耶和華幫助了我
[00:02:32.000 --> 00:02:35.000]  不知道你感覺到那種直接的欲感
[00:02:35.000 --> 00:02:36.000]  強烈的情感
[00:02:36.000 --> 00:02:38.000]  詩人要捉住神
[00:02:38.000 --> 00:02:39.000]  為什麼呢
[00:02:39.000 --> 00:02:41.000]  因為他要救命
[00:02:41.000 --> 00:02:43.000]  不單止這樣
[00:02:43.000 --> 00:02:45.000]  在這短短的八十六篇裡
[00:02:45.000 --> 00:02:47.000]  第二個特色就是
[00:02:47.000 --> 00:02:49.000]  重複了七次的主呀
[00:02:49.000 --> 00:02:51.000]  主呀 主呀 主呀 主呀
[00:02:51.000 --> 00:02:53.000]  說了七次
[00:02:53.000 --> 00:02:55.000]  找遍整本舊約裡
[00:02:55.000 --> 00:02:58.000]  所有的詩篇詩歌
[00:02:58.000 --> 00:03:00.000]  詩篇八十六篇排第一
[00:03:00.000 --> 00:03:02.000]  最多是在一篇裡重複
[00:03:02.000 --> 00:03:03.000]  主呀 主呀 主呀
[00:03:03.000 --> 00:03:07.000]  排第二的就是耶利米埃哥的第二章
[00:03:07.000 --> 00:03:08.000]  他也是七次
[00:03:08.000 --> 00:03:10.000]  不過因為他的節數多一點
[00:03:10.000 --> 00:03:11.000]  所以平均分
[00:03:11.000 --> 00:03:13.000]  八十六篇贏了
[00:03:13.000 --> 00:03:14.000]  排第一
[00:03:14.000 --> 00:03:16.000]  很多的主呀 主呀
[00:03:16.000 --> 00:03:18.000]  原文主呀是adonai
[00:03:18.000 --> 00:03:20.000]  表達主人
[00:03:20.000 --> 00:03:22.000]  Master 主人
[00:03:22.000 --> 00:03:24.000]  而且詩人去表達自己的身份
[00:03:24.000 --> 00:03:26.000]  在第二節
[00:03:26.000 --> 00:03:29.000]  你會看到他是神的僕人
[00:03:29.000 --> 00:03:31.000]  第四節再重複
[00:03:31.000 --> 00:03:33.000]  十六節也是這樣說
[00:03:33.000 --> 00:03:35.000]  是神的僕人
[00:03:35.000 --> 00:03:37.000]  是他婢女的兒子
[00:03:37.000 --> 00:03:39.000]  讓我們看到這篇詩篇的圖畫是什麼
[00:03:39.000 --> 00:03:41.000]  就是一個僕人
[00:03:41.000 --> 00:03:43.000]  去懇求他的主人
[00:03:43.000 --> 00:03:45.000]  求你出手救我吧
[00:03:45.000 --> 00:03:47.000]  一般我們讀詩篇
[00:03:47.000 --> 00:03:49.000]  我們很喜歡讀一些
[00:03:49.000 --> 00:03:53.000]  跟神很親近的那種感覺的詩篇
[00:03:53.000 --> 00:03:55.000]  我是主的羊
[00:03:55.000 --> 00:03:56.000]  青草地
[00:03:56.000 --> 00:03:57.000]  或者愛呀
[00:03:57.000 --> 00:03:59.000]  就是神你很愛我
[00:03:59.000 --> 00:04:02.000]  但是有時候我們有些弟兄姊妹
[00:04:02.000 --> 00:04:04.000]  未必很容易
[00:04:04.000 --> 00:04:06.000]  馬上進入到這些這麼親近的關係
[00:04:06.000 --> 00:04:08.000]  或者你現在的處境
[00:04:08.000 --> 00:04:11.000]  令你覺得跟神很遠
[00:04:11.000 --> 00:04:14.000]  這篇詩幫我們從另一個角度
[00:04:14.000 --> 00:04:17.000]  去看我們跟神的關係
[00:04:17.000 --> 00:04:19.000]  從一個主人
[00:04:19.000 --> 00:04:21.000]  僕人的關係
[00:04:21.000 --> 00:04:23.000]  去感受一下
[00:04:23.000 --> 00:04:24.000]  更加幫助我們
[00:04:24.000 --> 00:04:26.000]  有時候我們可能跟肉身的父親
[00:04:26.000 --> 00:04:28.000]  關係未必很親近
[00:04:28.000 --> 00:04:30.000]  甚至疏離的話
[00:04:30.000 --> 00:04:32.000]  我們也可以用這個主人
[00:04:32.000 --> 00:04:34.000]  僕人的關係
[00:04:34.000 --> 00:04:37.000]  去領受感受我們跟神之間
[00:04:37.000 --> 00:04:39.000]  那種的親密
[00:04:39.000 --> 00:04:41.000]  那種的途徑
[00:04:41.000 --> 00:04:43.000]  第一點想跟大家分享的是
[00:04:43.000 --> 00:04:44.000]  弟兄姊妹我們要記得
[00:04:44.000 --> 00:04:48.000]  我們都是神的僕人
