
[00:00:00.000 --> 00:00:02.000]  當我們看44篇的時候
[00:00:02.000 --> 00:00:04.000]  你會看到有很多的教徒
[00:00:04.000 --> 00:00:06.000]  在人生的路上
[00:00:06.000 --> 00:00:09.000]  是遇到不少的困難
[00:00:09.000 --> 00:00:11.000]  甚至是患難的事情
[00:00:11.000 --> 00:00:13.000]  我們都很快就會問
[00:00:13.000 --> 00:00:15.000]  為什麼會有一些這樣的事情
[00:00:15.000 --> 00:00:17.000]  臨到神的子民
[00:00:17.000 --> 00:00:20.000]  神豈不是會保護我們嗎?
[00:00:20.000 --> 00:00:21.000]  為什麼會有一些這樣的事情
[00:00:21.000 --> 00:00:23.000]  在我們身上發生?
[00:00:23.000 --> 00:00:24.000]  簡單來說
[00:00:24.000 --> 00:00:25.000]  你發覺聖經裏面
[00:00:25.000 --> 00:00:28.000]  有很多個原因提出來
[00:00:28.000 --> 00:00:32.000]  第一,因為我們生活在一個罪惡的世界
[00:00:32.000 --> 00:00:36.000]  這個世界的罪是傷害我們
[00:00:36.000 --> 00:00:39.000]  第二,也都可能是我們自己生命的罪
[00:00:39.000 --> 00:00:41.000]  帶來給自己的傷害
[00:00:41.000 --> 00:00:43.000]  又或者在罪當中
[00:00:43.000 --> 00:00:45.000]  神施下他的管教
[00:00:45.000 --> 00:00:47.000]  要挽回我們
[00:00:47.000 --> 00:00:50.000]  第三,有些情況你會發覺
[00:00:50.000 --> 00:00:51.000]  聖經清楚說
[00:00:51.000 --> 00:00:53.000]  光明和黑暗之間
[00:00:53.000 --> 00:00:55.000]  有一個很大的衝突
[00:00:55.000 --> 00:00:58.000]  當屬神的人要走在光明的路上
[00:00:58.000 --> 00:01:00.000]  要走在亮線當中
[00:01:00.000 --> 00:01:03.000]  黑暗的勢力不喜歡
[00:01:03.000 --> 00:01:08.000]  亦都會嘗試傷害走光明的人
[00:01:08.000 --> 00:01:09.000]  當然這種傷害
[00:01:09.000 --> 00:01:12.000]  亦都包括了在邪惡的世界裏面
[00:01:12.000 --> 00:01:15.000]  靈界裏面的攻擊
[00:01:15.000 --> 00:01:18.000]  因此我們見到聖經描述有不少的情況
[00:01:18.000 --> 00:01:22.000]  撒旦要去攻擊屬神的人
[00:01:22.000 --> 00:01:25.000]  因此你和我在其中
[00:01:25.000 --> 00:01:28.000]  如果你是要跟隨上帝的
[00:01:28.000 --> 00:01:31.000]  如果你是要敬虔度日的
[00:01:31.000 --> 00:01:32.000]  正如聖經所說
[00:01:32.000 --> 00:01:35.000]  你可以有一種心理準備
[00:01:35.000 --> 00:01:39.000]  我們會面對不同程度的困難
[00:01:39.000 --> 00:01:41.000]  聖經所說的迫不
[00:01:41.000 --> 00:01:43.000]  或者是各樣的患難
[00:01:43.000 --> 00:01:44.000]  在這個困難當中
[00:01:44.000 --> 00:01:46.000]  有人會灰心
[00:01:46.000 --> 00:01:48.000]  不得神不可靠
[00:01:48.000 --> 00:01:50.000]  因此離開神
[00:01:50.000 --> 00:01:52.000]  但我們看詩篇的時候
[00:01:52.000 --> 00:01:54.000]  見到有很多歷代的聖徒
[00:01:54.000 --> 00:01:57.000]  他們面對著一些患難的時候
[00:01:57.000 --> 00:02:01.000]  他們很清楚表明出他們對神的信心
[00:02:01.000 --> 00:02:04.000]  然後繼續放膽去尋求恩惠
[00:02:04.000 --> 00:02:07.000]  而經歷神很奇妙的保守
[00:02:07.000 --> 00:02:09.000]  就算有些時候
[00:02:09.000 --> 00:02:12.000]  好像神沒有保守到他
[00:02:12.000 --> 00:02:13.000]  但他們仍然會說
[00:02:13.000 --> 00:02:15.000]  即或不然
[00:02:15.000 --> 00:02:17.000]  我們仍然相信這位上帝
[00:02:17.000 --> 00:02:19.000]  有他最高的美意
[00:02:19.000 --> 00:02:23.000]  而在當中繼續堅定地去信靠
[00:02:23.000 --> 00:02:25.000]  去跟隨上帝
[00:02:25.000 --> 00:02:26.000]  而我們今天讀這篇詩篇的時候
[00:02:26.000 --> 00:02:28.000]  也去思想我們今天
[00:02:28.000 --> 00:02:30.000]  在我們所身處的環境
[00:02:30.000 --> 00:02:33.000]  我們怎樣能夠去繼續堅信
[00:02:33.000 --> 00:02:35.000]  靠主可以得勝
[00:02:35.000 --> 00:02:36.000]  大家看聖經的時候
[00:02:36.000 --> 00:02:39.000]  詩篇44篇一開始
[00:02:39.000 --> 00:02:41.000]  詩人就禱告神
[00:02:41.000 --> 00:02:44.000]  而他的禱告的開始
[00:02:44.000 --> 00:02:47.000]  是表明他那種心中的信念
[00:02:47.000 --> 00:02:49.000]  在第一第二節提及到
[00:02:49.000 --> 00:02:52.000]  想起他們的祖先
[00:02:52.000 --> 00:02:54.000]  他們的先祖
[00:02:54.000 --> 00:02:56.000]  怎樣經歷神的保守
[00:02:56.000 --> 00:02:59.000]  曾經神帶領他們進入到迦南美地
[00:02:59.000 --> 00:03:02.000]  將美善的土地賜給他們
[00:03:02.000 --> 00:03:03.000]  講出列國
[00:03:03.000 --> 00:03:06.000]  讓他們得著昌盛
[00:03:06.000 --> 00:03:10.000]  描述回過去他們所經歷的事情
[00:03:10.000 --> 00:03:11.000]  然後第三節就說
[00:03:11.000 --> 00:03:14.000]  因為他們取得那地
[00:03:14.000 --> 00:03:16.000]  不是靠自己的刀劍
[00:03:16.000 --> 00:03:19.000]  他們得勝不是靠自己的膀背
[00:03:19.000 --> 00:03:22.000]  而是靠你的右手
[00:03:22.000 --> 00:03:26.000]  你的膀背和你面上的光
[00:03:26.000 --> 00:03:29.000]  因為你喜悅他們
[00:03:29.000 --> 00:03:31.000]  他們很清楚知道
[00:03:31.000 --> 00:03:33.000]  這篇詩是一篇集體的詩
[00:03:33.000 --> 00:03:36.000]  國家的領袖代表百姓
[00:03:36.000 --> 00:03:38.000]  向神發出呼求
[00:03:38.000 --> 00:03:40.000]  他們講述回過去的時候
[00:03:40.000 --> 00:03:42.000]  清楚知道過去我們能夠得到勝利
[00:03:42.000 --> 00:03:44.000]  面對很多受敵
[00:03:44.000 --> 00:03:45.000]  很多攻擊的時候
[00:03:45.000 --> 00:03:48.000]  絕對不是自己的刀劍
[00:03:48.000 --> 00:03:50.000]  在當時的時代
[00:03:50.000 --> 00:03:53.000]  刀劍是代表勝利
[00:03:53.000 --> 00:03:56.000]  也代表重要的資源
[00:03:56.000 --> 00:03:57.000]  有刀有劍
