
[00:00:00.000 --> 00:00:04.080]  今天的題目是經歷神的二
[00:00:04.080 --> 00:00:07.160]  經歷神的一 你說我沒有聽過
[00:00:07.160 --> 00:00:13.360]  不要緊 你聽回上一次我們所講到的內容
[00:00:13.360 --> 00:00:18.160]  不過不要緊 今天我們集中的課題
[00:00:18.160 --> 00:00:23.740]  是繼續我們上一次所分享的
[00:00:23.740 --> 00:00:28.160]  上一次我們講到如果我們打開一本聖經
[00:00:28.160 --> 00:00:31.880]  很認真地看聖經裏面的人物
[00:00:31.880 --> 00:00:36.480]  和他們的經驗 他們經歷神是怎樣的呢?
[00:00:36.480 --> 00:00:38.840]  我們會看到一幅圖畫
[00:00:38.840 --> 00:00:41.880]  那幅圖畫就是聖經裏面的人物
[00:00:41.880 --> 00:00:46.360]  他所經歷的神是很真實的 很活生生的
[00:00:46.360 --> 00:00:48.640]  神不斷可以和他們說話
[00:00:48.640 --> 00:00:51.080]  他就聽到神和他們說話
[00:00:51.080 --> 00:00:55.120]  他又看到神的手不斷地介入他們的生命當中
[00:00:55.120 --> 00:00:58.640]  甚至扭轉他們本來的計劃
[00:00:58.640 --> 00:01:02.160]  他所碰見的困難 神在那裏出現
[00:01:02.160 --> 00:01:10.920]  很奇妙地進行神自己的力量表現出來
[00:01:10.920 --> 00:01:15.920]  這就是聖經裏面我們所見到那些人的經歷
[00:01:15.920 --> 00:01:19.480]  我們提出 如果我們比較一下我們自己
[00:01:19.480 --> 00:01:22.720]  或者我們有些信徒 信了神這麼久
[00:01:22.720 --> 00:01:25.840]  為何和他們不同呢?
[00:01:25.840 --> 00:01:29.360]  為何神在你和我的生命的身上
[00:01:29.360 --> 00:01:31.800]  是如此模糊呢?
[00:01:31.800 --> 00:01:34.840]  好像有他和沒有他沒有分別
[00:01:34.840 --> 00:01:38.400]  為何他們的經歷我們沒有呢?
[00:01:38.400 --> 00:01:42.720]  這就是我們起始點要問的問題
[00:01:42.720 --> 00:01:48.640]  我們再研究過 其實神沒有改變他的策略
[00:01:48.640 --> 00:01:51.360]  不是說神在聖經裏面這樣做
[00:01:51.360 --> 00:01:55.640]  然後現在就不用這樣做 不是的
[00:01:55.640 --> 00:01:58.640]  那就是說 如果我們今天不是像聖經那樣
[00:01:58.640 --> 00:02:03.560]  去經歷神那麼真實、那麼活潑
[00:02:03.560 --> 00:02:06.880]  我們是不正常的
[00:02:06.880 --> 00:02:09.160]  或者我們會令神很失望
[00:02:09.160 --> 00:02:11.080]  神不是想我們這樣
[00:02:11.080 --> 00:02:13.440]  這就是一個問題
[00:02:13.440 --> 00:02:16.040]  我們也繼續說過
[00:02:16.040 --> 00:02:19.920]  如果我們真的嘗試去總結一下
[00:02:19.920 --> 00:02:23.680]  什麼叫做經歷神這回事呢?
[00:02:23.680 --> 00:02:26.840]  我們借用約翰福音第十四章
[00:02:26.840 --> 00:02:31.440]  第20節裏面 耶穌基督說了兩句話
[00:02:31.440 --> 00:02:34.400]  那兩句話就是說
[00:02:34.400 --> 00:02:37.040]  你們要在我裏面
[00:02:37.040 --> 00:02:40.160]  我也要在你們裏面
[00:02:40.160 --> 00:02:47.760]  這個可以說是經歷神的總綱和操練的方向
[00:02:47.760 --> 00:02:51.040]  第一方面我們曾經說過
[00:02:51.040 --> 00:02:54.760]  就是耶穌基督說我在你們裏面
[00:02:54.760 --> 00:02:57.640]  意思就是耶穌基督在我們裏面
[00:02:57.640 --> 00:03:01.040]  原來神自己那個奇妙的計劃
[00:03:01.040 --> 00:03:02.640]  是當耶穌升天之後
[00:03:02.640 --> 00:03:06.960]  他特別用一種新的身份和方式
[00:03:06.960 --> 00:03:09.040]  就是靈的方式
[00:03:09.040 --> 00:03:11.000]  天地宇宙的主宰
[00:03:11.000 --> 00:03:16.320]  竟然願意用一個靈的方式住在信徒的心裏面
[00:03:16.320 --> 00:03:17.880]  在我們裏面
[00:03:17.880 --> 00:03:21.960]  原來在我們裏面有宇宙的主宰願意在我們裏面
[00:03:21.960 --> 00:03:24.120]  帶來很大的不同
[00:03:24.120 --> 00:03:25.360]  首先第一樣
[00:03:25.360 --> 00:03:28.800]  祂會在我們心靈裏面和我們說話
[00:03:28.800 --> 00:03:32.320]  我們24小時時時聽到祂和我們說話
[00:03:32.320 --> 00:03:34.080]  這個課題我們上次說了
[00:03:34.080 --> 00:03:36.200]  今天我們不會再重複再說
[00:03:36.200 --> 00:03:37.880]  怎樣聽到神的話
[00:03:37.880 --> 00:03:40.560]  神怎樣和我們說話
[00:03:40.560 --> 00:03:41.920]  另外呢
[00:03:41.920 --> 00:03:44.160]  我們今天特別要說的
[00:03:44.160 --> 00:03:46.520]  神在我們的心裏面
[00:03:46.520 --> 00:03:49.920]  祂在我們裏面不單止和我們溝通
[00:03:49.920 --> 00:03:52.240]  祂在我們裏面讓我們經驗到
[00:03:52.240 --> 00:03:54.240]  原來祂在的力量
[00:03:54.240 --> 00:03:56.800]  那種超然的能力
[00:03:56.800 --> 00:03:57.960]  發揮出來的時候
[00:03:57.960 --> 00:04:00.240]  我們自己都驚訝
[00:04:00.240 --> 00:04:03.040]  祂竟然可以扭轉我們的習慣
[00:04:03.040 --> 00:04:05.120]  竟然可以在我們應該
[00:04:05.120 --> 00:04:07.000]  從人的角度各方面來說
[00:04:07.000 --> 00:04:10.160]  應該是最失望、最絕望、最難過的時候
[00:04:10.160 --> 00:04:13.520]  竟然可以重新有盼望、有力量
[00:04:13.520 --> 00:04:15.400]  這個不是心理的改變
[00:04:15.400 --> 00:04:16.960]  甚至不是一種教育
[00:04:16.960 --> 00:04:19.880]  而是一個力量很清楚、很真實的
[00:04:19.880 --> 00:04:24.160]  在我們心裏面去扭轉我們的生命
[00:04:24.160 --> 00:04:27.040]  這個就是神自己的大能的彰顯
[00:04:27.040 --> 00:04:28.440]  我經歷到的
[00:04:28.440 --> 00:04:31.360]  神是願意我們經驗得到的
[00:04:31.360 --> 00:04:32.880]  然後我們還有
[00:04:32.880 --> 00:04:35.280]  耶穌說另外一個方向就是
[00:04:35.280 --> 00:04:38.280]  我們在祂裏面
[00:04:38.280 --> 00:04:40.880]  我們在耶穌的基督裏面
[00:04:40.880 --> 00:04:44.480]  就好像稍微抽象一點
[00:04:44.480 --> 00:04:46.040]  為什麼我們在祂裏面呢?
[00:04:46.040 --> 00:04:48.600]  我們說不是像動畫一樣
[00:04:48.600 --> 00:04:50.680]  耶穌無限膨脹
[00:04:50.680 --> 00:04:51.720]  好像雲一樣
[00:04:51.720 --> 00:04:53.600]  然後吸進去裡面
[00:04:53.600 --> 00:04:54.480]  包著我們
[00:04:54.480 --> 00:04:55.160]  不是
[00:04:55.160 --> 00:04:55.960]  而是那個
[00:04:55.960 --> 00:04:56.800]  意思就是
[00:04:56.800 --> 00:04:58.160]  我們在神的裏面
[00:04:58.160 --> 00:04:59.840]  在耶穌的裏面
[00:04:59.840 --> 00:05:01.680]  就是表示我們經驗到
[00:05:01.680 --> 00:05:02.440]  耶穌基督
[00:05:02.440 --> 00:05:03.280]  我們的神
[00:05:03.280 --> 00:05:06.080]  在我們的生命周圍不斷的出現
[00:05:06.080 --> 00:05:08.600]  祂的手沒有離開我們
[00:05:08.600 --> 00:05:10.960]  我們經驗到祂包圍著我們
[00:05:10.960 --> 00:05:12.200]  就是這個意思
[00:05:12.200 --> 00:05:13.920]  祂包圍著我們一樣
[00:05:13.920 --> 00:05:15.160]  就是祂的大能
[00:05:15.160 --> 00:05:16.760]  祂的超然能力
[00:05:16.760 --> 00:05:21.120]  不單在我們心裏扭轉我們個人的信徒的生命
[00:05:21.120 --> 00:05:22.280]  我們很驚訝
[00:05:22.280 --> 00:05:23.560]  我們更加驚訝的就是
[00:05:23.560 --> 00:05:26.080]  原來祂不斷在我們生活裏面
[00:05:26.080 --> 00:05:27.440]  在遭遇的事上
[00:05:27.440 --> 00:05:28.560]  祂的手不斷在那裏
[00:05:28.560 --> 00:05:30.120]  祂有加入的
[00:05:30.120 --> 00:05:33.520]  祂有活動的
[00:05:33.520 --> 00:05:35.560]  這個就是
[00:05:35.560 --> 00:05:38.280]  我們所經驗到的神自己
[00:05:38.280 --> 00:05:40.520]  在我們的生命裏面
[00:05:40.520 --> 00:05:41.680]  我們在祂裏面
[00:05:41.680 --> 00:05:43.480]  祂包圍著我們
[00:05:43.480 --> 00:05:44.520]  我們說
[00:05:44.520 --> 00:05:48.960]  去操練這種神在我們裏面的生命
[00:05:48.960 --> 00:05:52.160]  神是我們在神裏面的生命
[00:05:52.160 --> 00:05:53.720]  這兩個方向
[00:05:53.720 --> 00:05:56.400]  就是今天我們一齊總結
[00:05:56.400 --> 00:06:02.960]  經歷神的整體方向
[00:06:02.960 --> 00:06:04.640]  我們上一次就說了
[00:06:04.640 --> 00:06:05.720]  神在我們裏面
[00:06:05.720 --> 00:06:10.880]  以靈的方式來跟我們溝通
[00:06:10.880 --> 00:06:15.160]  今天我想跟大家集中說神的大能
[00:06:15.160 --> 00:06:15.960]  就是說
[00:06:15.960 --> 00:06:19.280]  祂在我們生命裏面有動作的
[00:06:19.280 --> 00:06:24.080]  祂有超然的力量去扭轉我們
[00:06:24.080 --> 00:06:25.840]  這種超然的力量
[00:06:25.840 --> 00:06:27.280]  是不尋常的
[00:06:27.280 --> 00:06:28.600]  這個神的大能
[00:06:28.600 --> 00:06:29.880]  為什麼我強調這樣說
[00:06:29.880 --> 00:06:31.240]  因為祂一定不是
[00:06:31.240 --> 00:06:33.320]  我們普通用物理學
[00:06:33.320 --> 00:06:34.720]  用心理學
[00:06:34.720 --> 00:06:36.320]  可以解釋得到的
[00:06:36.320 --> 00:06:37.600]  祂讓我們經驗得到
[00:06:37.600 --> 00:06:38.240]  原來
[00:06:38.240 --> 00:06:39.720]  真是沒有可能的
[00:06:39.720 --> 00:06:42.120]  就是因為神自己在我們裏面
[00:06:42.120 --> 00:06:45.880]  或者在我們周圍的活動
[00:06:45.880 --> 00:06:48.520]  在聖經裏面有很多這樣的情況
[00:06:48.520 --> 00:06:51.320]  有時甚至是用一種
[00:06:51.320 --> 00:06:54.520]  超自然律的方式出現的神
[00:06:54.520 --> 00:06:55.920]  會的
[00:06:55.920 --> 00:06:57.240]  在聖經裏面我們記得
[00:06:57.240 --> 00:06:59.720]  耶穌基督的五餅二魚
[00:06:59.720 --> 00:07:00.800]  很清楚的
[00:07:00.800 --> 00:07:01.720]  五個餅
[00:07:01.720 --> 00:07:02.960]  兩條魚
[00:07:02.960 --> 00:07:04.320]  餵飽一萬人
[00:07:04.320 --> 00:07:05.520]  五千人
[00:07:05.520 --> 00:07:06.680]  只計算男人
[00:07:06.680 --> 00:07:08.320]  加上女人和小朋友
[00:07:08.320 --> 00:07:09.520]  可能過萬
[00:07:09.520 --> 00:07:10.520]  就是
[00:07:10.520 --> 00:07:12.480]  五個餅兩條魚
[00:07:12.480 --> 00:07:13.920]  這麼少的物質
[00:07:13.920 --> 00:07:17.800]  竟然可以餵飽這麼多人
[00:07:17.800 --> 00:07:19.080]  這個很明顯
[00:07:19.080 --> 00:07:21.680]  是突破了物理定律
[00:07:21.680 --> 00:07:23.600]  物質的定律
[00:07:23.600 --> 00:07:28.120]  更加甚至是突破了人的生理定律
[00:07:28.120 --> 00:07:29.520]  因為沒有可能這樣都吃得飽
[00:07:29.520 --> 00:07:31.000]  並且有十二男症
[00:07:31.160 --> 00:07:33.000]  這個很明顯就是神
[00:07:33.000 --> 00:07:37.200]  介入那個情況下
[00:07:37.200 --> 00:07:39.360]  發生的不尋常的
[00:07:39.360 --> 00:07:40.880]  超然的行動
[00:07:40.880 --> 00:07:44.080]  這些我們叫神的大能的彰顯
[00:07:44.080 --> 00:07:47.760]  有時不一定是超自然的
[00:07:47.760 --> 00:07:50.120]  有時時間性的安排
[00:07:50.120 --> 00:07:51.200]  你看到
[00:07:51.200 --> 00:07:53.120]  不可能這麼巧合
[00:07:53.120 --> 00:07:55.320]  我們很多時候現代人很喜歡說
[00:07:55.320 --> 00:07:56.400]  這麼巧合而已
[00:07:56.400 --> 00:07:57.880]  剛剛認識了那個人
[00:07:57.880 --> 00:07:58.520]  不是的
[00:07:58.520 --> 00:07:59.320]  你看清楚
[00:07:59.320 --> 00:08:01.040]  睜開眼睛看看
[00:08:01.040 --> 00:08:02.960]  是神自己在這裡的
[00:08:02.960 --> 00:08:05.360]  我們上一次曾經提過
[00:08:05.360 --> 00:08:08.720]  比較明顯的其中一個例子就是
[00:08:08.720 --> 00:08:10.240]  《史萊姆傳》第16章
[00:08:10.240 --> 00:08:11.920]  保羅所看到的
[00:08:11.920 --> 00:08:13.720]  那個馬其頓的異象
[00:08:13.720 --> 00:08:14.520]  記得嗎?
[00:08:14.520 --> 00:08:16.800]  在馬其頓的異象裡面
[00:08:16.800 --> 00:08:21.000]  他看到一個歐洲人
[00:08:21.000 --> 00:08:21.920]  一個馬其頓人
[00:08:21.920 --> 00:08:25.080]  叫他們過來幫我們
[00:08:25.080 --> 00:08:26.080]  保羅厲害
[00:08:26.080 --> 00:08:26.920]  上一次我們說
[00:08:26.920 --> 00:08:27.920]  他那個
[00:08:27.920 --> 00:08:29.120]  稍後我們會說
[00:08:29.120 --> 00:08:30.680]  那個最重要的條件
