
[00:00:00.000 --> 00:00:01.440]  對於基督徒來說
[00:00:01.440 --> 00:00:02.940]  我們清楚的體驗
[00:00:02.940 --> 00:00:04.440]  就是只有祝福
[00:00:04.440 --> 00:00:05.940]  沒有奏助
[00:00:05.940 --> 00:00:07.240]  人生很多事情
[00:00:07.240 --> 00:00:09.740]  神讓它轉化成為我們的祝福
[00:00:09.740 --> 00:00:11.740]  所以我們可以向上感恩
[00:00:11.740 --> 00:00:13.740]  也期待神在今年
[00:00:13.740 --> 00:00:15.440]  向我們繼續的施恩
[00:00:15.440 --> 00:00:16.940]  更大的施恩
[00:00:16.940 --> 00:00:19.040]  所以願在2010年
[00:00:19.040 --> 00:00:21.040]  我們大家盡心的經歷神
[00:00:21.040 --> 00:00:23.240]  大家知道我們新一個季度
[00:00:23.240 --> 00:00:25.240]  會開始有一個新的主題
[00:00:25.240 --> 00:00:27.540]  大家看到台上寫著八個字
[00:00:27.540 --> 00:00:28.540]  一起讀一讀
[00:00:28.540 --> 00:00:32.540]  復興生命關愛家庭
[00:00:32.540 --> 00:00:33.540]  而在第一季
[00:00:33.540 --> 00:00:35.540]  我們會從創世紀去思想
[00:00:35.540 --> 00:00:38.540]  有關聖經對家庭的教導
[00:00:38.540 --> 00:00:39.540]  也祈禱求神
[00:00:39.540 --> 00:00:42.540]  讓我們這方面有更好的成長
[00:00:42.540 --> 00:00:44.040]  而今天我們特別思想的就是
[00:00:44.040 --> 00:00:47.040]  究竟神所設立的婚姻制度
[00:00:47.040 --> 00:00:48.540]  是怎樣的呢?
[00:00:48.540 --> 00:00:50.540]  祂對我們的心意是怎樣的呢?
[00:00:50.540 --> 00:00:52.540]  我們大家一起先做一點點的祈禱
[00:00:52.540 --> 00:00:54.540]  再思想聖經
[00:00:57.040 --> 00:00:59.040]  主我們感謝祢
[00:00:59.040 --> 00:01:03.040]  因為祢是那位施恩的上帝
[00:01:03.040 --> 00:01:05.540]  祢設下各樣的恩惠
[00:01:05.540 --> 00:01:08.040]  也都設立了婚姻的制度
[00:01:08.040 --> 00:01:11.040]  如今我們打開聖經思想祢的說話
[00:01:11.040 --> 00:01:14.540]  求恩主在當中指教我們
[00:01:14.540 --> 00:01:16.040]  明白祢的道
[00:01:16.040 --> 00:01:19.040]  也都在祢的道當中來生活
[00:01:19.040 --> 00:01:21.040]  我們祈禱仰望
[00:01:21.040 --> 00:01:23.040]  奉耶穌基督成名求
[00:01:23.040 --> 00:01:24.040]  阿們
[00:01:24.540 --> 00:01:28.040]  大家看回剛才讀過的《創世紀》第二章
[00:01:28.040 --> 00:01:34.540]  在第二章的第十八節開始
[00:01:34.540 --> 00:01:37.040]  就提及到神說出
[00:01:37.040 --> 00:01:39.540]  人獨居的情況
[00:01:39.540 --> 00:01:41.040]  十八節這樣說
[00:01:41.040 --> 00:01:44.040]  他說耶和華神說那人獨居不好
[00:01:44.040 --> 00:01:46.040]  我要為他做一個配偶
[00:01:46.040 --> 00:01:47.040]  幫助他
[00:01:47.040 --> 00:01:50.040]  從第一章到這裡
[00:01:50.040 --> 00:01:52.540]  神就說出很多個好
[00:01:52.540 --> 00:01:54.040]  因為祂創造了天地
[00:01:54.540 --> 00:01:55.540]  每一次創造之後
[00:01:55.540 --> 00:01:58.040]  祂都說看著是好的
[00:01:58.040 --> 00:02:01.540]  來到這裡是第一次提出是不好
[00:02:01.540 --> 00:02:03.540]  也都意味著人獨居
[00:02:03.540 --> 00:02:06.040]  是一件不完整的事情
[00:02:06.040 --> 00:02:07.540]  不美好的事情
[00:02:07.540 --> 00:02:11.540]  而神很想將美好的生活賜給我們
[00:02:11.540 --> 00:02:14.540]  因此祂為人類預備了配偶
[00:02:14.540 --> 00:02:17.040]  聖經就提及獨居不好
[00:02:17.040 --> 00:02:19.540]  所以神就為他做一個配偶
[00:02:19.540 --> 00:02:21.040]  來幫助他
[00:02:21.040 --> 00:02:23.040]  當這樣說的時候
[00:02:23.040 --> 00:02:25.540]  並不是意味著單身就不好
[00:02:25.540 --> 00:02:27.040]  大家可以知道
[00:02:27.040 --> 00:02:30.040]  聖經裡面提及有單身的
[00:02:30.040 --> 00:02:31.540]  獨身的恩賜
[00:02:31.540 --> 00:02:33.040]  而很多的聖經人物
[00:02:33.040 --> 00:02:34.540]  或者歷史的人物
[00:02:34.540 --> 00:02:35.540]  他們是單身
[00:02:35.540 --> 00:02:37.540]  但仍然有美好的生活
[00:02:37.540 --> 00:02:40.540]  而當時提及亞當獨居不好
[00:02:40.540 --> 00:02:43.540]  特別提及他的創造的本質
