
[00:00:00.000 --> 00:00:02.800]  在我們讀這段聖經之前
[00:00:02.800 --> 00:00:05.800]  我想先提一件事情
[00:00:05.800 --> 00:00:08.200]  很多人都講及一個經歷
[00:00:08.200 --> 00:00:12.200]  就是所謂「雲上太陽」的經歷
[00:00:12.200 --> 00:00:16.200]  我很記得有一次我自己是坐飛機的時候
[00:00:16.200 --> 00:00:19.000]  是上飛機的時候已經在下雨
[00:00:19.000 --> 00:00:24.000]  所以到處都是烏雲密佈一直下雨
[00:00:24.000 --> 00:00:26.400]  上到飛機的時候不再濕透
[00:00:26.400 --> 00:00:28.000]  可以很安定地坐在那裡
[00:00:28.000 --> 00:00:31.000]  但到處是沒有漆黑的
[00:00:31.000 --> 00:00:34.200]  但是我很記得當飛機起飛的時候
[00:00:34.200 --> 00:00:36.200]  進入雲層
[00:00:36.200 --> 00:00:40.600]  但是突然間整個環境就光亮起來
[00:00:40.600 --> 00:00:44.200]  原來飛機超過雲層之後
[00:00:44.200 --> 00:00:46.400]  去到雲層的上面
[00:00:46.400 --> 00:00:48.400]  看到是藍天
[00:00:48.400 --> 00:00:52.200]  看到是光亮的一個天際
[00:00:52.200 --> 00:00:53.600]  當時的心情很特別
[00:00:53.600 --> 00:00:55.400]  覺得很大分別
[00:00:55.400 --> 00:00:59.400]  跟剛才的情況是完全不同
[00:00:59.400 --> 00:01:00.800]  當時就會想起
[00:01:00.800 --> 00:01:01.400]  沒錯
[00:01:01.400 --> 00:01:03.600]  眼前所見到的
[00:01:03.600 --> 00:01:07.000]  那個才是真實的情況
[00:01:07.000 --> 00:01:08.600]  太陽仍在
[00:01:08.600 --> 00:01:13.400]  雖然好像周圍有很多的烏雲密佈
[00:01:13.400 --> 00:01:16.200]  我們想起當主耶穌復活的時候
[00:01:16.200 --> 00:01:19.800]  祂向很多門徒顯現祂的復活
[00:01:19.800 --> 00:01:21.000]  在《閻瞞司祿》上
[00:01:21.000 --> 00:01:23.200]  大家記得當時有兩個門徒
[00:01:23.200 --> 00:01:27.000]  他們是愁雲慘霧
[00:01:27.000 --> 00:01:28.400]  他們很低沉
[00:01:28.400 --> 00:01:30.200]  覺得他們所信靠的主
[00:01:30.200 --> 00:01:32.000]  現在死了
[00:01:32.000 --> 00:01:34.600]  而且不知道將來會怎樣
[00:01:34.600 --> 00:01:36.000]  耶穌去到他們身旁
[00:01:36.000 --> 00:01:39.000]  他們都認不出耶穌
[00:01:39.000 --> 00:01:40.600]  在一邊說一邊說的時候
[00:01:40.600 --> 00:01:44.400]  主耶穌將聖經裏面預言祂的復活事情
[00:01:44.400 --> 00:01:46.000]  一邊說給他們知道
[00:01:46.000 --> 00:01:46.800]  在他們聽的時候
[00:01:46.800 --> 00:01:49.600]  心裏面就火熱起來
[00:01:49.600 --> 00:01:51.200]  後來他們去到一個村莊
[00:01:51.200 --> 00:01:53.200]  突然間眼睛打開
[00:01:53.200 --> 00:01:56.400]  看見這位復活的主
[00:01:56.400 --> 00:01:58.400]  很多時候我們生活上
[00:01:58.400 --> 00:02:00.800]  一直有很多不同的經歷
[00:02:00.800 --> 00:02:05.200]  但有時候都感覺到好像很愁煩
[00:02:05.200 --> 00:02:06.800]  但在過程裏面
[00:02:06.800 --> 00:02:10.200]  忘記了其實太陽仍在
[00:02:10.200 --> 00:02:14.400]  或者說這位主耶穌已經復活了
[00:02:14.400 --> 00:02:16.200]  其實不需要去愁煩
[00:02:16.200 --> 00:02:17.600]  不需要去擔心
[00:02:17.600 --> 00:02:18.600]  因為這位主
[00:02:18.600 --> 00:02:21.800]  正正是將一切愁煩驅除
[00:02:21.800 --> 00:02:27.000]  而帶給我們永遠確實的把握和盼望
[00:02:27.000 --> 00:02:28.800]  弟兄姊妹在復活節期間
[00:02:28.800 --> 00:02:31.800]  我們常常要提醒自己
[00:02:31.800 --> 00:02:34.800]  不單是這兩天我們會想到復活
[00:02:34.800 --> 00:02:37.800]  更加會知道每一天每一天
[00:02:37.800 --> 00:02:40.200]  這位主已經復活了
[00:02:40.200 --> 00:02:42.800]  而常常給自己一個很清楚的訊息
[00:02:42.800 --> 00:02:45.600]  就是基督耶穌復活了
[00:02:45.600 --> 00:02:49.400]  因此我的生命是有盼望的
[00:02:49.400 --> 00:02:51.800]  亦都可以在一切的情況之下
[00:02:51.800 --> 00:02:56.000]  仍然很坦然很放膽地來生活
[00:02:56.000 --> 00:02:59.600]  不忘記祂已經復活了
[00:02:59.600 --> 00:03:00.800]  當我們讀到聖經的時候
[00:03:00.800 --> 00:03:03.400]  我們今天讀到哥林多後書的時候
[00:03:03.400 --> 00:03:05.200]  這位賊教聖經講述到
[00:03:05.200 --> 00:03:07.600]  這位上帝已經預備好
[00:03:07.600 --> 00:03:10.400]  叫我們領受祂給我們的復活
[00:03:10.400 --> 00:03:12.200]  而我們在這個過程裏面
[00:03:12.200 --> 00:03:15.800]  留意怎樣來準備自己
[00:03:15.800 --> 00:03:18.000]  上帝帶著一份坦然的心
[00:03:18.000 --> 00:03:22.000]  準備來領受今天和將來
[00:03:22.000 --> 00:03:24.600]  上帝給我們復活的大能
[00:03:24.600 --> 00:03:25.600]  大家先看聖經
[00:03:25.600 --> 00:03:28.400]  我們剛才讀的第五章
[00:03:28.400 --> 00:03:31.200]  在前面的第四章
[00:03:31.200 --> 00:03:32.800]  本來講述到祂面對著
[00:03:32.800 --> 00:03:36.800]  有很多不同生活上的逼迫困難
[00:03:36.800 --> 00:03:38.800]  但祂講到光
[00:03:38.800 --> 00:03:42.000]  主耶穌的真光已經照進祂的內心
[00:03:42.000 --> 00:03:44.200]  然後在四章的第七節
[00:03:44.200 --> 00:03:47.200]  我們大家先看看第七節
[00:03:47.200 --> 00:03:48.800]  聖經就描述到
[00:03:48.800 --> 00:03:52.400]  我們的生命和主聯合了一起
[00:03:52.400 --> 00:03:54.000]  主在我們裏面
[00:03:54.000 --> 00:03:55.600]  我們在祂的裏面
[00:03:55.600 --> 00:03:57.600]  第七節聖經說
[00:03:57.600 --> 00:04:00.800]  我們有者寶貝在雅氣裏
[00:04:00.800 --> 00:04:04.400]  是要顯明這極大的能力是屬於神
[00:04:04.400 --> 00:04:07.600]  不是出於我們
[00:04:07.600 --> 00:04:09.600]  我們雖然四面受壓
[00:04:09.600 --> 00:04:11.000]  卻沒有壓碎
