
[00:00:00.000 --> 00:00:03.760]  宣愛家在社區裏面
[00:00:03.760 --> 00:00:06.520]  可以說成立了有19年的時間
[00:00:06.520 --> 00:00:09.520]  19年的日子不長也不短
[00:00:09.520 --> 00:00:12.920]  我們經歷過很多不同的階段
[00:00:12.920 --> 00:00:17.200]  我們經歷上帝很多不同的保守、引導
[00:00:17.200 --> 00:00:19.680]  有困難的時候也有順利的時候
[00:00:19.680 --> 00:00:22.840]  但是讓我們一一的去看見
[00:00:22.840 --> 00:00:25.800]  背後其實是上帝的推動
[00:00:25.800 --> 00:00:29.240]  引導著教會一步一步的前進
[00:00:29.240 --> 00:00:34.240]  在今年這個疫情當中
[00:00:34.240 --> 00:00:36.440]  可能很多教會
[00:00:36.440 --> 00:00:38.240]  全世界的教會
[00:00:38.240 --> 00:00:40.640]  都面對很大的挑戰
[00:00:40.640 --> 00:00:43.440]  但我們相信在挑戰的背後
[00:00:43.440 --> 00:00:47.640]  其實上帝仍然在當中一步一步的引導著
[00:00:47.640 --> 00:00:50.840]  在這裏今天也想藉著這一段經文
[00:00:50.840 --> 00:00:54.160]  對我們也再一次提醒
[00:00:54.160 --> 00:00:56.160]  在19週年的時間
[00:00:56.160 --> 00:00:57.760]  在這個疫情的時間
[00:00:57.760 --> 00:01:00.360]  提醒我們無論在什麼環境當中
[00:01:00.360 --> 00:01:03.960]  我們仍然仰望一位統一的主
[00:01:03.960 --> 00:01:07.040]  我們仍然要忠心的去跟從祂
[00:01:07.040 --> 00:01:09.760]  在提摩太后書
[00:01:09.760 --> 00:01:11.560]  這一段聖經
[00:01:11.560 --> 00:01:16.160]  基本上是保羅知道自己差不多離世的時候
[00:01:16.160 --> 00:01:18.160]  去寫的一卷書信
[00:01:18.160 --> 00:01:21.760]  寫給他所親愛的肅靈兒子提摩太太
[00:01:21.760 --> 00:01:25.360]  去提醒他的生命
[00:01:25.360 --> 00:01:28.960]  他的人生的焦點應該放在哪裏
[00:01:28.960 --> 00:01:30.560]  在第二章的第一節
[00:01:30.560 --> 00:01:31.360]  保羅這樣說
[00:01:31.360 --> 00:01:35.960]  我兒啊,你在基督耶穌的恩典上剛強起來
[00:01:35.960 --> 00:01:39.560]  保羅和提摩太太的性格都很不同
[00:01:39.560 --> 00:01:42.360]  保羅是一個意志力很強的人
[00:01:42.360 --> 00:01:43.960]  他遇到很多困難
[00:01:43.960 --> 00:01:46.160]  他都勇往直前
[00:01:46.160 --> 00:01:49.760]  提摩太太是一個比較怯懦的人
[00:01:49.760 --> 00:01:51.560]  所以保羅在這裏提醒他
[00:01:51.560 --> 00:01:55.160]  要在耶穌基督的恩典上剛強起來
[00:01:55.160 --> 00:01:56.960]  保羅在這裏說
[00:01:56.960 --> 00:01:59.560]  不是說只要靠耶穌的恩典
[00:01:59.560 --> 00:02:00.760]  你不用付代價
[00:02:00.760 --> 00:02:02.360]  而是提醒提摩太太
[00:02:02.360 --> 00:02:04.160]  你要付出的努力
[00:02:04.160 --> 00:02:05.560]  你的勞苦,你的代價
[00:02:05.560 --> 00:02:06.360]  不過
[00:02:06.360 --> 00:02:09.560]  你付出的努力,勞苦,代價的背後
[00:02:09.560 --> 00:02:12.160]  仍然是基於耶穌給你的恩典
[00:02:12.160 --> 00:02:16.160]  你才可以在現實的人生裏面
[00:02:16.160 --> 00:02:18.160]  去作出這些行動
[00:02:18.160 --> 00:02:19.560]  接著第二節裏面
[00:02:19.560 --> 00:02:20.360]  保羅在這裏說
[00:02:20.360 --> 00:02:23.160]  你在很多見證人面前聽見我所教訓的
[00:02:23.160 --> 00:02:26.760]  就是教訓那忠心能教導別人的人
[00:02:26.760 --> 00:02:29.960]  提摩太太是保羅的屬靈兒子
[00:02:29.960 --> 00:02:31.960]  也可以說是他的徒弟
[00:02:31.960 --> 00:02:33.760]  保羅在離世的時候
[00:02:33.760 --> 00:02:36.160]  將一個使命教訓給提摩太太
[00:02:36.160 --> 00:02:42.360]  你要去幫助那些能夠教導別人的人
[00:02:42.360 --> 00:02:44.760]  就好像我們教會的使命宣言
[00:02:44.760 --> 00:02:46.360]  大家記不記得
[00:02:46.360 --> 00:02:48.560]  讀一次好嗎?唐慶
[00:02:48.560 --> 00:02:50.560]  我們預備起
[00:02:50.560 --> 00:02:57.560]  活出使人作門徒的生命
[00:02:57.560 --> 00:03:00.560]  這個就是宣學家的使命宣言
[00:03:00.560 --> 00:03:03.560]  就是我們的地上存在
[00:03:03.560 --> 00:03:06.160]  就是要做這個方向
[00:03:06.160 --> 00:03:08.160]  就是我自己成為耶穌的門徒
[00:03:08.160 --> 00:03:12.160]  接著我幫助別人成為耶穌的門徒
[00:03:12.160 --> 00:03:13.560]  首先是傳福音
[00:03:13.560 --> 00:03:14.560]  讓他成長
[00:03:14.560 --> 00:03:16.560]  接著讓他成為一個成熟的人
[00:03:16.560 --> 00:03:20.160]  他也可以幫助其他人成為耶穌的門徒
