
[00:00:00.000 --> 00:00:04.840]  在9月30日晚上 我和一個弟兄
[00:00:04.840 --> 00:00:09.340]  由水浪窩出發 麥理浩徑第三段開始
[00:00:09.340 --> 00:00:14.220]  展開第四段 由水浪窩去馬鞍山
[00:00:14.220 --> 00:00:22.400]  然後去昂坪 麥理浩徑三四五六七八
[00:00:22.400 --> 00:00:28.040]  都是一個訓練來的 我們夜間 因為我們有時候正式比賽是夜間進行的
[00:00:28.040 --> 00:00:31.440]  所以我們都要試一下裝備 戴一下頭燈
[00:00:31.440 --> 00:00:37.120]  左邊那一座就是在飛鵝山拍攝的美景
[00:00:37.120 --> 00:00:42.520]  晚上很美的 清晨時分 即是清晨12點 1點望見
[00:00:42.520 --> 00:00:48.440]  即是在飛鵝山那裡 我們兩個男人 所以不是很浪漫
[00:00:48.440 --> 00:00:54.580]  去到大帽山 清晨5點多 就是右邊那張圖
[00:00:54.580 --> 00:01:00.400]  我們兩個男人 說是看到清晨美景
[00:01:00.400 --> 00:01:04.560]  不過原來清晨5點多大帽山 很多人
[00:01:04.560 --> 00:01:09.260]  那天是10月1日國慶 很多人放假 專程去大帽山
[00:01:09.260 --> 00:01:14.760]  去到最高的球場 天文台 雷達站那裡看
[00:01:14.760 --> 00:01:19.280]  很多人拍照 打卡 看到太陽
[00:01:19.280 --> 00:01:24.340]  不過對我來說 我看到的不是日出的滋味
[00:01:24.340 --> 00:01:28.160]  而是看到神的美
[00:01:28.160 --> 00:01:33.360]  很多人看到物質上的東西 太陽 初星 很美
[00:01:33.360 --> 00:01:38.940]  但我自己看到創造主背後的榮美
[00:01:38.940 --> 00:01:43.540]  我不知道大家在日常生活中所看到的東西是甚麼
[00:01:43.540 --> 00:01:47.980]  是表面的東西 還是看到神自己
[00:01:47.980 --> 00:01:52.940]  今天這段經文是透過一個人物幫助我們思考
[00:01:52.940 --> 00:01:55.700]  我們應當要看到甚麼
[00:01:55.700 --> 00:01:58.820]  還有我們所看到的東西是如何改變我們的生命
[00:01:58.820 --> 00:02:00.820]  這也是非常重要的
[00:02:00.820 --> 00:02:02.820]  經文背景是第46節
[00:02:02.820 --> 00:02:12.100]  有聖經的請打開 我們會按照經文的不同段落去看
[00:02:12.100 --> 00:02:16.420]  經文開始第46節 給我們一個背景
[00:02:16.420 --> 00:02:22.220]  這個背景是說耶穌和門徒去到耶利哥城
[00:02:22.220 --> 00:02:25.260]  按照9章33節和10章1節
[00:02:25.260 --> 00:02:30.300]  他們是由加勒比海出發
[00:02:30.300 --> 00:02:33.620]  向南去到猶大的地方
[00:02:33.620 --> 00:02:35.620]  這是甚麼旅程呢
[00:02:35.620 --> 00:02:40.500]  10章32節告訴我們耶穌正在去耶路撒冷
[00:02:40.500 --> 00:02:46.620]  這是最後進入耶路撒冷的路程
