
[00:00:00.000 --> 00:00:02.800]  保羅在監獄當中寫了四封書信
[00:00:02.800 --> 00:00:05.200]  其中一封書信是《已忽所書》
[00:00:05.200 --> 00:00:07.520]  在這本書裏面
[00:00:07.520 --> 00:00:10.560]  保羅講了很強的教會
[00:00:10.560 --> 00:00:13.320]  可以說是性質是甚麼
[00:00:13.320 --> 00:00:16.520]  究竟為何會有教會的存在
[00:00:16.520 --> 00:00:18.200]  作為教會的一份子
[00:00:18.200 --> 00:00:20.920]  一個信徒究竟應該怎樣去生活
[00:00:20.920 --> 00:00:23.200]  在今天我們所講的
[00:00:23.200 --> 00:00:27.040]  由《已忽所書》第一章一至十四節
[00:00:27.040 --> 00:00:31.440]  在一章第一至十四節裏面
[00:00:31.440 --> 00:00:34.120]  這一段可以說是一個重詞
[00:00:34.120 --> 00:00:38.120]  是整個《已忽所書》很大的重點
[00:00:38.120 --> 00:00:43.560]  在這一段可以說是整個重讚的經文提綱裏面
[00:00:43.560 --> 00:00:45.560]  有一個很強的方向
[00:00:45.560 --> 00:00:52.360]  就是我們要去讚美上帝對我們信徒的賜福的福份
[00:00:52.360 --> 00:00:55.520]  我們要感謝上帝賜給我們
[00:00:55.520 --> 00:00:59.040]  在耶穌基督裏面的一份屬靈的福份
[00:00:59.040 --> 00:01:00.840]  最後在十四節裏面
[00:01:00.840 --> 00:01:05.640]  我們說既然得到上帝對我們這份福份的時候
[00:01:05.640 --> 00:01:09.400]  我們應該對神有一個讚美的心
[00:01:09.400 --> 00:01:13.880]  在第一章第一至第二節裏面這樣說
[00:01:13.880 --> 00:01:14.920]  奉神旨意
[00:01:14.920 --> 00:01:17.120]  作基督耶穌使徒的保羅
[00:01:17.120 --> 00:01:19.560]  寫信給在已忽所的聖徒
[00:01:19.560 --> 00:01:22.480]  就是在基督耶穌裏有忠心的人
[00:01:22.480 --> 00:01:23.960]  願因為平安
[00:01:23.960 --> 00:01:28.040]  從臣我們的父和主耶穌基督歸於你們
[00:01:28.040 --> 00:01:30.800]  有些抄本裏面
[00:01:30.800 --> 00:01:33.120]  已忽所這個字是沒有的
[00:01:33.120 --> 00:01:35.280]  所以有些人說可能保羅
[00:01:35.280 --> 00:01:36.920]  在開始的時候寫這封信
[00:01:36.920 --> 00:01:39.920]  未必是寫給已忽所教會的信徒
[00:01:39.920 --> 00:01:41.920]  不過無論如何
[00:01:41.920 --> 00:01:45.200]  在已忽所的教會裏面
[00:01:45.200 --> 00:01:50.080]  一定是保羅所要去關心的其中一個教會
[00:01:50.080 --> 00:01:52.000]  所以在這裏保羅一開始
[00:01:52.000 --> 00:01:56.040]  他講出了他自己的使徒的身份
[00:01:56.040 --> 00:01:58.040]  使徒可以說是代表著
[00:01:58.040 --> 00:02:02.920]  他自己對侍奉的主人的孝宗
[00:02:02.920 --> 00:02:06.360]  他和主人的很深的關係
[00:02:06.360 --> 00:02:09.080]  保羅用了兩個層面去形容
[00:02:09.080 --> 00:02:11.560]  作為一個使徒的身份
[00:02:11.560 --> 00:02:14.320]  就是他是屬於耶穌基督的
[00:02:14.320 --> 00:02:16.840]  以及他是奉上帝旨意
[00:02:16.840 --> 00:02:20.200]  去宣揚耶穌基督的福音
[00:02:20.200 --> 00:02:22.000]  在這裏一開始
[00:02:22.000 --> 00:02:26.560]  保羅以祝福作為一個手語
[00:02:26.560 --> 00:02:29.960]  以及在第一第二節經文裏面
[00:02:29.960 --> 00:02:30.960]  一個小小的結
[00:02:30.960 --> 00:02:31.840]  一個小結
[00:02:31.840 --> 00:02:35.880]  是表示上帝對信徒的看顧和保守
[00:02:35.880 --> 00:02:40.800]  是上帝要賜福給一班信徒
[00:02:40.800 --> 00:02:44.120]  然後在第三節裏面這樣說
[00:02:44.120 --> 00:02:47.360]  願眾讚歸於我們主耶穌基督的父神
[00:02:47.360 --> 00:02:51.880]  他在基督裏曾賜給我們天上各樣數量的福氣
[00:02:51.880 --> 00:02:53.880]  在這裏說到稱頌
[00:02:53.880 --> 00:02:55.880]  可以說我們要稱頌上帝
[00:02:55.880 --> 00:02:57.880]  稱頌的焦點是什麼呢?
[00:02:57.880 --> 00:03:00.360]  就是放在教會如何回應
[00:03:00.360 --> 00:03:02.960]  他們所領受的福分
[00:03:02.960 --> 00:03:06.000]  在眾讚的歡呼聲當中
[00:03:06.000 --> 00:03:07.800]  去稱頌上帝
[00:03:07.800 --> 00:03:10.560]  可以說在這個主題裏面
[00:03:10.560 --> 00:03:12.000]  保羅首先強調
[00:03:12.000 --> 00:03:16.040]  上帝和信徒之間這一種的關係
[00:03:16.040 --> 00:03:19.520]  上帝是耶穌基督的父
[00:03:19.520 --> 00:03:20.720]  第二方面就是
[00:03:20.720 --> 00:03:23.520]  耶穌基督是我們的主
[00:03:23.520 --> 00:03:24.520]  可以說一方面
[00:03:24.520 --> 00:03:29.160]  上帝已經將他豐盛的這個恩典和福氣
[00:03:29.160 --> 00:03:31.840]  傾注在一班信徒的身上
[00:03:31.840 --> 00:03:32.840]  另一方面
[00:03:32.840 --> 00:03:35.240]  信徒也都會有直著
[00:03:35.240 --> 00:03:40.680]  耶穌基督才能夠得到上帝所賜給我們這個福分
