
[00:00:00.000 --> 00:00:03.440]  我們訂閱節目很多時候都會熟悉幾節特別的經文
[00:00:03.440 --> 00:00:06.560]  特別是《約翰福音》三十六節大家都會背
[00:00:06.560 --> 00:00:10.400]  其次就是《哥林多前書》五章十七節
[00:00:10.400 --> 00:00:13.520]  這節經文很多人都常常背誦
[00:00:13.520 --> 00:00:16.240]  若有人在基督裡
[00:00:16.240 --> 00:00:19.000]  他就是新造的人
[00:00:19.000 --> 00:00:23.480]  舊時已過都變成新的了
[00:00:23.480 --> 00:00:25.760]  聖經提醒我們讓我們知道
[00:00:25.760 --> 00:00:29.760]  在耶穌裡面我們變成新造的人
[00:00:29.760 --> 00:00:31.640]  英文是New Creation
[00:00:31.640 --> 00:00:34.720]  一個新的創造
[00:00:34.720 --> 00:00:36.320]  很多人當他信主之後
[00:00:36.320 --> 00:00:37.800]  經歷生命的改變
[00:00:37.800 --> 00:00:39.840]  真的好像一個新造的人
[00:00:39.840 --> 00:00:42.240]  一個重生的人
[00:00:42.240 --> 00:00:43.760]  但聖經提到這位上帝
[00:00:43.760 --> 00:00:45.720]  不單是在我們信主的時候
[00:00:45.720 --> 00:00:48.400]  讓我們經歷那種新生
[00:00:48.400 --> 00:00:50.160]  而且是不斷地不斷地
[00:00:50.160 --> 00:00:52.000]  來幫助我們不斷地
[00:00:52.000 --> 00:00:55.320]  盡心的領受神的豐盛
[00:00:55.320 --> 00:01:00.240]  經驗祂讓我們再造再造與再造
[00:01:00.240 --> 00:01:04.960]  這種新生帶給我們很多蒙恩的經歷
[00:01:04.960 --> 00:01:06.600]  大家如果留心到我們說的
[00:01:06.600 --> 00:01:08.960]  一個叫做康樂的字眼
[00:01:08.960 --> 00:01:12.760]  英文就是Recreation
[00:01:12.760 --> 00:01:14.680]  在休息的時候
[00:01:14.680 --> 00:01:17.280]  得到一種新的更生
[00:01:17.280 --> 00:01:18.720]  而我們就想像
[00:01:18.720 --> 00:01:20.520]  生命裡面向神等候
[00:01:20.520 --> 00:01:22.160]  休息等候祂
[00:01:22.160 --> 00:01:25.760]  而經歷神給我們那種生命的更生
[00:01:25.760 --> 00:01:27.480]  而今日的《西紀書》三十七章
[00:01:27.480 --> 00:01:30.360]  只是講述當人尋求神的時候
[00:01:30.360 --> 00:01:34.080]  神要給我們那種生命的復生
[00:01:34.080 --> 00:01:35.640]  三十七章一開始的時候提到
[00:01:35.640 --> 00:01:38.080]  這位上帝祂凡事都能的
