
[00:00:00.000 --> 00:00:02.000]  各位弟子妹午安
[00:00:02.000 --> 00:00:04.000]  很高興可以在這裏
[00:00:04.000 --> 00:00:06.000]  用一個下午的時間
[00:00:06.000 --> 00:00:08.000]  和大家一起去看看
[00:00:08.000 --> 00:00:10.000]  《易西傑書》的書卷
[00:00:10.000 --> 00:00:12.000]  和裏面的主角就是易西傑
[00:00:12.000 --> 00:00:14.000]  他在一個被擄的過程當中
[00:00:14.000 --> 00:00:16.000]  怎樣被上帝呼召
[00:00:16.000 --> 00:00:18.000]  在這個亂世裏面
[00:00:18.000 --> 00:00:20.000]  怎樣活出他的照明
[00:00:20.000 --> 00:00:22.000]  我們一起有個祈禱開始
[00:00:22.000 --> 00:00:24.000]  慈悲人愛的天父
[00:00:24.000 --> 00:00:26.000]  多謝你給我們這個下午
[00:00:26.000 --> 00:00:28.000]  我們分別出來
[00:00:28.000 --> 00:00:30.000]  我們很想閱讀你的話語
[00:00:30.000 --> 00:00:32.000]  求主你指引
[00:00:32.000 --> 00:00:34.000]  透過你的話語
[00:00:34.000 --> 00:00:36.000]  借鏡在我們今世
[00:00:36.000 --> 00:00:38.000]  究竟怎樣可以在一個
[00:00:38.000 --> 00:00:40.000]  分裂的時代
[00:00:40.000 --> 00:00:42.000]  活出你的照明
[00:00:42.000 --> 00:00:44.000]  幫助孩子講解你的說話
[00:00:44.000 --> 00:00:46.000]  清楚明白
[00:00:46.000 --> 00:00:48.000]  我們同心去領受
[00:00:48.000 --> 00:00:50.000]  祈禱是奉耶穌基督命求
[00:00:50.000 --> 00:00:52.000]  今天這個講座
[00:00:52.000 --> 00:00:54.000]  主要分為兩部分
[00:00:54.000 --> 00:00:56.000]  我們大概在三點半左右
[00:00:56.000 --> 00:00:58.000]  有個小休
[00:00:58.000 --> 00:01:00.000]  大概十分鐘左右
[00:01:00.000 --> 00:01:02.000]  兩段的環節
[00:01:02.000 --> 00:01:04.000]  我會和大家講解易西傑書
[00:01:04.000 --> 00:01:06.000]  當然宣導全義
[00:01:06.000 --> 00:01:08.000]  邀請我講這個講座
[00:01:08.000 --> 00:01:10.000]  當然要配合
[00:01:10.000 --> 00:01:12.000]  那本主題書
[00:01:12.000 --> 00:01:14.000]  就是《眉毛裡的照明》
[00:01:14.000 --> 00:01:16.000]  當然裏面有一個人物
[00:01:16.000 --> 00:01:18.000]  就是易西傑
[00:01:18.000 --> 00:01:20.000]  但是今天的講座
[00:01:20.000 --> 00:01:22.000]  我更加想
[00:01:22.000 --> 00:01:24.000]  大家看那本書之餘
[00:01:24.000 --> 00:01:26.000]  可以更加立體
[00:01:26.000 --> 00:01:28.000]  更加全面了解易西傑書
[00:01:28.000 --> 00:01:30.000]  當然一個下午
[00:01:30.000 --> 00:01:32.000]  我們很難完全看得完易西傑書
[00:01:32.000 --> 00:01:34.000]  我就很想和大家看看
[00:01:34.000 --> 00:01:36.000]  易西傑書的結構
[00:01:36.000 --> 00:01:38.000]  他的分析大概是怎樣
[00:01:38.000 --> 00:01:40.000]  從而明白
[00:01:40.000 --> 00:01:42.000]  易西傑本人的意象
[00:01:42.000 --> 00:01:44.000]  照明到底是怎樣
[00:01:44.000 --> 00:01:46.000]  我們事不宜遲
[00:01:46.000 --> 00:01:48.000]  我們開始吧
[00:01:48.000 --> 00:01:50.000]  首先我們要搞清楚歷史
[00:01:50.000 --> 00:01:52.000]  這個列表
[00:01:52.000 --> 00:01:54.000]  畫了一幅圖給大家看
[00:01:54.000 --> 00:01:56.000]  這幅圖
[00:01:56.000 --> 00:01:58.000]  就是易西傑書
[00:01:58.000 --> 00:02:00.000]  有一個特徵
[00:02:00.000 --> 00:02:02.000]  這個特徵
[00:02:02.000 --> 00:02:04.000]  是以塞爾賽亞或耶利米書
[00:02:04.000 --> 00:02:06.000]  耶利米書也有
[00:02:06.000 --> 00:02:08.000]  以塞爾亞就少一些
[00:02:08.000 --> 00:02:10.000]  或其他十二小鮮之書
[00:02:10.000 --> 00:02:12.000]  都比較少
[00:02:12.000 --> 00:02:14.000]  就是易西傑會有很多
[00:02:14.000 --> 00:02:16.000]  我們叫時代的標記
[00:02:16.000 --> 00:02:18.000]  或一些年份的標記
[00:02:18.000 --> 00:02:20.000]  經常在那本書裏出現
[00:02:20.000 --> 00:02:24.000]  包括你在易西傑書的第一章第一節和第二節
[00:02:24.000 --> 00:02:26.000]  已經有兩個時間的標記
[00:02:26.000 --> 00:02:28.000]  給你看到
[00:02:28.000 --> 00:02:30.000]  第一個時間的標記
[00:02:30.000 --> 00:02:34.000]  就是當三十年四月初五日
