
[00:00:00.000 --> 00:00:03.480]  第二和第三要分清楚
[00:00:03.480 --> 00:00:06.900]  我覺得第二種是什麼呢?
[00:00:06.900 --> 00:00:11.120]  就是我們今天一直講的
[00:00:11.120 --> 00:00:13.120]  你留意那條線
[00:00:13.120 --> 00:00:16.420]  其實應該是剛剛在那個交叉點出來的
[00:00:16.420 --> 00:00:18.000]  2那裡
[00:00:18.000 --> 00:00:20.500]  對不起,3
[00:00:20.500 --> 00:00:27.800]  3就是神透過聖靈的工作
[00:00:27.800 --> 00:00:32.920]  透過潛意識與神接觸的部分而出來的
[00:00:32.920 --> 00:00:34.240]  你明白我的意思嗎?
[00:00:34.240 --> 00:00:35.960]  就是說潛意識有一個部分
[00:00:35.960 --> 00:00:38.160]  我們叫第四部分
[00:00:38.160 --> 00:00:42.240]  第四部分就是在知識和能力那裡
[00:00:42.240 --> 00:00:51.840]  連接觸到一些超然的領域的來源
[00:00:51.840 --> 00:00:57.160]  如果用聖經神學的字眼來說
[00:00:57.160 --> 00:01:02.000]  這就說到我們裡面的人的靈
[00:01:02.000 --> 00:01:06.600]  人的靈就是與神接觸的部分
[00:01:06.600 --> 00:01:11.520]  雖然我個人不會贊成靈魂體三分
[00:01:11.520 --> 00:01:17.520]  我只相信人是有物質的部分和超物質的部分
[00:01:17.520 --> 00:01:19.720]  而且這兩部分差不多分不開
[00:01:19.720 --> 00:01:21.840]  分不開的意思就是說不是一樣
[00:01:21.840 --> 00:01:24.600]  其實兩者是所謂co-dependent
[00:01:24.600 --> 00:01:28.840]  因為非物質的部分沒有了物質的部分根本不存在
[00:01:28.840 --> 00:01:36.680]  身體的物質的部分不可能沒有非物質的部分有關係
[00:01:36.680 --> 00:01:38.920]  兩者是互相依賴
[00:01:38.920 --> 00:01:41.200]  互相不斷存在
[00:01:41.200 --> 00:01:43.080]  這是我的人觀
[00:01:43.080 --> 00:01:46.880]  但是在非物質的部分就是我們的心靈
[00:01:46.880 --> 00:01:48.480]  我們心靈有意識和潛意識
[00:01:48.480 --> 00:01:53.680]  而潛意識裡面有特別與聖靈接觸
[00:01:53.680 --> 00:01:56.680]  與神的靈接觸的部分
[00:01:56.680 --> 00:02:00.680]  不是一些部分而是某些功能
[00:02:00.680 --> 00:02:09.320]  這就是我所說的三角形和弧形之間的重疊狀態
[00:02:09.320 --> 00:02:14.680]  本來我的圖是用斜線畫出來的
[00:02:14.680 --> 00:02:21.000]  三角和弧形之間的交接部分
[00:02:21.000 --> 00:02:27.600]  這些斜線的部分就是接觸點
[00:02:27.600 --> 00:02:30.800]  就是特別與聖靈敏銳的接觸點
[00:02:30.800 --> 00:02:34.080]  究竟這些是什麼呢?
[00:02:34.080 --> 00:02:39.280]  我們說聖經裡面提到的就是我們裡面的人
[00:02:39.280 --> 00:02:41.600]  內裡面的人一面一面更新
[00:02:41.600 --> 00:02:43.760]  聖靈的內主
[00:02:43.760 --> 00:02:45.560]  很多時候用這些字眼
[00:02:45.560 --> 00:02:47.680]  聖靈在心裡面
[00:02:47.680 --> 00:02:50.680]  用說不出來的態式來替我們禱告
[00:02:50.680 --> 00:02:53.680]  聖靈的感動
[00:02:53.680 --> 00:02:57.200]  所以你留意聖靈的感動
[00:02:57.200 --> 00:02:59.480]  這句話是很有意思的
[00:02:59.480 --> 00:03:04.280]  因為你明白聖靈的感動這個動作
[00:03:04.280 --> 00:03:06.160]  這個感動的動作
[00:03:06.160 --> 00:03:08.160]  那個主題不是我
[00:03:08.160 --> 00:03:09.680]  是聖靈
[00:03:09.680 --> 00:03:10.960]  你明白嗎?
[00:03:10.960 --> 00:03:12.960]  但是這個感動的出現
[00:03:12.960 --> 00:03:14.960]  是在我的意識裡面
[00:03:14.960 --> 00:03:17.280]  譬如說聖靈感動我
[00:03:17.280 --> 00:03:20.720]  來參與這個侍奉
[00:03:20.720 --> 00:03:22.240]  我覺得這樣才算
[00:03:22.240 --> 00:03:25.520]  聖靈感動我參與這個侍奉
[00:03:25.520 --> 00:03:29.480]  就表示不是我要求我參與這個侍奉
[00:03:29.480 --> 00:03:32.200]  如果是我要求我參與這個侍奉
[00:03:32.200 --> 00:03:36.880]  就是我意識的我要求我自己參與這個侍奉
[00:03:36.880 --> 00:03:39.240]  就是意識的理論推理
[00:03:39.240 --> 00:03:42.040]  就是說這個時間現在有這個需要
[00:03:42.040 --> 00:03:46.120]  理論上我是要求我自己做這件事
[00:03:46.120 --> 00:03:47.320]  這是意識的活動
[00:03:47.320 --> 00:03:49.920]  但是如果我們說出聖靈的感動
[00:03:49.920 --> 00:03:51.920]  聖經裡面很多次說到聖靈的感動
[00:03:51.920 --> 00:03:55.280]  就是說感動的主角不是我
[00:03:55.280 --> 00:03:56.880]  感動的主角是聖靈
[00:03:56.880 --> 00:03:58.680]  聖靈感動什麼呢?
[00:03:58.680 --> 00:04:02.640]  聖靈就是說主角感動了我
[00:04:02.640 --> 00:04:04.240]  感動意識的我
[00:04:04.240 --> 00:04:07.320]  意識的我是一個object而不是一個subject
[00:04:07.320 --> 00:04:10.520]  那個subject一定是意識的背後
[00:04:10.520 --> 00:04:14.560]  神透過潛意識裡面某些部分去感動
[00:04:14.560 --> 00:04:15.200]  聽明白嗎?
[00:04:15.200 --> 00:04:16.760]  是一個蠻複雜的Psychology
[00:04:16.760 --> 00:04:17.520]  但是
[00:04:17.520 --> 00:04:19.000]  我想讓大家知道
[00:04:19.000 --> 00:04:21.440]  我不是胡亂說潛意識就是聖靈的工作
[00:04:21.440 --> 00:04:21.960]  不是
[00:04:21.960 --> 00:04:23.200]  我覺得是有意思的
[00:04:23.200 --> 00:04:27.760]  聖經裡面雖然沒有用20世紀潛意識這些字眼
[00:04:27.760 --> 00:04:29.160]  也不需要
[00:04:29.160 --> 00:04:30.240]  但是
[00:04:30.240 --> 00:04:33.160]  我相信聖經裡面的啟示
[00:04:33.160 --> 00:04:36.920]  他們所說的經歷
[00:04:36.920 --> 00:04:41.840]  如果我們用潛意識這個架構來看的話
[00:04:41.840 --> 00:04:46.240]  肯定是來自聖靈的感動
[00:04:46.240 --> 00:04:47.960]  聖靈的內注
[00:04:47.960 --> 00:04:50.920]  聖靈在我們心裡面對我們說話
[00:04:50.920 --> 00:04:53.760]  聖靈的能力從我們心裡面出來
[00:04:53.760 --> 00:04:57.840]  聖靈幫助我們治死肉體的惡行
[00:04:57.840 --> 00:05:02.520]  就是說肉體突然間有一種很強烈的犯罪的引誘
[00:05:02.520 --> 00:05:03.680]  拖我們的時候
[00:05:03.680 --> 00:05:06.520]  我們發覺有一個力量在裡面拖我們回頭
[00:05:06.520 --> 00:05:08.520]  那種力量是聖靈的力量
[00:05:08.520 --> 00:05:09.600]  我經常這麼說
[00:05:09.600 --> 00:05:10.520]  那種裡面
[00:05:10.520 --> 00:05:11.680]  什麼叫裡面?
[00:05:11.680 --> 00:05:15.400]  裡面不是你說我現在要拖我回頭
[00:05:15.400 --> 00:05:16.960]  而是你感覺到裡面
[00:05:16.960 --> 00:05:20.120]  一種不是你所調動的力量拖你回頭
