
[00:00:00.000 --> 00:00:04.080]  昨天晚上我們聽見余妙雲姊妹說
[00:00:04.080 --> 00:00:07.520]  昨晚我們聽到余妙雲姊妹說
[00:00:07.520 --> 00:00:11.520]  她說她過去這些年的工作
[00:00:11.520 --> 00:00:15.920]  她不願意和任何其他的事情交換
[00:00:15.920 --> 00:00:18.080]  她說她過去幾年的工作
[00:00:18.080 --> 00:00:21.520]  她不願意用其他任何的事情來交換
[00:00:21.520 --> 00:00:25.200]  今天晚上我們從陳永恩弟兄的口中
[00:00:25.200 --> 00:00:27.360]  聽見相同的話
[00:00:27.400 --> 00:00:31.240]  我們今晚從陳永恩姐妹的口中聽見相同的話
[00:00:31.240 --> 00:00:33.080]  過去的五年裏面
[00:00:33.080 --> 00:00:34.680]  過去的五年裏面
[00:00:34.680 --> 00:00:37.960]  她雖然經過不容易的時光
[00:00:37.960 --> 00:00:40.520]  她雖然經過不容易的時光
[00:00:40.520 --> 00:00:42.800]  面對困難的工作
[00:00:42.800 --> 00:00:44.680]  面對很困難的工作
[00:00:44.680 --> 00:00:46.760]  但是她的感受就是
[00:00:46.760 --> 00:00:50.600]  她不願意和任何其他的工作
[00:00:50.600 --> 00:00:52.800]  其他的事物來交換
[00:00:52.800 --> 00:00:54.040]  但是她的感受就是
[00:00:54.040 --> 00:00:55.880]  她不願意用其他的工作
[00:00:55.880 --> 00:00:58.440]  其他的事物來交換
[00:00:58.440 --> 00:01:01.800]  我們為這樣的心智感謝主
[00:01:01.800 --> 00:01:04.280]  我們為這樣的心智感謝主
[00:01:04.280 --> 00:01:06.920]  我們受感動
[00:01:06.920 --> 00:01:14.760]  昨天晚上我們看見了神的護照
[00:01:14.760 --> 00:01:17.240]  昨晚我們看到了神的呼召
[00:01:17.240 --> 00:01:20.680]  主說我可以差遣誰呢
[00:01:20.680 --> 00:01:23.240]  主說我可以差遣誰呢
[00:01:23.560 --> 00:01:26.440]  以賽亞響應了神的呼召
[00:01:26.440 --> 00:01:28.600]  以賽亞響應了神的呼召
[00:01:28.600 --> 00:01:31.480]  祂說我在這裏請差遣我
[00:01:31.480 --> 00:01:34.440]  祂說我在這裏請差遣我
[00:01:34.440 --> 00:01:37.880]  每一個基督徒都是一個蒙召的人
[00:01:37.880 --> 00:01:40.600]  每一個基督徒都是一個蒙召的人
[00:01:40.600 --> 00:01:43.320]  這個呼召是恩典的呼召
[00:01:43.320 --> 00:01:45.720]  這個呼召是恩典的呼召
[00:01:45.720 --> 00:01:49.240]  也是一個傳福音的責任的呼召
[00:01:49.240 --> 00:01:52.040]  也是一個傳福音責任的呼召
[00:01:52.040 --> 00:01:59.560]  每一個基督徒都有蒙召的使命
[00:01:59.560 --> 00:02:06.600]  每一個有使命的人都應該有使命感
[00:02:06.600 --> 00:02:13.640]  神呼召一些人去做宣教士
[00:02:13.640 --> 00:02:19.000]  神又呼召另外一些人在本地全職的傳福音
[00:02:19.000 --> 00:02:22.520]  神又呼召另外一些人在本地全職的服侍
[00:02:22.520 --> 00:02:27.560]  神也呼召其他的人在自己的生活中來傳福音
[00:02:27.560 --> 00:02:31.880]  神也呼召另外一些人在他們的生活中傳福音
[00:02:31.880 --> 00:02:36.600]  神也呼召一些人來支持拆船的工作
[00:02:36.600 --> 00:02:39.960]  神也呼召另外一些人來支持傳福音的工作
[00:02:39.960 --> 00:02:42.520]  他們做後方的軍人
[00:02:42.520 --> 00:02:44.520]  他們做後方的軍人
[00:02:44.520 --> 00:02:48.120]  每一個人要忠於自己的呼召
[00:02:48.120 --> 00:02:50.760]  每一個人要忠於自己的呼召
[00:02:50.760 --> 00:02:54.360]  每一個人要知道主呼召我做什麼
[00:02:54.360 --> 00:02:57.880]  每一個人都應該知道主呼召我做什麼
[00:02:57.880 --> 00:03:01.080]  我的使命是什麼?
[00:03:01.080 --> 00:03:04.520]  我的崗位是什麼?
[00:03:04.520 --> 00:03:09.480]  這是值得我們每一個人在神的面前想清楚的
[00:03:09.480 --> 00:03:13.320]  這是值得我們每一個人在神面前想清楚的
[00:03:13.320 --> 00:03:17.320]  每一個人願意接受主的呼召
[00:03:17.320 --> 00:03:20.360]  每一個人願意接受主的呼召
[00:03:20.360 --> 00:03:25.000]  每一個人願意說主啊我在這裡請拆遣我
[00:03:25.000 --> 00:03:29.480]  每一個人都願意說主啊我在這裡請拆遣我
[00:03:29.480 --> 00:03:31.000]  今天晚上
[00:03:31.000 --> 00:03:32.040]  今天晚上
[00:03:32.040 --> 00:03:35.320]  我們要從七十六第一章裡面來看
[00:03:35.320 --> 00:03:38.280]  我們要從七十六第一章裡面來看
[00:03:38.280 --> 00:03:42.360]  來看我們的拆船的工作
