
[00:00:00.000 --> 00:00:20.000]  德國神學家 陳汝佳 《神學家》
[00:00:26.000 --> 00:00:34.000]  德國的神學家 帝特里克·邦爾福
[00:00:34.000 --> 00:00:40.000]  他二戰的時候 給希特拉的軍隊抓了
[00:00:40.000 --> 00:00:42.000]  放到監獄裡面
[00:00:42.000 --> 00:00:50.000]  就是在他要被洗刑一個月的時候
[00:00:50.000 --> 00:00:54.000]  還有一個月 要接受這個洗刑的時候
[00:00:54.000 --> 00:00:57.000]  他寫了一篇詩
[00:00:57.000 --> 00:01:01.000]  其中幾句話是這樣說的
[00:01:01.000 --> 00:01:04.000]  他的詩的題目叫做《我是誰》
[00:01:04.000 --> 00:01:07.000]  Who am I? 我是誰?
[00:01:07.000 --> 00:01:09.000]  其中幾句話是這樣說
[00:01:09.000 --> 00:01:14.000]  他說 我是誰呢?
[00:01:14.000 --> 00:01:20.000]  這些寂寞的問題 他們在招論我
[00:01:20.000 --> 00:01:24.000]  上帝啊 不論我是誰
[00:01:24.000 --> 00:01:30.000]  你知道我永遠屬於你
[00:01:30.000 --> 00:01:34.000]  這幾句很有意義的說話
[00:01:34.000 --> 00:01:36.000]  在三千多年前
[00:01:36.000 --> 00:01:41.000]  摩西的口中也差不多同樣的說了
[00:01:41.000 --> 00:01:44.000]  剛才我們所念的那個生命記
[00:01:44.000 --> 00:01:48.000]  如果大家有研究舊約裡面的生命記
[00:01:48.000 --> 00:01:49.000]  雖然不容易念
[00:01:49.000 --> 00:01:52.000]  但是非常有意思
[00:01:52.000 --> 00:01:56.000]  因為生命記基本上是摩西的語言
[00:01:56.000 --> 00:01:58.000]  或者語族
[00:01:58.000 --> 00:02:00.000]  為什麼呢?
[00:02:00.000 --> 00:02:02.000]  大家可能也知道一些歷史
[00:02:02.000 --> 00:02:06.000]  摩西帶領以色列人離開了埃及
[00:02:06.000 --> 00:02:10.000]  在那個礦野裡面漂流了四十年
[00:02:10.000 --> 00:02:12.000]  然後終於現在要進到
[00:02:12.000 --> 00:02:15.000]  英許治地的迦南的門口了
[00:02:15.000 --> 00:02:23.000]  以色列人要過河進到英許治地了
