
[00:00:00.000 --> 00:00:02.000]  主耶稣复活了
[00:00:02.000 --> 00:00:04.000]  不单止历史当中的事实
[00:00:04.000 --> 00:00:07.000]  在今天,这位的主仍然活着
[00:00:07.000 --> 00:00:11.000]  我们大家再一起祈祷,再把时间交给主
[00:00:11.000 --> 00:00:18.000]  我们的主,祢永远是我们的盼望
[00:00:18.000 --> 00:00:21.000]  是我们的依靠,是我们的盘石
[00:00:21.000 --> 00:00:23.000]  是我们喜乐的源头
[00:00:23.000 --> 00:00:27.000]  主当我们想到,祢如何成就奇妙的救恩
[00:00:27.000 --> 00:00:29.000]  祢从死里复活过来
[00:00:29.000 --> 00:00:32.000]  以大能显明了祢是神的儿子
[00:00:32.000 --> 00:00:36.000]  以大能显明祢胜过阴间的权势
[00:00:36.000 --> 00:00:39.000]  主我们到祢的面前来
[00:00:39.000 --> 00:00:42.000]  将心中的感谢献呈给祢
[00:00:42.000 --> 00:00:46.000]  因为祢给我们的不单止是今生的盼望
[00:00:46.000 --> 00:00:49.000]  祢更加给我们的是永恒的盼望
[00:00:49.000 --> 00:00:53.000]  主我们可以在祢的面前相相快乐
[00:00:53.000 --> 00:00:57.000]  不因为今天我们有顺利,有平安
[00:00:57.000 --> 00:01:01.000]  更加因为祢给我们有永远的把握
[00:01:01.000 --> 00:01:04.000]  主我们今天到祢的面前
[00:01:04.000 --> 00:01:08.000]  一切都去思想祢复活之要给我们的盼望
[00:01:08.000 --> 00:01:13.000]  恳求亲爱的圣灵在我们心中指教我们
[00:01:13.000 --> 00:01:15.000]  除去我们心灵一切的障碍
[00:01:15.000 --> 00:01:17.000]  除去环境的搅扰
[00:01:17.000 --> 00:01:22.000]  让我们在祢的面前,我们一同再蒙恩惠
[00:01:22.000 --> 00:01:26.000]  听我们祈祷,奉靠耶稣的名字求
[00:01:26.000 --> 00:01:28.000]  阿门
[00:01:28.000 --> 00:01:32.000]  大家都会觉得这段时间比较舒服
[00:01:32.000 --> 00:01:35.000]  因为最近天气开始暖和一点
[00:01:35.000 --> 00:01:39.000]  我想起之前这段时间很寒冷的日子
[00:01:39.000 --> 00:01:41.000]  其实都很开心,现在暖一点
[00:01:41.000 --> 00:01:44.000]  我不知道大家有没有机会这段时间去一些郊野地方
[00:01:44.000 --> 00:01:49.000]  有没有见到一些很幼嫩的芽开始长出来
