
[00:00:00.000 --> 00:00:03.000]  在《新約聖經》裏面有幾本書信
[00:00:03.000 --> 00:00:05.000]  我們叫做監獄書信
[00:00:05.000 --> 00:00:09.000]  肥勒比書是其中一封書信
[00:00:09.000 --> 00:00:11.000]  是保羅在坐牢的時候
[00:00:11.000 --> 00:00:15.000]  去寫的一封書信的一封內容
[00:00:15.000 --> 00:00:18.000]  這一封書信最起碼提醒我們
[00:00:18.000 --> 00:00:20.000]  一個很重要的信仰方向
[00:00:20.000 --> 00:00:22.000]  就是保羅在逆境當中
[00:00:22.000 --> 00:00:24.000]  他在坐牢的裏面
[00:00:24.000 --> 00:00:26.000]  究竟他所關心的是什麼
[00:00:26.000 --> 00:00:29.000]  他的焦點又是什麼
[00:00:29.000 --> 00:00:32.000]  肥勒比書第一章第一節第二節
[00:00:32.000 --> 00:00:33.000]  保羅這樣說
[00:00:33.000 --> 00:00:36.000]  基督耶穌的僕人保羅和提摩泰
[00:00:36.000 --> 00:00:38.000]  寫信給凡在肥勒比
[00:00:38.000 --> 00:00:41.000]  在基督耶穌裏的眾聖徒和諸位監督
[00:00:41.000 --> 00:00:42.000]  諸位執事
[00:00:42.000 --> 00:00:43.000]  願因為平安
[00:00:43.000 --> 00:00:45.000]  重慎我們的父
[00:00:45.000 --> 00:00:48.000]  並主耶穌基督歸於你們
[00:00:48.000 --> 00:00:50.000]  和很多書信都一樣
[00:00:50.000 --> 00:00:51.000]  保羅一開始
[00:00:51.000 --> 00:00:53.000]  都對信徒一個問候
[00:00:53.000 --> 00:00:54.000]  一個祝福語
[00:00:54.000 --> 00:00:57.000]  保羅開始就對肥勒比教會的信徒
[00:00:57.000 --> 00:00:59.000]  一個問候
[00:00:59.000 --> 00:01:01.000]  願上帝和你們的平安
[00:01:01.000 --> 00:01:03.000]  臨到你們的身上
[00:01:03.000 --> 00:01:04.000]  什麼意思呢
[00:01:04.000 --> 00:01:07.000]  就是願上帝和你們之間的關係
[00:01:07.000 --> 00:01:09.000]  一個和諧的關係
[00:01:09.000 --> 00:01:10.000]  或者可以這樣說
[00:01:10.000 --> 00:01:13.000]  願你們行在上帝的心意當中
[00:01:13.000 --> 00:01:15.000]  願你們一路的過程裏面
[00:01:15.000 --> 00:01:18.000]  是跟從上帝的過程當中
[00:01:18.000 --> 00:01:20.000]  能夠更深的可以說
[00:01:20.000 --> 00:01:21.000]  去認識上帝
[00:01:21.000 --> 00:01:24.000]  和上帝建立一個更美好的一個關係
[00:01:24.000 --> 00:01:27.000]  跟著在第三至到第六節
[00:01:27.000 --> 00:01:29.000]  保羅一開始就去
[00:01:29.000 --> 00:01:30.000]  有一個問候之後
[00:01:30.000 --> 00:01:33.000]  跟著他就再去說
[00:01:33.000 --> 00:01:35.000]  當我想起你們的時候
[00:01:35.000 --> 00:01:36.000]  我想起什麼呢
[00:01:36.000 --> 00:01:38.000]  第三至到第六節那部
[00:01:38.000 --> 00:01:39.000]  保羅說
[00:01:39.000 --> 00:01:40.000]  我每逢想念你們
[00:01:40.000 --> 00:01:41.000]  就感謝我的神
[00:01:41.000 --> 00:01:43.000]  每逢為你們眾人祈求的時候
[00:01:43.000 --> 00:01:45.000]  嘗試歡歡喜喜的祈求
[00:01:45.000 --> 00:01:48.000]  因為從頭一日直到如今
[00:01:48.000 --> 00:01:50.000]  你們是同心合意的興旺福音
[00:01:50.000 --> 00:01:53.000]  我深信那在你們心裏動了善功的
[00:01:53.000 --> 00:01:55.000]  必成全者功
[00:01:55.000 --> 00:01:58.000]  直到耶穌基督的日子
[00:01:58.000 --> 00:02:00.000]  保羅在一開始說
[00:02:00.000 --> 00:02:02.000]  我想起你們的時候
[00:02:02.000 --> 00:02:03.000]  我就去感謝神
[00:02:03.000 --> 00:02:06.000]  保羅去為一班信徒的感謝
[00:02:06.000 --> 00:02:10.000]  就不是為了他們某件事
[00:02:10.000 --> 00:02:11.000]  而去感謝上帝
[00:02:11.000 --> 00:02:12.000]  或者他們做了某些事
[00:02:12.000 --> 00:02:13.000]  不單止是這樣
[00:02:13.000 --> 00:02:15.000]  而是想起整個群體
[00:02:15.000 --> 00:02:17.000]  保羅就為這個群體
[00:02:17.000 --> 00:02:19.000]  有一個感謝
[00:02:19.000 --> 00:02:20.000]  可以這樣說
[00:02:20.000 --> 00:02:21.000]  保羅的感謝
[00:02:21.000 --> 00:02:24.000]  就不是一個很空泛的感謝
[00:02:24.000 --> 00:02:28.000]  而是在這裏已經隱約地說出了
[00:02:28.000 --> 00:02:30.000]  當我想起你們的時候
[00:02:30.000 --> 00:02:31.000]  你們怎樣和我一起
[00:02:31.000 --> 00:02:33.000]  在福音的工作上
[00:02:33.000 --> 00:02:35.000]  從頭一日直到如今
[00:02:35.000 --> 00:02:39.000]  都努力地同心合意的興旺福音
[00:02:39.000 --> 00:02:41.000]  保羅在這裏
[00:02:41.000 --> 00:02:44.000]  去想到一班
[00:02:44.000 --> 00:02:45.000]  菲律賓教會的信徒
[00:02:45.000 --> 00:02:49.000]  其實在保羅缺乏的過程裏面
[00:02:49.000 --> 00:02:52.000]  他們怎樣供應保羅的需要
[00:02:52.000 --> 00:02:55.000]  從頭一日直到今日
[00:02:55.000 --> 00:02:57.000]  在福音的工作上
[00:02:57.000 --> 00:02:59.000]  你們都和我一起同工
[00:02:59.000 --> 00:03:01.000]  這個同工的意思
