
[00:00:00.000 --> 00:00:03.000]  當我們讀聖經,我們常常會留意到一件事情
[00:00:03.000 --> 00:00:09.000]  聖經有很多篇幅,特別提及到末世的時候的情況
[00:00:09.000 --> 00:00:12.000]  提到末世的時候,聖經有提及到有很多人
[00:00:12.000 --> 00:00:18.000]  到時會出現一個問題,是離道反教
[00:00:18.000 --> 00:00:22.000]  聖經用一些字眼講到人離棄真道
[00:00:22.000 --> 00:00:27.000]  不單止不聽從聖經裡面神給人的道
[00:00:27.000 --> 00:00:32.000]  反而偏向了一些所謂鬼魔的道理
[00:00:32.000 --> 00:00:35.000]  聖經所講及的就是人聽從那些
[00:00:35.000 --> 00:00:40.000]  引誘人的邪靈和鬼魔的道理
[00:00:40.000 --> 00:00:44.000]  以致心偏向一些邪惡的事情
[00:00:44.000 --> 00:00:47.000]  我們又看到聖經裡面提到末世的時候
[00:00:47.000 --> 00:00:50.000]  大家都記得當主載回來的時候
[00:00:50.000 --> 00:00:55.000]  聖經就說有很多不法的事情,惡的事情發生
[00:00:55.000 --> 00:00:57.000]  而很多人見到這樣的情況的時候
[00:00:57.000 --> 00:01:02.000]  聖經就說人的愛心漸漸冷淡了
[00:01:02.000 --> 00:01:06.000]  見到很多不法的事情,甚至在教徒群體當中
[00:01:06.000 --> 00:01:09.000]  出現一些惡的事情的時候
[00:01:09.000 --> 00:01:12.000]  人的愛心就冷淡了
[00:01:12.000 --> 00:01:16.000]  因為見到一些這樣的壞榜樣,感覺到很灰心
[00:01:16.000 --> 00:01:21.000]  因此覺得自己都不需要那麼堅持,所以就放棄了
[00:01:21.000 --> 00:01:25.000]  聖經就說到人的愛心,愛神的心,愛人的心
[00:01:25.000 --> 00:01:31.000]  就漸漸,不一定是馬上,而是漸漸地冷淡了
[00:01:31.000 --> 00:01:35.000]  在這些情況裡面,聖經很清楚地告訴我們
[00:01:35.000 --> 00:01:40.000]  我們是會面對這些挑戰,特別是在末世的時候
[00:01:40.000 --> 00:01:45.000]  在這些時候更加要留心,如何兼顧自己對神的信心
[00:01:45.000 --> 00:01:49.000]  聖經所說持定一份對主的信心
[00:01:49.000 --> 00:01:52.000]  知道祂永遠是可信可靠的主
[00:01:52.000 --> 00:01:57.000]  而能夠幫助自己一路,來堅持到底
[00:01:57.000 --> 00:02:00.000]  所以聖經當我們讀到希伯來書的時候
[00:02:00.000 --> 00:02:02.000]  希伯來書就就著這種情況
[00:02:02.000 --> 00:02:07.000]  去勉勵我們要留心,要持定著這份信心
[00:02:07.000 --> 00:02:12.000]  大家先看聖經在第三章的第七節
[00:02:12.000 --> 00:02:18.000]  聖經提到在教育聖經裡面一些例子來提醒我們
[00:02:18.000 --> 00:02:20.000]  在第七節這樣說
[00:02:20.000 --> 00:02:22.000]  所以就像聖靈所說的
[00:02:22.000 --> 00:02:27.000]  如果你們今天聽從祂的聲音,就不要硬著心
[00:02:27.000 --> 00:02:32.000]  好像在抗夜惹祂發怒,試探祂的日子一樣
