
[00:00:00.000 --> 00:00:02.800]  我們今天所思想的題目是
[00:00:02.800 --> 00:00:07.000]  繼續以信心來領受聖靈
[00:00:07.000 --> 00:00:10.000]  繼續來領受聖靈
[00:00:10.000 --> 00:00:12.400]  我早前剛剛看到一篇文章提及
[00:00:12.400 --> 00:00:15.000]  我們宣讀的一位很重要的先賢
[00:00:15.000 --> 00:00:18.000]  是澤富文牧師宣教士
[00:00:18.000 --> 00:00:21.000]  在1924年發生了一件很特別的事情
[00:00:21.000 --> 00:00:25.000]  當時他在廣西有很多宣教工作
[00:00:25.000 --> 00:00:27.000]  當時有一個日子
[00:00:27.000 --> 00:00:31.000]  他被當地一幫土匪綁架了
[00:00:31.000 --> 00:00:35.000]  抓了他去山頭一個土匪的總部
[00:00:35.000 --> 00:00:38.000]  當他去到的時候發現當時已經天黑了
[00:00:38.000 --> 00:00:40.000]  周圍漆黑一片
[00:00:40.000 --> 00:00:42.000]  他只是僅僅靠少許月光
[00:00:42.000 --> 00:00:45.000]  辨認到他們的位置
[00:00:45.000 --> 00:00:49.000]  當時土匪的首領突然大聲跟他說
[00:00:49.000 --> 00:00:51.000]  你是基督徒嗎?
[00:00:51.000 --> 00:00:54.000]  你就告訴我們你的耶穌吧
[00:00:54.000 --> 00:00:58.000]  突然要求他說耶穌的事
[00:00:58.000 --> 00:01:02.000]  當時他看到一大群土匪圍著他
[00:01:02.000 --> 00:01:06.000]  並不是在聚會當中很多人想聽訊息的處境
[00:01:06.000 --> 00:01:09.000]  是一種很陰森可暴的處境
[00:01:09.000 --> 00:01:11.000]  按他的說話說
[00:01:11.000 --> 00:01:15.000]  因為他知道萬一他說一些不合適的話
[00:01:15.000 --> 00:01:17.000]  隨時一顆子彈就會飛過來
[00:01:17.000 --> 00:01:21.000]  因為所有土匪身上都懷著槍械
[00:01:21.000 --> 00:01:24.000]  當時他們很驚慌
[00:01:24.000 --> 00:01:27.000]  但他心裡知道神是他的幫助
[00:01:27.000 --> 00:01:32.000]  他就將他的眼睛仰望轉移向神
[00:01:32.000 --> 00:01:35.000]  在信心當中他感受神給他的力量
[00:01:35.000 --> 00:01:40.000]  他就向這些土匪講述耶穌的故事
[00:01:40.000 --> 00:01:42.000]  一邊說的時候發現
[00:01:42.000 --> 00:01:45.000]  這些朋友他們很願意聽
[00:01:45.000 --> 00:01:46.000]  沒有什麼動靜
[00:01:46.000 --> 00:01:48.000]  沒有人拿槍
[00:01:48.000 --> 00:01:51.000]  在這時候他突然想
[00:01:51.000 --> 00:01:54.000]  他說我是必須要被綁架
[00:01:54.000 --> 00:01:59.000]  才可以和這些土匪傳福音
[00:01:59.000 --> 00:02:01.000]  如果他不是被綁架
[00:02:01.000 --> 00:02:04.000]  他不會有機會和這些土匪講道
[00:02:04.000 --> 00:02:08.000]  也顯示出神很愛他們
[00:02:08.000 --> 00:02:10.000]  連這些土匪神都愛
[00:02:10.000 --> 00:02:13.000]  以致差派他被綁架
[00:02:13.000 --> 00:02:16.000]  以致可以向他們傳福音
[00:02:16.000 --> 00:02:17.000]  各位聽眾
[00:02:17.000 --> 00:02:19.000]  當我看到這段故事的時候
[00:02:19.000 --> 00:02:20.000]  我心裡想
[00:02:20.000 --> 00:02:22.000]  在一切的處境當中
[00:02:22.000 --> 00:02:25.000]  神能夠行奇妙的事情
[00:02:25.000 --> 00:02:28.000]  但在其間你和我都會很驚恐
[00:02:28.000 --> 00:02:29.000]  都會害怕
[00:02:29.000 --> 00:02:34.000]  但信心讓我們能夠放膽依靠神
[00:02:34.000 --> 00:02:37.000]  而信心讓我們領受聖靈的能力
[00:02:37.000 --> 00:02:40.000]  讓我們看到神的作為
[00:02:40.000 --> 00:02:43.000]  何時我們面對著很多困難的處境
[00:02:43.000 --> 00:02:44.000]  我們常常提醒自己
[00:02:44.000 --> 00:02:46.000]  好像師哥所說
[00:02:46.000 --> 00:02:51.000]  當轉眼仰望耶穌
[00:02:51.000 --> 00:02:52.000]  讓神賜給我們信心
[00:02:52.000 --> 00:02:54.000]  以致可以在其間
[00:02:54.000 --> 00:02:56.000]  來去知取聖靈的能力
[00:02:56.000 --> 00:03:00.000]  在當中作神要我們做的事情
[00:03:00.000 --> 00:03:01.000]  當我們講到聖靈的時候
[00:03:01.000 --> 00:03:02.000]  各位弟兄姊妹
[00:03:02.000 --> 00:03:05.000]  不是某一些屬靈的偉人才會得到
[00:03:05.000 --> 00:03:08.000]  而是神樂意賜給每一個屬祂的人
[00:03:08.000 --> 00:03:11.000]  而且祂盼望我們能夠不斷被聖靈充滿
[00:03:11.000 --> 00:03:15.000]  以領受祂給我們完全的恩惠和能力
[00:03:15.000 --> 00:03:17.000]  因此我們今天再看加拿大書
[00:03:17.000 --> 00:03:20.000]  思想我們如何能夠以信心領受聖靈
[00:03:20.000 --> 00:03:23.000]  大家一起翻開聖經
[00:03:23.000 --> 00:03:25.000]  剛才讀第三章之前的第二章
[00:03:25.000 --> 00:03:28.000]  最後兩節經文這樣說
[00:03:28.000 --> 00:03:29.000]  第二十節
[00:03:29.000 --> 00:03:31.000]  二章二十節
[00:03:31.000 --> 00:03:34.000]  我已經與基督同釘十字架
[00:03:34.000 --> 00:03:38.000]  現在活著的不再是我
[00:03:38.000 --> 00:03:42.000]  乃是基督在我裡面活著
[00:03:42.000 --> 00:03:44.000]  聖經清楚告訴我們
[00:03:44.000 --> 00:03:47.000]  不再是我活著
[00:03:47.000 --> 00:03:51.000]  也不是憑著這個自我來生活
