
[00:00:00.000 --> 00:00:05.800]  我們剛才讀了一段很震撼、很爆炸性的經文
[00:00:05.800 --> 00:00:07.480]  只讀這段聖經
[00:00:07.480 --> 00:00:10.960]  我相信如果你投入的明白
[00:00:10.960 --> 00:00:17.120]  體會當中那種力量和榮耀
[00:00:17.120 --> 00:00:20.240]  和安慰和把握的話
[00:00:20.240 --> 00:00:23.720]  你本身已經得到很大的鼓勵
[00:00:23.720 --> 00:00:29.040]  和在神的面前可以重新得力
[00:00:29.040 --> 00:00:33.120]  所以我預備這篇講道時我有些壓力
[00:00:33.120 --> 00:00:37.800]  我怕我講了會滑蛇添足
[00:00:37.800 --> 00:00:43.520]  講不到本身這段聖經本來神要我們所聽到的
[00:00:43.520 --> 00:00:46.080]  那種震撼性
[00:00:46.080 --> 00:00:50.920]  所以我想和大家一起祈禱求神幫助我們
[00:00:50.920 --> 00:00:52.880]  越過我的軟弱
[00:00:52.880 --> 00:00:57.160]  讓聖靈讓大家聽到這段聖經
[00:00:57.160 --> 00:00:59.400]  神想你聽到的東西
[00:00:59.400 --> 00:01:02.560]  我們一起有個簡單的祈禱求神幫助我們
[00:01:02.560 --> 00:01:04.080]  趁我聖靈求你幫助我
[00:01:04.080 --> 00:01:07.360]  讓我講清楚這段聖經
[00:01:07.360 --> 00:01:08.440]  又不會阻礙
[00:01:08.440 --> 00:01:11.600]  因為我知道無論我怎麼講都講不到你這段聖經
[00:01:11.600 --> 00:01:16.160]  要對我們每一個人所講的話那種力量
[00:01:16.160 --> 00:01:20.160]  和那種我比爾的信心
[00:01:20.160 --> 00:01:21.240]  但我們真的求你
[00:01:21.240 --> 00:01:24.560]  因為今天我們有一段短短的時間
[00:01:24.560 --> 00:01:26.760]  一起看這段話的時候
[00:01:26.760 --> 00:01:28.240]  求你連穩我們
[00:01:28.240 --> 00:01:30.960]  聖靈求你感動每一個弟兄姊妹
[00:01:30.960 --> 00:01:32.280]  也感動我的心
[00:01:32.280 --> 00:01:34.080]  讓我能夠講得清楚
[00:01:34.080 --> 00:01:35.080]  講得明白
[00:01:35.080 --> 00:01:37.280]  講到有你起碼少少
[00:01:37.280 --> 00:01:42.360]  從你而來那種感動人心的力量
[00:01:42.360 --> 00:01:44.200]  不是因為要成就些什麼
[00:01:44.200 --> 00:01:46.640]  而是因為你愛我們每一個人
[00:01:46.640 --> 00:01:47.200]  主啊
[00:01:47.200 --> 00:01:49.880]  我們求你今天自己臨在我們當中
[00:01:49.880 --> 00:01:51.800]  祈禱奉耶穌基督的名求
[00:01:51.800 --> 00:01:53.040]  阿們
[00:01:53.040 --> 00:01:55.080]  所以今天我很想這段聖經
[00:01:55.080 --> 00:01:58.760]  也是我們城北堂一連串的羅馬書教系列
[00:01:58.760 --> 00:02:01.240]  最後一個的結束
[00:02:01.240 --> 00:02:03.680]  我們今天之後就完結了這個系列
[00:02:03.680 --> 00:02:06.480]  羅馬書一直講到第八章結束
[00:02:06.480 --> 00:02:09.680]  所以今天我很想用這段聖經
[00:02:09.680 --> 00:02:12.480]  和大家做一個結束
[00:02:12.480 --> 00:02:16.160]  但這個結束應該是更高峰的
[00:02:16.160 --> 00:02:19.200]  一個生命的開始
[00:02:19.200 --> 00:02:22.480]  我自己的心願就是今天你和我
[00:02:22.480 --> 00:02:24.880]  站在這裡讀這段聖經的時候
[00:02:24.880 --> 00:02:25.760]  如果你有聖經的話
[00:02:25.760 --> 00:02:29.400]  你打開羅馬書第八章
[00:02:29.400 --> 00:02:33.160]  我們今天是從第28節看到第39節
[00:02:33.160 --> 00:02:34.600]  剛才我們所讀的那一段
[00:02:34.600 --> 00:02:37.240]  我希望今天你和我帶一個心情
[00:02:37.240 --> 00:02:40.640]  就是聽這一段說話
[00:02:40.640 --> 00:02:43.080]  神想和你說什麼
[00:02:43.080 --> 00:02:46.520]  今天我們不是來崇拜一個節目
[00:02:46.520 --> 00:02:50.000]  今天我們不是來研究這一段說話
[00:02:50.000 --> 00:02:52.480]  我們帶一個聽的心
[00:02:52.480 --> 00:02:55.360]  聽聽神想和你說什麼
[00:02:55.360 --> 00:02:57.440]  我祈禱也是祈這件事
[00:02:57.440 --> 00:03:00.560]  可能神對我講的
[00:03:00.560 --> 00:03:02.400]  和你旁邊講的是不同的
[00:03:02.400 --> 00:03:04.600]  因為裡面很豐富
[00:03:04.600 --> 00:03:07.920]  希望今天你聽到神想和你說什麼
[00:03:07.920 --> 00:03:09.440]  以至你的生命
[00:03:09.440 --> 00:03:13.160]  你自己和祂所講的話有一個反應
[00:03:13.160 --> 00:03:13.720]  好不好?
[00:03:13.720 --> 00:03:15.040]  我們帶著這樣的心情
[00:03:15.040 --> 00:03:16.880]  所以無論你的心情現在是怎樣
[00:03:16.880 --> 00:03:17.760]  我不知道
[00:03:17.760 --> 00:03:19.600]  你的心情是怎樣
[00:03:19.600 --> 00:03:22.160]  或者你正在遭遇什麼事
[00:03:22.160 --> 00:03:24.400]  又或者你正在掙扎什麼
[00:03:24.400 --> 00:03:26.200]  無論如何
[00:03:26.200 --> 00:03:28.320]  我都希望你試一下
[00:03:28.320 --> 00:03:31.960]  聽這一段神要和你說的話
[00:03:31.960 --> 00:03:35.840]  是講什麼給你聽
[00:03:35.840 --> 00:03:38.640]  這個是我今天開始的時候
[00:03:38.640 --> 00:03:39.720]  帶著這種希望
[00:03:39.720 --> 00:03:40.200]  好不好?
[00:03:40.200 --> 00:03:42.840]  我們用一種這樣聆聽的心來聽
[00:03:42.840 --> 00:03:45.800]  究竟這段說話想講什麼呢?
