
[00:00:00.000 --> 00:00:06.760]  本身你已經有的,你繼續強化它
[00:00:06.760 --> 00:00:11.400]  然後哪些地方比較弱,你慢慢去改變
[00:00:11.400 --> 00:00:15.000]  其實就是這樣,不要忽略已經做得好的部分
[00:00:15.000 --> 00:00:20.200]  其實相反的,有一些理論是刻意去做補短開始的
[00:00:20.200 --> 00:00:22.400]  但是補短確實不容易
[00:00:22.400 --> 00:00:25.400]  因為那個短項就是教會的弱項
[00:00:25.400 --> 00:00:31.400]  你可能是沒有資源,很多方面的原因才做得到
[00:00:31.400 --> 00:00:34.400]  你又怎能刻意一下子改變呢?
[00:00:34.400 --> 00:00:37.400]  所以很重要的就是剪長補短
[00:00:37.400 --> 00:00:40.400]  首先去兼顧你最好
[00:00:40.400 --> 00:00:46.400]  你看到三間不同的堂會,都是有不同的力度開始發揮的
[00:00:46.400 --> 00:00:49.400]  正好很奇妙地,其實沒有預想
[00:00:49.400 --> 00:00:51.400]  這個就是研究裏面的趣味
[00:00:51.400 --> 00:00:54.400]  研究出來才發覺原來他們有不同的特色
[00:00:54.400 --> 00:00:57.400]  有些強於從敬拜開始
[00:00:57.400 --> 00:01:03.400]  有些是在小組,有些是在課程
[00:01:03.400 --> 00:01:06.400]  但是在某一方面帶動
[00:01:06.400 --> 00:01:09.400]  原來任何一方面都可以帶動開始的
[00:01:09.400 --> 00:01:13.400]  不過要互相平衡和補足
[00:01:13.400 --> 00:01:18.400]  而且每失去的過渡都要留意
[00:01:18.400 --> 00:01:21.400]  你看到某些教會裏面說
[00:01:21.400 --> 00:01:26.400]  停滯期竟然有猜拳宣教的元素
[00:01:26.400 --> 00:01:31.400]  猜拳宣教都可以導致停滯?
[00:01:31.400 --> 00:01:36.400]  裏面反映到如果有時過渡偏向某一方面
[00:01:36.400 --> 00:01:39.400]  都可以導致教會失衡
[00:01:39.400 --> 00:01:42.400]  令其他方面可以薄弱
[00:01:42.400 --> 00:01:45.400]  所以這個位置就要留意
[00:01:45.400 --> 00:01:48.400]  譬如信徒很努力參加課程
[00:01:48.400 --> 00:01:50.400]  不過他不回小組
[00:01:50.400 --> 00:01:53.400]  這可能也是一種失衡
[00:01:53.400 --> 00:01:55.400]  所以這個位置就要留意
[00:01:55.400 --> 00:01:59.400]  過渡的侍奉,但沒有了其他教會生活
[00:01:59.400 --> 00:02:04.400]  所以要留意到一個由下而上
[00:02:04.400 --> 00:02:07.400]  意思是由他自己的本質
[00:02:07.400 --> 00:02:11.400]  找到他服侍的崗位的動力所在
[00:02:11.400 --> 00:02:12.400]  這樣去服侍
[00:02:12.400 --> 00:02:15.400]  做你喜歡的事,你不會覺得累
[00:02:15.400 --> 00:02:17.400]  其實就是這個
[00:02:17.400 --> 00:02:19.400]  不是因為需要而侍奉
[00:02:19.400 --> 00:02:24.400]  而是為了找到神給你需要負擔的所在
[00:02:24.400 --> 00:02:27.400]  這就是動力的原因
[00:02:27.400 --> 00:02:29.400]  連牧者也是這樣發揮
[00:02:29.400 --> 00:02:34.400]  牧者也是在最所長、最負擔的方面發揮
[00:02:34.400 --> 00:02:38.400]  當然我們有沒有機會讓牧者這樣發揮呢?
[00:02:38.400 --> 00:02:42.400]  我很幸福,我在這個現場
[00:02:42.400 --> 00:02:45.400]  我的教會今天來支持我發佈
[00:02:45.400 --> 00:02:49.400]  這應該不是平時牧師所說的訊息
[00:02:49.400 --> 00:02:52.400]  大家都好像很有興趣地去聽
[00:02:52.400 --> 00:02:55.400]  這是一個很好的展現
[00:02:55.400 --> 00:02:59.400]  讓牧師也有機會去發揮
[00:02:59.400 --> 00:03:02.400]  (字幕由 Amara.org 社群提供)

