
[00:00:00.000 --> 00:00:04.820]  剛和師母去完日本,有一個很美好的馬拉松
[00:00:04.820 --> 00:00:06.320]  這個是我
[00:00:06.320 --> 00:00:10.180]  但是對師母來說,她最喜歡的就是輕井澤
[00:00:10.180 --> 00:00:13.380]  就是去看很多大自然的美景
[00:00:13.380 --> 00:00:16.500]  其中一個我們去了一個叫做石之教會
[00:00:16.500 --> 00:00:18.500]  可能大家都去過的
[00:00:18.500 --> 00:00:22.600]  這間石之教會是在1988年建立的
[00:00:22.600 --> 00:00:27.360]  在一個樹林當中有間禮堂
[00:00:27.360 --> 00:00:32.080]  這間禮堂當然很美,很多日本人喜歡去那裡行婚禮
[00:00:32.080 --> 00:00:38.120]  不過這間禮堂在地牢下面,是紀念一個人的
[00:00:38.120 --> 00:00:40.120]  原來這間禮堂是一個紀念館
[00:00:40.120 --> 00:00:43.500]  紀念的是內村鑑三這個人
[00:00:43.500 --> 00:00:47.360]  他的日文名字是Yuchimura Kensho
[00:00:47.360 --> 00:00:52.700]  在19世紀的明治時代,內村鑑三從小就受著
[00:00:52.700 --> 00:00:58.160]  當時一些外地的宣教士的影響
[00:00:58.160 --> 00:01:00.160]  他在11歲開始學英文
[00:01:00.160 --> 00:01:02.160]  16歲他受洗
[00:01:02.160 --> 00:01:05.160]  領受了寶貴的救恩
[00:01:05.160 --> 00:01:07.160]  然後他去了美國就心煩
[00:01:07.160 --> 00:01:09.160]  回來日本就教書
[00:01:09.160 --> 00:01:13.420]  不過他在自己教書的過程當中,他做了一個舉動
[00:01:13.420 --> 00:01:19.880]  就是沒有向當時的明治天皇的畫像跪拜
[00:01:19.880 --> 00:01:21.880]  所以被撤銷教席
[00:01:21.880 --> 00:01:23.880]  離開了教師的崗位
[00:01:23.880 --> 00:01:27.880]  自己就做了一個自由的傳道人
[00:01:27.880 --> 00:01:31.880]  寫作,不同的詩詞
[00:01:31.880 --> 00:01:36.880]  還有將福音帶給當時很多的日本人
[00:01:36.880 --> 00:01:38.880]  很多人都不明白
[00:01:38.880 --> 00:01:46.880]  以他的背景,有外國的學歷
[00:01:46.880 --> 00:01:48.880]  再加上自己的財富
[00:01:48.880 --> 00:01:50.880]  又有美好的前途
[00:01:50.880 --> 00:01:52.880]  為什麼要放下這些東西
[00:01:52.880 --> 00:01:54.880]  為什麼會這樣呢
[00:01:54.880 --> 00:01:57.880]  內村鑑三的其中一個名言就是右下角
[00:01:57.880 --> 00:02:00.880]  他說我是為日本,日本是為世界
[00:02:00.880 --> 00:02:04.880]  世界是為基督,一切都是屬於神的
[00:02:04.880 --> 00:02:08.880]  相信神在內村鑑三這個日本人心中
[00:02:08.880 --> 00:02:10.880]  播下了福音的種子
[00:02:10.880 --> 00:02:12.880]  並且產生美好的果效
[00:02:12.880 --> 00:02:16.880]  內村鑑三這個紀念館
[00:02:16.880 --> 00:02:18.880]  這麼美的教堂
[00:02:18.880 --> 00:02:20.880]  也告訴我們過去神的工作
[00:02:20.880 --> 00:02:25.880]  直到今天仍然在我們當中工作
[00:02:25.880 --> 00:02:27.880]  我們都知道李牧師就是
[00:02:27.880 --> 00:02:32.880]  去到日本人當中,就是在做神的工作
[00:02:32.880 --> 00:02:36.880]  今天耶穌為門徒洗腳
[00:02:36.880 --> 00:02:38.880]  大家也聽過很多
[00:02:38.880 --> 00:02:40.880]  但是為什麼呢
[00:02:40.880 --> 00:02:42.880]  這是我們要問的
[00:02:42.880 --> 00:02:47.880]  當中有什麼我們需要學習呢
[00:02:47.880 --> 00:02:49.880]  在教會年曆當中
[00:02:49.880 --> 00:02:51.880]  剛才Bobo說
[00:02:51.880 --> 00:02:53.880]  我們在四十日的禹苦期
[00:02:53.880 --> 00:02:56.880]  由三月五日,即是前幾天的周三
[00:02:56.880 --> 00:02:58.880]  聖灰日開始
[00:02:58.880 --> 00:03:01.880]  直到四月二十日,也是復活節當日
[00:03:01.880 --> 00:03:03.880]  當天有浸禮
[00:03:03.880 --> 00:03:06.880]  大家在禹禾時間出席,還有一個會禮
[00:03:06.880 --> 00:03:09.880]  這四十日,不算主日
[00:03:09.880 --> 00:03:13.880]  這四十日當中讓我們思念耶穌基督
[00:03:13.880 --> 00:03:15.880]  不單止為我們降生
[00:03:15.880 --> 00:03:18.880]  也為我們受死、埋葬、復活、升天
[00:03:18.880 --> 00:03:21.880]  在教會的年曆當中
