
[00:00:00.000 --> 00:00:04.800]  請大家看回剛才讀過的尼西米記第二章
[00:00:04.800 --> 00:00:06.600]  我們今天除了看第二章之外
[00:00:06.600 --> 00:00:09.800]  也會看一些前後的經文
[00:00:09.800 --> 00:00:16.400]  大家會記得當主耶穌復活了之後
[00:00:16.400 --> 00:00:21.400]  祂首先做的事情就是向門徒顯現
[00:00:21.400 --> 00:00:26.600]  當時門徒在一個封閉了的房屋裏面
[00:00:26.600 --> 00:00:29.200]  耶穌向他們顯現的時候
[00:00:29.200 --> 00:00:31.000]  第一句話就說
[00:00:31.000 --> 00:00:33.200]  願你們平安
[00:00:33.200 --> 00:00:38.400]  復活的主帶給人第一個重要的訊息就是
[00:00:38.400 --> 00:00:41.000]  神將平安賜給人
[00:00:41.000 --> 00:00:45.000]  然後講完之後主耶穌接著就說
[00:00:45.000 --> 00:00:47.800]  父怎樣差遣了我
[00:00:47.800 --> 00:00:51.000]  我也照樣差遣你們
[00:00:51.000 --> 00:00:55.800]  因為父差遣主耶穌來到我們中間
[00:00:55.800 --> 00:00:57.400]  我們領受了救恩
[00:00:57.400 --> 00:01:00.000]  你和我生命不再一樣
[00:01:00.000 --> 00:01:03.000]  但是神為了成全
[00:01:03.000 --> 00:01:06.000]  或者說完全了祂對我們的拯救
[00:01:06.000 --> 00:01:09.200]  是同樣將差遣賜給我們
[00:01:09.200 --> 00:01:12.400]  差遣我們去到世上不同的崗位
[00:01:12.400 --> 00:01:13.800]  作祂的見證
[00:01:13.800 --> 00:01:17.200]  因此教徒一方面領受了恩典
[00:01:17.200 --> 00:01:22.200]  另外領受了成為恩典管道的恩典
[00:01:23.400 --> 00:01:27.800]  因此你發覺你和我是有差遣在身的
[00:01:27.800 --> 00:01:30.600]  我們是一個被差遣的人
[00:01:30.600 --> 00:01:34.200]  去到不同的崗位作主的見證
[00:01:34.200 --> 00:01:36.800]  因此當我們回到聖經裏面
[00:01:36.800 --> 00:01:39.000]  講述到神的恩惠的時候
[00:01:39.000 --> 00:01:43.200]  必然是包括了神給我們所領受的
[00:01:43.200 --> 00:01:46.800]  和神透用我們所施予出去的
[00:01:46.800 --> 00:01:52.000]  因此當我們回想到心中的負擔的時候
[00:01:52.000 --> 00:01:55.800]  你會發覺神很多時候透過這種方式
[00:01:55.800 --> 00:01:59.400]  讓我們成為次因的管道
[00:01:59.400 --> 00:02:03.800]  很多時候神將一些人的需要
[00:02:03.800 --> 00:02:07.400]  或者某一些事的需要放在我們心裏面
[00:02:07.400 --> 00:02:09.600]  成為了我們裏面的負擔
[00:02:09.600 --> 00:02:12.000]  或者說一種長久的感動
[00:02:12.000 --> 00:02:16.400]  而何時當我們去回應這種感動
[00:02:16.400 --> 00:02:18.600]  或者說神的呼召
[00:02:18.600 --> 00:02:21.400]  就察覺到在過程當中
[00:02:21.400 --> 00:02:23.000]  我們更加認識神
[00:02:23.000 --> 00:02:27.400]  亦在完成神所給我們的感動之餘
[00:02:27.400 --> 00:02:31.600]  我們領受一份更大的內心滿足
[00:02:31.600 --> 00:02:35.600]  今天當我們一路看《尼西米記》的時候
[00:02:35.600 --> 00:02:37.800]  我們其中特別留心的就是
[00:02:37.800 --> 00:02:41.200]  神如何將負擔放在尼西米的身上
[00:02:41.200 --> 00:02:44.600]  而尼西米亦如何依靠主
[00:02:44.600 --> 00:02:46.800]  來承傳神對他的旨意
[00:02:46.800 --> 00:02:49.400]  而經歷神 而認識神
[00:02:50.600 --> 00:02:53.200]  剛才我們讀過《尼西米記》第二章
[00:02:53.200 --> 00:02:55.200]  之前第一章有些背景
[00:02:55.200 --> 00:02:57.200]  我們首先一起看一看
[00:02:57.200 --> 00:02:59.000]  你會察覺到聖經說到
[00:02:59.000 --> 00:03:01.600]  尼西米領受了神給他的意象
[00:03:01.600 --> 00:03:05.200]  亦都在神的面前因此來禱告
[00:03:05.200 --> 00:03:07.600]  在聖經裏面第一章
[00:03:07.600 --> 00:03:10.400]  你會見到當時聖經提到
[00:03:10.400 --> 00:03:13.000]  尼西米在波斯王朝裏面
[00:03:13.000 --> 00:03:15.000]  做一個重要的官員
[00:03:15.000 --> 00:03:16.800]  他是做王的酒政
[00:03:16.800 --> 00:03:19.600]  當時他本身是猶大人
[00:03:19.600 --> 00:03:22.000]  但他在一個外邦的國家
[00:03:22.000 --> 00:03:23.600]  身高遙直
[00:03:23.600 --> 00:03:25.400]  雖然是這樣
[00:03:25.400 --> 00:03:28.400]  但他沒有忘記自己同胞的需要
[00:03:28.400 --> 00:03:32.800]  亦都不會輕視他們現今所經歷的困難
[00:03:32.800 --> 00:03:38.200]  就著我們現在生活上一般的了解
[00:03:38.200 --> 00:03:41.200]  一個人所謂已經上了岸
[00:03:41.200 --> 00:03:46.800]  他已經有很多的身份地位財富
[00:03:47.400 --> 00:03:51.800]  大概他未必需要去關心他以前的同胞
[00:03:51.800 --> 00:03:54.800]  但對於尼西米來說
[00:03:54.800 --> 00:03:58.400]  他仍然很深刻地關切他自己的同胞
[00:03:58.400 --> 00:03:59.600]  所以大家會記得
[00:03:59.600 --> 00:04:03.800]  當猶大城有自己的弟兄來到書山城
[00:04:03.800 --> 00:04:06.000]  就是尼西米所在的地方的時候
[00:04:06.000 --> 00:04:08.600]  他很主動地去查問
[00:04:08.600 --> 00:04:11.200]  究竟自己的同胞是怎樣的
[00:04:11.200 --> 00:04:13.800]  所以你見到第一章第三節
[00:04:13.800 --> 00:04:16.600]  大家可以看看第一章第三節
[00:04:17.400 --> 00:04:19.400]  這些同胞對他說
[00:04:19.400 --> 00:04:23.200]  那些從秘魯城下的漁民
