
[00:00:00.000 --> 00:00:07.000]  我們繼續來領受從主的話語而來的信息
[00:00:07.000 --> 00:00:11.000]  上一段的時間
[00:00:11.000 --> 00:00:17.000]  我們是注重一個侍奉者的心態
[00:00:17.000 --> 00:00:21.000]  心態很重要
[00:00:21.000 --> 00:00:25.000]  裡面如何 外面也如何
[00:00:25.000 --> 00:00:29.000]  心裡剛強 外面工作上
[00:00:29.000 --> 00:00:34.000]  也能剛強 克服難處
[00:00:34.000 --> 00:00:38.000]  不是被風一吹就倒下去
[00:00:38.000 --> 00:00:42.000]  不是常常灰心 喪志 暴變
[00:00:42.000 --> 00:00:45.000]  乃是什麼時候軟弱
[00:00:45.000 --> 00:00:48.000]  就什麼時候剛強
[00:00:48.000 --> 00:00:51.000]  不倒翁 有重心
[00:00:51.000 --> 00:00:56.000]  不倒翁的秘訣 秘密就是那個重心
[00:00:56.000 --> 00:01:01.000]  把那個重心拿去 倒下去不起來
[00:01:01.000 --> 00:01:06.000]  恩典 信心帶來的恩典
[00:01:06.000 --> 00:01:11.000]  是我們的重心 讓我們不倒
[00:01:11.000 --> 00:01:18.000]  什麼時候好像倒下去 但是很快起來
[00:01:19.000 --> 00:01:26.000]  淑麟的不倒翁是侍奉者的一個重要的
[00:01:26.000 --> 00:01:31.000]  從裡面發出來的一個力量
[00:01:31.000 --> 00:01:37.000]  我們真實面意 求神把這個剛強的心態
[00:01:37.000 --> 00:01:41.000]  深深地放在我們的裡面
[00:01:41.000 --> 00:01:45.000]  克服天性的軟弱
[00:01:47.000 --> 00:01:52.000]  那麼這段時間我要和大家分享的呢
[00:01:52.000 --> 00:01:58.000]  是與思想的成練有關係
[00:01:58.000 --> 00:02:05.000]  一個侍奉上帝的人
[00:02:05.000 --> 00:02:13.000]  是帶領教會 教導 栽培 訓練基督徒
[00:02:14.000 --> 00:02:17.000]  這樣的一個責任
[00:02:17.000 --> 00:02:23.000]  要求我們對上帝的國度 上帝的教會
[00:02:23.000 --> 00:02:26.000]  基督徒的人生觀
[00:02:26.000 --> 00:02:32.000]  有一個平衡的 全面的認識
[00:02:32.000 --> 00:02:38.000]  有的人的淑麟觀是偏差的
[00:02:38.000 --> 00:02:43.000]  偏在一面 或者偏在那一面
[00:02:44.000 --> 00:02:50.000]  凡是偏差 都是需要糾正
[00:02:50.000 --> 00:03:00.000]  忠道不一定是當中的忠
[00:03:00.000 --> 00:03:05.000]  乃是不偏差的忠
[00:03:05.000 --> 00:03:12.000]  有一個平衡的認識觀念
[00:03:12.000 --> 00:03:15.000]  這樣我們帶領教會
[00:03:15.000 --> 00:03:20.000]  就會有正確的方向路線
[00:03:20.000 --> 00:03:23.000]  這是很重要
[00:03:23.000 --> 00:03:26.000]  一個傳道人 侍奉者
[00:03:26.000 --> 00:03:30.000]  要具有的條件
[00:03:30.000 --> 00:03:36.000]  下面我要講的
[00:03:36.000 --> 00:03:42.000]  也就是在聖經中我們看見平衡的真理
[00:03:42.000 --> 00:03:49.000]  來針對偏差的預見 看法
[00:03:49.000 --> 00:03:58.000]  首先我們看基督徒的雙世觀
[00:03:58.000 --> 00:04:00.000]  世界的世
[00:04:00.000 --> 00:04:02.000]  雙重的雙
[00:04:02.000 --> 00:04:04.000]  雙世觀
[00:04:04.000 --> 00:04:06.000]  雙世觀
[00:04:06.000 --> 00:04:10.000]  一個 by-wordliness
[00:04:10.000 --> 00:04:13.000]  有的人很著重
[00:04:13.000 --> 00:04:15.000]  來世
[00:04:15.000 --> 00:04:18.000]  the other-worldliness
[00:04:18.000 --> 00:04:22.000]  針對this world 今世
[00:04:22.000 --> 00:04:28.000]  把所有的重點都放到來世
[00:04:29.000 --> 00:04:36.000]  忽略了今世的立場則若作用貢獻
[00:04:36.000 --> 00:04:39.000]  這是一個偏差
[00:04:39.000 --> 00:04:43.000]  我們看彼得給我們的教導
[00:04:43.000 --> 00:04:47.000]  彼得前書第二章
[00:04:47.000 --> 00:04:52.000]  彼得前書第二章是一節
[00:04:52.000 --> 00:04:57.000]  對照十五節
[00:04:57.000 --> 00:05:02.000]  彼得前書第二章是一節
[00:05:02.000 --> 00:05:04.000]  對照十五節
[00:05:04.000 --> 00:05:06.000]  十一節這樣說
[00:05:06.000 --> 00:05:09.000]  親愛的弟兄啊
[00:05:09.000 --> 00:05:15.000]  你們是克侶 是寄居的
[00:05:15.000 --> 00:05:19.000]  我勸你們要見見肉體的私慾
[00:05:19.000 --> 00:05:23.000]  這私慾是與靈魂爭戰的
[00:05:24.000 --> 00:05:29.000]  這裡提到基督徒在世上是克侶
[00:05:29.000 --> 00:05:32.000]  不屬這個世界
[00:05:32.000 --> 00:05:37.000]  就是像客人經過一個地方住一夜
[00:05:37.000 --> 00:05:40.000]  停留片刻
[00:05:40.000 --> 00:05:42.000]  寄居
