
[00:00:00.000 --> 00:00:03.280]  請大家再次回到聖經詩篇128篇
[00:00:03.280 --> 00:00:06.840]  我們剛才讀過的128篇
[00:00:06.840 --> 00:00:15.280]  今天跟大家思想的是
[00:00:15.280 --> 00:00:17.880]  敬畏神的人無福
[00:00:17.880 --> 00:00:21.680]  我記得一首詩歌是我很多時候都會想起的
[00:00:21.680 --> 00:00:24.640]  這首詩歌就提到歌詞題目是
[00:00:24.640 --> 00:00:27.520]  「神的路最美善」
[00:00:27.520 --> 00:00:29.720]  不知道大家是否記得這首詩歌
[00:00:30.120 --> 00:00:33.000]  這首詩歌提到神的路是最美善的
[00:00:33.000 --> 00:00:35.600]  神的路是最正確的
[00:00:35.600 --> 00:00:37.840]  或者說是正路
[00:00:37.840 --> 00:00:40.520]  在《富哥路唱頌》的時候
[00:00:40.520 --> 00:00:41.520]  詩歌就說
[00:00:41.520 --> 00:00:46.720]  「我願常依靠祢,唯獨祢知一切」
[00:00:46.720 --> 00:00:50.560]  人生的路很多時候我們不會完全明白
[00:00:50.560 --> 00:00:55.040]  但神完全明白人生的路是怎樣走的
[00:00:55.040 --> 00:00:58.040]  因此我們走在神的路上
[00:00:58.040 --> 00:01:00.160]  就是最美善的路
[00:01:00.160 --> 00:01:03.880]  但很多人不歡喜選擇神的路
[00:01:03.880 --> 00:01:05.920]  會覺得好像失去了自由
[00:01:05.920 --> 00:01:08.440]  甚至感覺好像很不快樂
[00:01:08.440 --> 00:01:11.680]  因此偏行己路
[00:01:11.680 --> 00:01:14.600]  帶來了很多比自己生命不必要的
[00:01:14.600 --> 00:01:16.120]  很多的愁煩
[00:01:16.120 --> 00:01:17.480]  很多的勞苦
[00:01:17.480 --> 00:01:21.240]  但聖經就不斷呼籲我們行神的路
[00:01:21.240 --> 00:01:24.080]  因為神的路是最美善的
[00:01:24.080 --> 00:01:26.280]  怎樣能夠行神的路
[00:01:26.280 --> 00:01:28.080]  神的路是怎樣的呢?
[00:01:28.080 --> 00:01:29.840]  在《詩篇》一百二十八篇
[00:01:29.840 --> 00:01:32.240]  就很清楚地告訴我們
[00:01:32.240 --> 00:01:33.640]  因此開始的時候
[00:01:33.640 --> 00:01:34.640]  聖經就說
[00:01:34.640 --> 00:01:36.720]  「凡敬畏也」或說
[00:01:36.720 --> 00:01:40.400]  「遵行他道的人,便為有福」
[00:01:40.400 --> 00:01:42.080]  原來
[00:01:42.080 --> 00:01:44.680]  神的路是一條蒙福的路
[00:01:44.680 --> 00:01:48.360]  而蒙福的路就是敬畏神的路
[00:01:48.360 --> 00:01:51.520]  甚麼叫做敬畏神呢?
[00:01:51.520 --> 00:01:53.480]  如果大家先看聖經的《針研》
[00:01:53.480 --> 00:01:57.360]  你會發覺《針研》有很清楚兩個重點
[00:01:57.360 --> 00:01:58.520]  敬畏神
[00:01:58.520 --> 00:01:59.200]  第一
[00:01:59.200 --> 00:02:01.120]  就是遠離邪惡
[00:02:01.120 --> 00:02:02.560]  第二
[00:02:02.560 --> 00:02:04.720]  就是遵行主道
[00:02:04.720 --> 00:02:09.080]  這兩個主題的訊息不斷在《針研》裡面出現
[00:02:09.080 --> 00:02:12.280]  但如果再基本一點去說
[00:02:12.280 --> 00:02:15.160]  敬畏神的意思很簡單
[00:02:15.160 --> 00:02:17.960]  就是以神為神
[00:02:17.960 --> 00:02:21.120]  當你真正知道這位是上帝
[00:02:21.120 --> 00:02:23.040]  祂是創造天地的上帝
[00:02:23.040 --> 00:02:25.560]  按祂所當得的敬畏
[00:02:25.560 --> 00:02:27.320]  來尊敬祂
[00:02:27.320 --> 00:02:29.040]  以神為神
[00:02:29.040 --> 00:02:30.680]  就是敬畏神
[00:02:30.680 --> 00:02:35.880]  很多時候我們會看到很多不同的自然界景色
[00:02:35.880 --> 00:02:37.600]  心裡面有一種讚歎
[00:02:37.600 --> 00:02:39.120]  我記得早一陣子
[00:02:39.120 --> 00:02:40.800]  我有機會去太空館
[00:02:40.800 --> 00:02:42.880]  有些叫做星空巡禮
[00:02:42.880 --> 00:02:45.120]  一個無意的天空
[00:02:45.120 --> 00:02:47.080]  很大的鏡頭
[00:02:47.080 --> 00:02:49.800]  將很多星星照耀出來
[00:02:49.800 --> 00:02:51.840]  就好像在夜間看到繁星
[00:02:51.840 --> 00:02:54.200]  在一個郊野的地方一樣
[00:02:54.200 --> 00:02:55.680]  很美麗、很燦爛
[00:02:55.680 --> 00:02:59.320]  當我講解這些星座的時候
[00:02:59.320 --> 00:03:00.920]  就講了很多故事
[00:03:00.920 --> 00:03:02.680]  大家知道是什麼故事了
[00:03:02.680 --> 00:03:04.600]  很多希臘神話的故事
[00:03:04.600 --> 00:03:07.080]  這個天后是怎樣形成的
[00:03:07.080 --> 00:03:09.800]  這個天王是怎樣擺設的
[00:03:09.800 --> 00:03:11.560]  但出乎我意料
[00:03:11.560 --> 00:03:13.520]  突然按了一個按鈕
[00:03:13.520 --> 00:03:17.000]  這些人像、動物竟然出現在天空上
[00:03:17.000 --> 00:03:19.440]  我一看的時候
[00:03:19.440 --> 00:03:21.080]  覺得好像有一點不自在
[00:03:21.080 --> 00:03:22.320]  我太太在我身邊
[00:03:22.320 --> 00:03:23.080]  她就說
[00:03:23.080 --> 00:03:26.360]  為什麼一定要講一些希臘神話
[00:03:26.360 --> 00:03:28.440]  沒錯
[00:03:28.440 --> 00:03:31.160]  有些時候我們人是一種自然的傾向
[00:03:31.160 --> 00:03:32.480]  看到星星的時候就問
[00:03:32.480 --> 00:03:34.640]  星星的源頭在哪裡呢?
[00:03:34.640 --> 00:03:37.000]  因此編作一些故事
