
[00:00:00.000 --> 00:00:04.400]  在一齣最賣座的電影當中
[00:00:04.400 --> 00:00:09.920]  女主角打開一封信
[00:00:09.920 --> 00:00:12.920]  是她爸爸臨終前寫給她的
[00:00:12.920 --> 00:00:16.920]  這封信其中一部分是說
[00:00:16.920 --> 00:00:24.120]  爸爸想女兒知道自己的名字的意思
[00:00:24.120 --> 00:00:26.920]  女主角的名字是文月
[00:00:26.920 --> 00:00:30.920]  月姐是珍寶 寶貴
[00:00:30.920 --> 00:00:33.920]  男主角許冠雲是文哥
[00:00:33.920 --> 00:00:37.920]  女兒是文哥的珍寶
[00:00:37.920 --> 00:00:39.920]  是爸爸的寶貝
[00:00:39.920 --> 00:00:42.920]  希望寄予女兒知道
[00:00:42.920 --> 00:00:46.920]  女兒的生命在爸爸心目中是最寶貴
[00:00:46.920 --> 00:00:49.920]  並且要女兒好好珍惜自己
[00:00:49.920 --> 00:00:54.920]  繼續看自己為至寶
[00:00:54.920 --> 00:00:57.920]  在《提摩塔後書》中
[00:00:57.920 --> 00:01:02.920]  寶羅知道自己在世的時間不多
[00:01:02.920 --> 00:01:08.920]  所以他在大約第一世紀六十年代中期
[00:01:08.920 --> 00:01:09.920]  寫了一封信
[00:01:09.920 --> 00:01:12.920]  這封信是在李六王時期寫的
[00:01:12.920 --> 00:01:15.920]  據歷史來說
[00:01:15.920 --> 00:01:18.920]  李六王是羅馬帝國皇帝
[00:01:18.920 --> 00:01:21.920]  迫使基督徒最嚴峻的時候
[00:01:21.920 --> 00:01:24.920]  當中有很多信徒受迫迫
[00:01:24.920 --> 00:01:27.920]  牧羊教會亦相當不容易
[00:01:27.920 --> 00:01:31.920]  所以寶羅寫了這封信給親愛的兒子提摩塔
[00:01:31.920 --> 00:01:34.920]  鼓勵他 勉勵他
[00:01:34.920 --> 00:01:35.920]  在這封信中
[00:01:35.920 --> 00:01:38.920]  在臨別時他有第四章
[00:01:38.920 --> 00:01:41.920]  這個季度是看提摩塔後書
[00:01:41.920 --> 00:01:43.920]  來到這三節經文
[00:01:43.920 --> 00:01:46.920]  這三節經文
[00:01:46.920 --> 00:01:49.920]  其實我提及是一年前編的
[00:01:49.920 --> 00:01:52.920]  上年年底已經編了一整年的季度
[00:01:52.920 --> 00:01:55.920]  今天來到這裡
[00:01:55.920 --> 00:01:57.920]  剛好要我讀這篇
[00:01:57.920 --> 00:01:58.920]  非常之好
[00:01:58.920 --> 00:02:01.920]  這篇文章講述這段經文
[00:02:01.920 --> 00:02:03.920]  寶羅如何看待生命
[00:02:03.920 --> 00:02:05.920]  並且如何看待耶穌基督
[00:02:05.920 --> 00:02:08.920]  從過去 現在和將來
[00:02:08.920 --> 00:02:10.920]  第六節講現在
[00:02:10.920 --> 00:02:11.920]  第七節講過去
[00:02:11.920 --> 00:02:13.920]  第八節講將來
[00:02:13.920 --> 00:02:14.920]  我們從三個向度
[00:02:14.920 --> 00:02:15.920]  這三個向度
[00:02:15.920 --> 00:02:17.920]  寶羅有個心
[00:02:17.920 --> 00:02:20.920]  一切都是基督
[00:02:20.920 --> 00:02:23.920]  我們先看第六節
[00:02:23.920 --> 00:02:24.920]  我現在被囂墮
[00:02:24.920 --> 00:02:26.920]  我離世的時候到了
[00:02:26.920 --> 00:02:29.920]  寶羅沒有太多忌諱
[00:02:29.920 --> 00:02:31.920]  他講死亡
[00:02:31.920 --> 00:02:33.920]  他就圍死亡
[00:02:33.920 --> 00:02:35.920]  他用兩個向度來講死亡
[00:02:35.920 --> 00:02:38.920]  第一個是用舊約的獻祭
[00:02:38.920 --> 00:02:39.920]  被囂墮
[00:02:39.920 --> 00:02:44.920]  好像一個羊羔放在祭壇上獻情
[00:02:44.920 --> 00:02:45.920]  是全然的獻上
[00:02:45.920 --> 00:02:46.920]  將生命放上獻祭
[00:02:46.920 --> 00:02:47.920]  獻給誰?
[00:02:47.920 --> 00:02:48.920]  耶和華神
