
[00:00:00.000 --> 00:00:05.000]  黨會的節目部邀請了七位統工
[00:00:05.000 --> 00:00:12.500]  來抄襲第四屆世界華人婦嬰會議宣言
[00:00:12.500 --> 00:00:18.100]  經過了四五次的開會討論
[00:00:18.100 --> 00:00:24.900]  最後就是被總書會接納的一個宣言
[00:00:24.900 --> 00:00:30.900]  原來是要我先有一點簡單的綜合的報告
[00:00:30.900 --> 00:00:34.700]  但是為了我們要縮短時間
[00:00:34.700 --> 00:00:38.700]  所以我就不再做那個綜合的報告了
[00:00:38.700 --> 00:00:43.500]  我就直接的把宣言讀出來
[00:00:43.500 --> 00:00:49.900]  我們一同來聆受這個宣言裏面
[00:00:49.900 --> 00:00:56.200]  收集了我們整個大會的重點都在其中
[00:00:56.200 --> 00:00:58.900]  作為我們的回憶
[00:00:58.900 --> 00:01:08.900]  也作為我們前面的追求工作的一個目標
[00:01:08.900 --> 00:01:13.300]  1991年7月10日至17日
[00:01:13.300 --> 00:01:19.100]  1400位來自世界各區的華人教會統工
[00:01:19.100 --> 00:01:26.700]  及信徒齊集在馬尼拉參與第四屆世界華人婦嬰會議
[00:01:26.700 --> 00:01:30.500]  八天當中我們在同心敬拜
[00:01:30.500 --> 00:01:36.300]  祈禱 聆聽 等候 研討 交流 分享中
[00:01:36.300 --> 00:01:42.100]  經歷了天賦的慈愛 基督的恩惠 聖靈的感動
[00:01:42.100 --> 00:01:44.300]  及聖徒的相交
[00:01:44.300 --> 00:01:50.900]  我們作出下列的觀察 反省 及回應
[00:01:50.900 --> 00:01:53.700]  基督歷史我們
[00:01:53.700 --> 00:01:57.100]  我們今天據理基督教士為人
[00:01:57.100 --> 00:02:00.500]  成就救贖於近兩千年
[00:02:00.500 --> 00:02:02.700]  身為華人信徒
[00:02:02.700 --> 00:02:06.300]  我們更不忘184年來
[00:02:06.300 --> 00:02:10.000]  神藉著從西方而來的宣教士
[00:02:10.000 --> 00:02:15.800]  馬力順 戴德生等 及在中國興起的宋商傑
[00:02:15.800 --> 00:02:19.900]  黃明道等徒人 帶給華人的恩典
[00:02:19.900 --> 00:02:23.400]  我們以肯定15年來
[00:02:23.400 --> 00:02:25.700]  神透過華復運動
[00:02:25.700 --> 00:02:32.800]  帶給華人教會的意象 使命 生命 事工 多方面的衝擊
[00:02:32.800 --> 00:02:37.000]  我們按著起初訂定的長期目標
[00:02:37.000 --> 00:02:43.400]  正從華人廣傳步入不是廣傳的年代
[00:02:43.400 --> 00:02:47.300]  我們同心將榮耀歸給歷史的族
[00:02:47.300 --> 00:02:53.600]  更震驚的聆聽莊家的族對我們的祝福與差遣
[00:02:53.600 --> 00:02:56.800]  我們願意依靠聖靈的能力
[00:02:56.800 --> 00:03:02.900]  跟隨基督 同寫華人教會下一頁的歷史
[00:03:02.900 --> 00:03:05.000]  跟隨基督
[00:03:05.000 --> 00:03:10.700]  在敬拜中 我們共同送贈上帝的全能與榮耀
[00:03:10.700 --> 00:03:16.200]  並尋求神的國度降臨 神的旨意成就
[00:03:16.200 --> 00:03:19.800]  我們不斷回到基督的獅子架下
[00:03:19.800 --> 00:03:26.000]  感謝祂的捨及 救贖 並稱謝上帝的公義慈愛
[00:03:26.000 --> 00:03:32.000]  在安靜禱告中 我們再次經歷聖靈的大能運行
[00:03:32.000 --> 00:03:35.800]  並盼望著那榮耀與神聖的日子
[00:03:35.800 --> 00:03:40.000]  基督必定再來做王
[00:03:40.000 --> 00:03:47.300]  透過聖經 我們再聆聽跟隨基督在這一代的意義
[00:03:47.300 --> 00:03:50.600]  並願意再次維生基督
[00:03:50.600 --> 00:03:53.600]  我們發現自己缺乏力量
[00:03:53.600 --> 00:03:58.400]  並認定與主合一是跟隨基督的基礎
[00:03:58.400 --> 00:04:03.400]  我們又承認自己的缺弱及自我中心
[00:04:03.400 --> 00:04:08.800]  並再次跟隨基督的代價與主同死
[00:04:08.800 --> 00:04:12.400]  我們的人生價值觀也需要改變
[00:04:12.400 --> 00:04:17.800]  以致我們真正與主同活 彰顯基督的生命
[00:04:17.800 --> 00:04:20.300]  身為跟從基督的門徒
[00:04:20.300 --> 00:04:22.800]  我們天天效法耶穌
[00:04:22.800 --> 00:04:26.400]  如何道成肉身 成為僕人
[00:04:26.400 --> 00:04:30.400]  在個人 社會 自然界不同的層面
[00:04:30.400 --> 00:04:33.000]  彰顯福音的豐盛
[00:04:33.000 --> 00:04:36.200]  我們更不忘基督的祝福
[00:04:36.200 --> 00:04:39.000]  並站立在真理的盤石上
[00:04:39.000 --> 00:04:41.000]  帶著輸靈的權柄
[00:04:41.000 --> 00:04:45.000]  以生命 以宣講 成為基督的見證
[00:04:45.000 --> 00:04:49.800]  直到第幾 等候主榮耀的再來
[00:04:49.800 --> 00:04:51.800]  我們願意在祭壇上
[00:04:51.800 --> 00:04:55.200]  重新獻上自己 跟隨基督
[00:04:55.200 --> 00:05:00.200]  並尊崇祂所教託同德萬民的大使命
[00:05:00.200 --> 00:05:02.200]  同德萬民
[00:05:02.200 --> 00:05:05.200]  在曼德拉共進一堂的
[00:05:05.200 --> 00:05:08.600]  包括了傳統文化的華人信徒
[00:05:08.600 --> 00:05:11.600]  及海外生長的華裔信徒
[00:05:11.600 --> 00:05:14.800]  我們雖然擁有不同的國籍
[00:05:14.800 --> 00:05:17.000]  不同的文化背景
[00:05:17.000 --> 00:05:20.000]  卻不忘中華民族的根
[00:05:20.000 --> 00:05:22.800]  並且在主面前表達
[00:05:22.800 --> 00:05:26.200]  對示意中國大陸偉德之名
[00:05:26.200 --> 00:05:28.200]  關切之心
[00:05:28.200 --> 00:05:33.000]  我們一方面為五千萬的信徒感恩祈求
[00:05:33.000 --> 00:05:36.200]  更迫切祈求神憐憫
[00:05:36.200 --> 00:05:41.600]  那占全世界為归族人口三分之一的骨肉之親
[00:05:41.600 --> 00:05:46.400]  特別是那被忽略的九千多萬的少數民族
[00:05:46.400 --> 00:05:50.200]  並且具體表達我們的關懷
[00:05:50.200 --> 00:05:54.200]  以祈禱經濟支持赴英施工
[00:05:54.200 --> 00:05:56.200]  提供物資援助
[00:05:56.200 --> 00:06:00.400]  鼓勵專業人士到中國代質受訪
[00:06:00.400 --> 00:06:02.800]  支持培訓工作
[00:06:02.800 --> 00:06:05.800]  關懷海外中國留學生
[00:06:05.800 --> 00:06:09.000]  成立中國關懷小組等
[00:06:09.000 --> 00:06:13.800]  不准許可我們分散各大洲
[00:06:13.800 --> 00:06:16.600]  是為了劇練赴英的國子
[00:06:16.600 --> 00:06:19.200]  為五千萬不同國際
[00:06:19.200 --> 00:06:20.600]  多類文化
[00:06:20.600 --> 00:06:22.600]  各種語言的華人
[00:06:22.600 --> 00:06:26.800]  我們呼籲六千間海外華人教會
[00:06:26.800 --> 00:06:30.200]  在他們中間成為基督的見證
[00:06:30.200 --> 00:06:34.200]  特別是關注那些偉德的群體
[00:06:34.200 --> 00:06:35.200]  工人
[00:06:35.200 --> 00:06:37.000]  邊緣青年
[00:06:37.000 --> 00:06:38.200]  勞人
[00:06:38.200 --> 00:06:39.200]  新移民
[00:06:39.200 --> 00:06:40.800]  中國留學生
[00:06:40.800 --> 00:06:42.800]  及華裔人
[00:06:43.800 --> 00:06:50.200]  今日第一及第二世界都出現巨變
[00:06:50.200 --> 00:06:54.600]  北美與西歐步入後基督教時期
[00:06:54.600 --> 00:06:59.600]  東歐與蘇聯有先後進入後共產時期
[00:06:59.600 --> 00:07:01.200]  我們不能忽略
[00:07:01.200 --> 00:07:06.600]  這第一及第二世界中偉德的群體
[00:07:06.600 --> 00:07:10.600]  特別是各大都市中的貧窮人
[00:07:10.600 --> 00:07:11.800]  邊緣人
[00:07:11.800 --> 00:07:13.000]  新移民
[00:07:13.000 --> 00:07:14.600]  少數民族
[00:07:14.600 --> 00:07:18.600]  其中更有不少因政治經濟衝擊
[00:07:18.600 --> 00:07:20.600]  而失去一切信念
[00:07:20.600 --> 00:07:22.600]  正在尋找真理
[00:07:22.600 --> 00:07:26.400]  對赴英有回應的人
[00:07:26.400 --> 00:07:29.000]  三分之二世界偉德之民
[00:07:29.000 --> 00:07:32.400]  更是世界最大的赴英火場
[00:07:32.400 --> 00:07:36.400]  尤其是十四十之窗
[00:07:36.400 --> 00:07:40.800]  歐亞非北緯十度至四十度之間
[00:07:40.800 --> 00:07:46.200]  更包括了全世界偉德之民的百分之八十
[00:07:46.200 --> 00:07:49.800]  大部分都是活在貧困當中
[00:07:49.800 --> 00:07:54.800]  並受到各種宗教及政治勢力的壓制
[00:07:54.800 --> 00:08:02.800]  真教學專家估計全世界現有一千二百偉德群體
[00:08:02.800 --> 00:08:06.000]  通過華人教會與堂會
[00:08:06.000 --> 00:08:11.800]  地區或聯區作為單位參與任命群體運動
