
[00:00:00.000 --> 00:00:01.240]  我們再檢翻成經
[00:00:01.240 --> 00:00:05.120]  我們起到成經的《牙摩詩書》的經文
[00:00:05.120 --> 00:00:10.400]  成經是1370頁
[00:00:10.400 --> 00:00:17.600]  1370頁 《牙摩詩書》第八章
[00:00:17.600 --> 00:00:20.600]  在這段時間大家很多時候都會看到新聞
[00:00:20.600 --> 00:00:26.480]  看到12月21日是一個所謂的末日的日子
[00:00:26.480 --> 00:00:29.160]  今天已經是30號了
[00:00:29.160 --> 00:00:32.200]  所以證明了那個不是末日
[00:00:32.200 --> 00:00:36.000]  當然在這段時間我們聽到很多有關這方面的報導
[00:00:36.000 --> 00:00:40.240]  很多人都利用這個恐慌來賺取利益
[00:00:40.240 --> 00:00:42.840]  所以你聽到在中國內地
[00:00:42.840 --> 00:00:50.000]  有很多人認為在21、22、23天會全部黑暗
[00:00:50.000 --> 00:00:52.840]  所以譬如說在中國的四川成都
[00:00:52.840 --> 00:01:01.040]  是整個城市賣斷了蠟燭和電筒
[00:01:01.040 --> 00:01:03.400]  個個都搶購蠟燭、電筒
[00:01:03.400 --> 00:01:06.280]  很怕真的會漆黑一片
[00:01:06.280 --> 00:01:10.200]  所以很多人在恐慌當中不斷購買這些物品
[00:01:10.200 --> 00:01:14.200]  當然有些商人因此可以得到很大的利益
[00:01:14.200 --> 00:01:16.160]  不單止這樣你都會聽到一些消息
[00:01:16.160 --> 00:01:18.040]  就是在這個時候
[00:01:18.040 --> 00:01:22.440]  有些異端不斷利用這個末世的恐慌
[00:01:22.440 --> 00:01:24.800]  來威嚇很多很多的人
[00:01:24.800 --> 00:01:26.920]  包括一些教徒
[00:01:26.920 --> 00:01:32.880]  希望透過這個機會來鞏固自己一些個人的權威
[00:01:32.880 --> 00:01:36.520]  帶來一些操控的目的
[00:01:36.520 --> 00:01:37.640]  看到這些事的時候
[00:01:37.640 --> 00:01:43.280]  有時候都會感覺這個世界有混亂的情況
[00:01:43.280 --> 00:01:46.120]  沒錯,聖經有提到審判
[00:01:46.120 --> 00:01:48.760]  聖經很清楚地講述
[00:01:48.760 --> 00:01:51.920]  因為上帝是創造天地
[00:01:51.920 --> 00:01:54.840]  因此祂是有完全的主權
[00:01:54.840 --> 00:01:57.120]  來審判這個世界
[00:01:57.120 --> 00:02:00.280]  審判其中的人類
[00:02:00.280 --> 00:02:01.760]  但當聖經提到審判的時候
[00:02:01.760 --> 00:02:04.080]  有一個很清楚的目的
[00:02:04.080 --> 00:02:06.680]  這個目的是要去呼籲很多的人
[00:02:06.680 --> 00:02:11.720]  能夠把握著時機回轉歸向上帝
[00:02:11.720 --> 00:02:16.200]  免得我們面對神的公義的審判
[00:02:16.200 --> 00:02:17.320]  對於教徒來說
