
[00:00:00.000 --> 00:00:05.000]  我非常感謝主的恩典
[00:00:05.000 --> 00:00:11.400]  是給我機會到西雅圖來
[00:00:11.400 --> 00:00:19.000]  能夠和大家一同領受主的話語
[00:00:19.000 --> 00:00:25.800]  我們一同謙卑在神的面前
[00:00:25.800 --> 00:00:29.800]  我們打開我們的心
[00:00:29.800 --> 00:00:32.800]  打開我們的思想
[00:00:32.800 --> 00:00:36.800]  我們一同仰望主
[00:00:36.800 --> 00:00:43.800]  將祂的信息賜給我們
[00:00:43.800 --> 00:00:54.800]  在過去的一天,我住在何醫生家裡
[00:00:54.800 --> 00:00:56.800]  他們夫婦兩位說
[00:00:56.800 --> 00:01:04.800]  他們在二十六年前在香港聽我講道
[00:01:04.800 --> 00:01:12.800]  我一聽這個話呢,立刻就感覺實在很老了
[00:01:12.800 --> 00:01:15.800]  但是感謝主
[00:01:15.800 --> 00:01:19.800]  神的恩典不改變
[00:01:19.800 --> 00:01:23.800]  在我們中間有各種年齡的人
[00:01:23.800 --> 00:01:29.800]  有的是比我年紀還大
[00:01:29.800 --> 00:01:32.800]  有的很年輕
[00:01:32.800 --> 00:01:38.800]  或老或年輕,主的恩典一樣
[00:01:38.800 --> 00:01:45.800]  我們也是活到老,學到老
[00:01:45.800 --> 00:01:50.800]  特別是主的許下
[00:01:50.800 --> 00:02:00.800]  我們要繼續地學,學一輩子都是學
[00:02:00.800 --> 00:02:09.800]  在這幾天,我們要從詩篇裡面來領受
[00:02:09.800 --> 00:02:17.800]  詩篇實在是很寶貴的一卷書
[00:02:17.800 --> 00:02:23.800]  如果聖經裡沒有詩篇
[00:02:23.800 --> 00:02:30.800]  我們就會感覺這個聖經好像不大完全
[00:02:30.800 --> 00:02:33.800]  我們讀詩篇的時候
[00:02:33.800 --> 00:02:39.800]  我們感覺到心裡有共鳴
[00:02:39.800 --> 00:02:46.800]  我們讀到的話,正是我們心裡要說的話
[00:02:46.800 --> 00:02:54.800]  世人的經驗也常常是我們的經驗
[00:02:54.800 --> 00:03:03.800]  我們看見世人在主的恩典中領受
[00:03:03.800 --> 00:03:10.800]  我們要一同來查考詩篇
[00:03:10.800 --> 00:03:15.800]  這六次的信息都是在詩篇裡面
[00:03:16.800 --> 00:03:22.800]  我希望在這幾天裡面,大家也可以多多地看詩篇
[00:03:22.800 --> 00:03:32.800]  我每次要用一個鐘頭
[00:03:32.800 --> 00:03:40.800]  我講三十分鐘,這個黃姊妹講三十分鐘
[00:03:40.800 --> 00:03:46.800]  如果想一個鐘頭就太長了,分開想半個鐘頭,半個鐘頭就短了
[00:03:46.800 --> 00:04:02.800]  今天晚上我們要看詩篇裡面對神的愛
[00:04:02.800 --> 00:04:08.800]  我們以大衛做代表
[00:04:08.800 --> 00:04:13.800]  大衛領受神的愛
[00:04:13.800 --> 00:04:18.800]  他也實在有愛神的心
[00:04:18.800 --> 00:04:27.800]  他對神的愛有一個很大的接受的容量
[00:04:27.800 --> 00:04:34.800]  同時他愛神也是很大的容量
[00:04:34.800 --> 00:04:43.800]  所以神愛他,他也實在回報了,回應了神的愛
[00:04:43.800 --> 00:04:48.800]  有許多的基督徒不是那樣
[00:04:48.800 --> 00:04:54.800]  神愛他們,但是他們只愛自己
[00:04:54.800 --> 00:04:58.800]  神愛我,我愛我
[00:04:58.800 --> 00:05:04.800]  我有五個兒子
[00:05:04.800 --> 00:05:11.800]  第二個小的時候,我們叫他松松
[00:05:11.800 --> 00:05:16.800]  有一天媽媽就問松松
[00:05:16.800 --> 00:05:23.800]  他說松松告訴我媽媽愛誰
[00:05:23.800 --> 00:05:28.800]  松松說媽媽愛松松
[00:05:28.800 --> 00:05:31.800]  媽媽說好,我再問你
[00:05:31.800 --> 00:05:34.800]  松松愛誰
[00:05:34.800 --> 00:05:39.800]  松松說松松愛松松
[00:05:39.800 --> 00:05:44.800]  媽媽愛我,我愛我
[00:05:44.800 --> 00:05:48.800]  主愛我,我愛我
[00:05:48.800 --> 00:05:51.800]  有不少的基督徒是這樣
[00:05:51.800 --> 00:05:55.800]  我記得我自己小的時候
[00:05:55.800 --> 00:06:05.800]  我自己的抽屜裡面有兩個碗,一個大碗一個小碗
[00:06:05.800 --> 00:06:08.800]  每次吃飯的時候
[00:06:08.800 --> 00:06:14.800]  我要先看看這個餐桌上擺的是什麼菜
[00:06:14.800 --> 00:06:18.800]  如果是我歡喜吃的菜,我就拿個大碗來
[00:06:18.800 --> 00:06:27.800]  如果是不歡喜吃的菜,我就拿個小碗來
[00:06:27.800 --> 00:06:30.800]  不同的容量
[00:06:30.800 --> 00:06:37.800]  我們接受主的愛和報答主的愛的容量真是不同
[00:06:37.800 --> 00:06:44.800]  我們接受神的愛的容量很大
[00:06:44.800 --> 00:06:51.800]  神的恩,神的愛越多越好
[00:06:51.800 --> 00:06:55.800]  但是我們愛神的時候
[00:06:55.800 --> 00:07:00.800]  我們常常覺得我愛太多了
[00:07:00.800 --> 00:07:03.800]  我奉獻太多了
[00:07:03.800 --> 00:07:07.800]  我為主用的時間太多了
[00:07:07.800 --> 00:07:11.800]  不同的標準
[00:07:11.800 --> 00:07:14.800]  大衛不是這樣
[00:07:14.800 --> 00:07:18.800]  我們要看看大衛怎麼樣愛神
[00:07:18.800 --> 00:07:21.800]  第一方面
[00:07:21.800 --> 00:07:27.800]  大衛是愛神自己
[00:07:27.800 --> 00:07:33.800]  他不是愛神的恩典,不愛神自己
[00:07:37.800 --> 00:07:43.800]  他來是以神自己為最高的愛的對象
[00:07:43.800 --> 00:07:49.800]  我們來看基解聖經
[00:07:49.800 --> 00:07:53.800]  十篇第十六篇
[00:07:53.800 --> 00:07:57.800]  第五節
[00:07:57.800 --> 00:08:04.800]  十篇十六篇第五節
[00:08:06.800 --> 00:08:11.800]  耶和華是我的產業,是我杯中的糞
[00:08:11.800 --> 00:08:19.800]  耶和華是我杯中的糞
[00:08:19.800 --> 00:08:24.800]  這個杯是什麼杯
[00:08:24.800 --> 00:08:29.800]  很坦白地說
[00:08:29.800 --> 00:08:32.800]  這個杯就是酒杯
[00:08:35.800 --> 00:08:39.800]  大衛的意思就是說一般的人喝酒才滿足
[00:08:39.800 --> 00:08:46.800]  但是大衛的滿足是什麼
