
[00:00:00.000 --> 00:00:04.000]  兄弟姐妹平安,我也平安
[00:00:04.000 --> 00:00:12.000]  前幾天颱風,不知為何打了日本宣教士和顧問牧師回來
[00:00:12.000 --> 00:00:16.000]  開玩笑而已,很開心見到相聚
[00:00:16.000 --> 00:00:24.000]  雖然我們去到中東的同工和宣教士都在很多地方內轉
[00:00:24.000 --> 00:00:32.000]  上帝在各地施行祈禱,包括在29年來在凱兒堂有祂的作為
[00:00:32.000 --> 00:00:38.000]  今天進入六月份,好像是堂慶月
[00:00:38.000 --> 00:00:47.000]  今天和23號都會有我分享,23號堂慶崇拜都會有我分享訊息
[00:00:47.000 --> 00:00:53.000]  今天說的是祈禱生活,23號希望和大家分享團契的生活
[00:00:53.000 --> 00:01:00.000]  題目值得早兩個星期的「牧者心聲」和大家分享
[00:01:00.000 --> 00:01:06.000]  堂慶一個讓我們思想的題目,值得
[00:01:06.000 --> 00:01:12.000]  媒體的鼓勵你抽時間看我所分享的
[00:01:12.000 --> 00:01:23.000]  這個題目在4月1號教務執事的退休時間,我領受到思想
[00:01:23.000 --> 00:01:29.000]  有什麼值得在神的工作,在凱兒堂的生命
[00:01:29.000 --> 00:01:37.000]  呼吸就是過去半年我深經歷的神跟我說話
[00:01:37.000 --> 00:01:41.000]  關於呼吸其實是說祈禱
[00:01:41.000 --> 00:01:46.000]  享受祈禱本身,祈禱不是工具不是手段
[00:01:46.000 --> 00:01:51.000]  就好像很多形容呼吸一樣自然
[00:01:51.000 --> 00:01:57.000]  但有重要的,有時我們覺得初信甚至未信的人
[00:01:57.000 --> 00:02:03.000]  有時還懂得祈禱,因為祈禱最重要不是用詞是真誠
[00:02:03.000 --> 00:02:10.000]  你想想若拿在船上的經歷,那些其實不是信耶和華的人
[00:02:10.000 --> 00:02:14.000]  他們更真誠,更直接呼求神
[00:02:14.000 --> 00:02:20.000]  住上一代反而不懂祈禱,或是忽輕視了
[00:02:20.000 --> 00:02:25.000]  好像祈禱重要,但又失去了那種純粹
[00:02:25.000 --> 00:02:33.000]  原來純粹很難的,你向神的祈禱學習的過程
[00:02:33.000 --> 00:02:36.000]  是上帝給我提醒和大家分享
[00:02:36.000 --> 00:02:40.000]  亦是我們推動禱告的一切操練
[00:02:40.000 --> 00:02:46.000]  呼吸很特別,你現在做的,呼吸何時會困難
[00:02:46.000 --> 00:02:52.000]  剛中了COVID,還是呼吸感染有病的時候
[00:02:52.000 --> 00:02:58.000]  這些都不用解釋,另外有否試過呼吸困難甚麼時候
[00:02:58.000 --> 00:03:05.000]  被人氣壞,你這個壞人,你會很自然地表達嗎
[00:03:05.000 --> 00:03:09.000]  因為你影響了呼吸,原來呼吸不暢順
[00:03:09.000 --> 00:03:14.000]  除了身體染病,可能心情不好
[00:03:14.000 --> 00:03:19.000]  甚至我們形容祈禱像一個屬靈的呼吸
[00:03:19.000 --> 00:03:25.000]  你沒有祈禱是屬靈的死亡或植物人
[00:03:25.000 --> 00:03:30.000]  你不是很享受祈禱,怎樣去值得呢
[00:03:30.000 --> 00:03:41.000]  我們回顧上個月,剛剛分享傳道書第五章或第六章
[00:03:41.000 --> 00:03:45.000]  整個傳道書的中心,其中一個結構中心
[00:03:45.000 --> 00:03:50.000]  就是在第五章一至七節,或一至二節提到
[00:03:50.000 --> 00:03:54.000]  來到神殿要謹慎,在神面前
[00:03:54.000 --> 00:04:00.000]  我們來到神面前,那種敬畏神,以神為中心
[00:04:00.000 --> 00:04:03.000]  我們常常提到心裡有神,做智慧人是甚麼
[00:04:03.000 --> 00:04:08.000]  心裡有神,如幻人心裡沒有神,不是他比較蠢
[00:04:08.000 --> 00:04:13.000]  我再提就是相反,智慧人是心裡有神
[00:04:13.000 --> 00:04:19.000]  怎樣持守,我常常在每個生活時刻都心裡有神
[00:04:19.000 --> 00:04:24.000]  所以第五章就面向前後一個變幻不定
[00:04:24.000 --> 00:04:27.000]  很麻煩,很不理想,控制不到的世界
[00:04:27.000 --> 00:04:31.000]  以神為中心出發,面向這個世界
[00:04:31.000 --> 00:04:38.000]  所以今天延續,以神為中心
