
[00:00:00.000 --> 00:00:12.000]  我們今天生活在一個很暴力、恐嚇、鬥爭、陷害、甚至危難的社會
[00:00:12.000 --> 00:00:17.000]  我們不需要說,因為幾天前我們看到報紙新聞
[00:00:17.000 --> 00:00:22.000]  告訴我們一個小朋友竟然可以被兩個男人按在地上,砍他幾刀
[00:00:22.000 --> 00:00:31.000]  我們經常覺得我們在這個這麼複雜、競爭這麼緊要的社會
[00:00:31.000 --> 00:00:37.000]  好像香港一樣,無論經濟好或經濟不好的時間,都要這樣跟人爭
[00:00:37.000 --> 00:00:44.000]  有時你站在那裏就被人陷害,我想我這樣說的時候,你會很共鳴
[00:00:44.000 --> 00:00:50.000]  有時我們做基督徒到一個地步,我們會問主,你明不明白我們所受這些苦楚
[00:00:50.000 --> 00:00:57.000]  我相信主如果跟你說,你聽得到的話,祂會跟你說,我明,我當然明
[00:00:57.000 --> 00:01:09.000]  因為主耶穌說,我在世的時候,我同樣面對多少恐嚇、排斥、拒絕、陷害、危難
[00:01:09.000 --> 00:01:12.000]  今天我們只選了兩段聖經來見到
[00:01:12.000 --> 00:01:18.000]  而且主耶穌說,我會面對這些問題到一個地步,我有殺身之禍
[00:01:18.000 --> 00:01:26.000]  馬可福音說,這班人想在安息日去陷害耶穌,陷害不了之後
[00:01:26.000 --> 00:01:35.000]  他們就走出去,法利塞人和希律黨走出去要想辦法去除滅耶穌,要殺祂
[00:01:35.000 --> 00:01:40.000]  路加福音就更加清楚了,路加福音記載那段已經到了耶穌工作的後期
[00:01:40.000 --> 00:01:48.000]  還有幾天就要去耶路撒冷那段時間,那些文字來自法利塞人,尤其是法利塞人走來恐嚇耶穌
[00:01:48.000 --> 00:01:53.000]  希律想殺你,耶穌知不知道祂有殺身的危機呢?有啊
[00:01:53.000 --> 00:01:59.000]  因為祂回應的時候說,耶路撒冷以外才知道死亡是不可以的
[00:01:59.000 --> 00:02:03.000]  所以我要去耶路撒冷,去面對死亡,祂說了兩次
