
[00:00:00.000 --> 00:00:06.000]  今天我們講到傳道書第十章的十六節至到十一章的第六節
[00:00:06.000 --> 00:00:10.400]  這整段經文裡面基本上可以分為兩個小段
[00:00:10.400 --> 00:00:13.480]  第一段就是十章的十六節至二十節
[00:00:13.480 --> 00:00:19.840]  那裡講到不同的王的領導會帶來一個很不同的結果
[00:00:19.840 --> 00:00:27.920]  第十一章第一至第六節是指向人的努力在人生裡面是相當的重要
[00:00:28.440 --> 00:00:36.800]  然後在第十章的十六節至二十節和十一章的第一至第六節
[00:00:36.800 --> 00:00:40.720]  有不少的字其實是重複了彼此的呼應
[00:00:40.720 --> 00:00:45.600]  譬如在第十章的十六節和十一章的第六節
[00:00:45.600 --> 00:00:48.000]  都出現有祖神這個字眼
[00:00:48.000 --> 00:00:51.960]  十章的十六節就提及在祖神的時分
[00:00:51.960 --> 00:00:55.640]  君王和一些領袖是一些冷散的態度
[00:00:55.920 --> 00:00:59.920]  但是十一章的第六節就鼓勵人在祖神裡面
[00:00:59.920 --> 00:01:03.000]  就要勤快很努力地去工作
[00:01:03.000 --> 00:01:08.360]  在第十章的十六節至十一章的第六節
[00:01:08.360 --> 00:01:11.640]  那裡也會提到關於有手懶
[00:01:11.640 --> 00:01:16.360]  第十章的十八節就提到手很懶
[00:01:16.360 --> 00:01:19.680]  十一章的第六節就說不要揭你的手
[00:01:19.680 --> 00:01:21.880]  彼此呼應的基本上是
[00:01:22.080 --> 00:01:27.280]  以及都是間接去鼓勵人要盡上自己的責任
[00:01:27.280 --> 00:01:29.040]  不要去懶惰
[00:01:29.040 --> 00:01:34.000]  接著我們再詳細去看看傳道者如何去表達這方面的信息
[00:01:34.000 --> 00:01:37.880]  第十章的十六至二十節那裡這樣說
[00:01:37.880 --> 00:01:39.080]  邦國啊
[00:01:39.080 --> 00:01:41.080]  你的王若是孩童
[00:01:41.080 --> 00:01:43.200]  你的群臣祖臣現落
[00:01:43.200 --> 00:01:44.600]  你就有和了
[00:01:44.600 --> 00:01:45.640]  邦國啊
[00:01:45.640 --> 00:01:47.800]  你的王若是貴就之子
[00:01:47.800 --> 00:01:50.320]  你的群臣安是吃喝
[00:01:50.320 --> 00:01:52.800]  為要保力不為酒醉
[00:01:52.800 --> 00:01:54.120]  你就有福了
[00:01:54.120 --> 00:01:55.480]  十八節那裡說
[00:01:55.480 --> 00:01:58.440]  因人懶惰防頂塔下
[00:01:58.440 --> 00:02:01.560]  因人手懶防屋敵樓
[00:02:01.560 --> 00:02:03.360]  十九節
[00:02:03.360 --> 00:02:05.960]  設擺筵席是為喜笑
[00:02:05.960 --> 00:02:07.720]  酒能使人快活
[00:02:07.720 --> 00:02:10.240]  錢能叫萬事應心
[00:02:10.240 --> 00:02:11.800]  第二十節那裡說
[00:02:11.800 --> 00:02:13.520]  你不可就坐君王
