
[00:00:00.000 --> 00:00:02.680]  當我們過去幾次讀到尼西米記的時候
[00:00:02.680 --> 00:00:07.400]  就會留意到尼西米很清楚領受神給他的使命
[00:00:07.400 --> 00:00:11.600]  他回到耶路撒冷去重建城牆
[00:00:11.600 --> 00:00:14.000]  尼西米在當中很清楚表達出
[00:00:14.000 --> 00:00:18.080]  他衷心完成神所託付的使命
[00:00:18.080 --> 00:00:21.080]  但我們發現不單止他完成工作
[00:00:21.080 --> 00:00:24.600]  他更加是透過他敬畏神的心
[00:00:24.600 --> 00:00:29.760]  以及他正直的品格來跟隨神
[00:00:29.760 --> 00:00:32.200]  因此你會發覺一個侍奉神的人
[00:00:32.200 --> 00:00:35.640]  不單單是工作同時是生命
[00:00:35.640 --> 00:00:41.480]  工作與生命 生命與工作是不可以分割開的
[00:00:41.480 --> 00:00:45.640]  是必須配合著才能夠侍奉神
[00:00:45.640 --> 00:00:48.040]  當然這個社會大家會留意到
[00:00:48.040 --> 00:00:50.560]  很多人不會問你的生命如何
[00:00:50.560 --> 00:00:52.720]  只是問你的工作表現
[00:00:52.720 --> 00:00:54.480]  你的業績如何
[00:00:54.480 --> 00:00:56.680]  你有什麼建樹
[00:00:56.680 --> 00:00:58.120]  你的生命如何
[00:00:58.120 --> 00:01:00.720]  很多時候都似乎是無關
[00:01:00.720 --> 00:01:03.480]  甚至有些被認為成功的人士會告訴你
[00:01:03.480 --> 00:01:05.800]  你看看我所做的事
[00:01:05.800 --> 00:01:07.480]  你不要理會我什麼私生活
[00:01:07.480 --> 00:01:09.760]  那個無關重要
[00:01:09.760 --> 00:01:11.640]  這是一般的想法
[00:01:11.640 --> 00:01:14.240]  但聖經清楚講到侍奉神的人
[00:01:14.240 --> 00:01:20.280]  是生命和工作配合著來服侍神
[00:01:20.280 --> 00:01:23.680]  尼西米當我們記得第四章提到
[00:01:23.680 --> 00:01:25.600]  當時有外敵入侵
[00:01:25.600 --> 00:01:28.160]  難阻他們去建造城牆
[00:01:28.160 --> 00:01:32.600]  但尼西米堅持去完成神所給他的託付
[00:01:32.600 --> 00:01:35.600]  但另一方面你會發覺到第五章的時候
[00:01:35.600 --> 00:01:37.600]  不單單是外患
[00:01:37.600 --> 00:01:39.600]  而且有內憂
[00:01:39.600 --> 00:01:43.680]  裡面的弟兄姊妹猶太人欺詐猶太人
[00:01:43.680 --> 00:01:47.640]  面對著一個很罪惡的很黑暗的情況
[00:01:47.640 --> 00:01:50.160]  尼西米以她正直的品格
[00:01:50.160 --> 00:01:52.640]  來面對這些挑戰
[00:01:52.640 --> 00:01:54.920]  她按照神給她的權柄
[00:01:54.920 --> 00:02:00.200]  她也會運用這個權柄來糾正其中的錯誤
[00:02:00.200 --> 00:02:03.400]  不容許這些錯誤繼續蔓延開去
[00:02:03.400 --> 00:02:06.440]  帶來整群人的祝福
[00:02:06.440 --> 00:02:08.040]  因此我們今天要思想的就是
[00:02:08.040 --> 00:02:09.960]  這位尼西米
[00:02:09.960 --> 00:02:13.600]  她如何以敬畏神的心
[00:02:13.600 --> 00:02:17.920]  愛人的心來完成神所託付給她的使命
