
[00:00:00.000 --> 00:00:04.000]  今日和大家分享有關教會紀律的訊息
[00:00:04.000 --> 00:00:06.000]  大家都知道在北宣家裏面
[00:00:06.000 --> 00:00:08.000]  我們差不多十幾二十年
[00:00:08.000 --> 00:00:12.000]  一直實行有教會紀律的各方面安排
[00:00:12.000 --> 00:00:14.000]  因此我們每隔一段時間都在崇拜當中
[00:00:14.000 --> 00:00:18.000]  來講解這方面的真理和有關的做法
[00:00:18.000 --> 00:00:20.000]  讓大家一齊了解
[00:00:20.000 --> 00:00:23.000]  也在當中按真理來行事
[00:00:23.000 --> 00:00:25.000]  我記得很多年前
[00:00:25.000 --> 00:00:28.000]  有一次聽到一位弟兄和我分享
[00:00:28.000 --> 00:00:30.000]  他說在他們自己的教會
[00:00:30.000 --> 00:00:32.000]  他經歷了一件事
[00:00:32.000 --> 00:00:34.000]  他有一位很好的朋友
[00:00:34.000 --> 00:00:35.000]  也是另一位弟兄
[00:00:35.000 --> 00:00:37.000]  在同一間教會聚會
[00:00:37.000 --> 00:00:41.000]  有一次他很勇敢地詢問他
[00:00:41.000 --> 00:00:46.000]  為什麼你可以對自己太太不忠誠呢?
[00:00:46.000 --> 00:00:49.000]  因為他知道他有第三者
[00:00:49.000 --> 00:00:52.000]  當他問及這位弟兄的時候
[00:00:52.000 --> 00:00:53.000]  這位弟兄停一停
[00:00:53.000 --> 00:00:55.000]  接著他就回答
[00:00:55.000 --> 00:00:57.000]  他說你不知道嗎?
[00:00:57.000 --> 00:00:59.000]  有什麼奇怪呢?
[00:00:59.000 --> 00:01:01.000]  我們教會的那位執事
[00:01:01.000 --> 00:01:03.000]  大家知道他已經結婚了
[00:01:03.000 --> 00:01:07.000]  他和那位姐妹的很親密的關係
[00:01:07.000 --> 00:01:09.000]  大家都知道
[00:01:09.000 --> 00:01:11.000]  每個人都看到
[00:01:11.000 --> 00:01:13.000]  但是沒有人理會
[00:01:13.000 --> 00:01:15.000]  他可以這樣
[00:01:15.000 --> 00:01:18.000]  為什麼我不可以呢?
[00:01:18.000 --> 00:01:20.000]  在這樣的情形之下
[00:01:20.000 --> 00:01:22.000]  這位弟兄也不知道怎麼再講下去
[00:01:22.000 --> 00:01:24.000]  他真的覺得很傷心
[00:01:24.000 --> 00:01:26.000]  有這樣的情況出現
[00:01:26.000 --> 00:01:29.000]  當有些事情在教會出現
[00:01:29.000 --> 00:01:30.000]  違背神的
[00:01:30.000 --> 00:01:31.000]  是得罪神的
[00:01:31.000 --> 00:01:34.000]  而教會沒有去處理這些問題
[00:01:34.000 --> 00:01:35.000]  就會成為了
[00:01:35.000 --> 00:01:39.000]  其他人學校的一種方式
[00:01:39.000 --> 00:01:41.000]  認為一樣的做法
[00:01:41.000 --> 00:01:42.000]  這種行為
[00:01:42.000 --> 00:01:44.000]  是聖經所容許
[00:01:44.000 --> 00:01:46.000]  是教會所接納的
[00:01:46.000 --> 00:01:49.000]  因此其他人就會放膽去同樣的做
[00:01:49.000 --> 00:01:51.000]  當教會來到去
[00:01:51.000 --> 00:01:52.000]  傳講真理
[00:01:52.000 --> 00:01:54.000]  宣揚光明的道
[00:01:54.000 --> 00:01:56.000]  如果我們行在黑暗當中
[00:01:56.000 --> 00:01:59.000]  我們所講的就沒有意思
[00:01:59.000 --> 00:02:02.000]  當我們看到有些錯失的事情
[00:02:02.000 --> 00:02:04.000]  我們需要留心去
[00:02:04.000 --> 00:02:08.000]  挽回在跌倒當中的弟兄姐妹
[00:02:08.000 --> 00:02:10.000]  這支教會紀律的目的
[00:02:10.000 --> 00:02:13.000]  是想挽回一個跌倒的人
[00:02:13.000 --> 00:02:15.000]  幫助他糾正一些錯誤
[00:02:15.000 --> 00:02:17.000]  亦都在過程當中
[00:02:17.000 --> 00:02:20.000]  不要讓整個教會受到不好的影響
[00:02:20.000 --> 00:02:24.000]  這正是我們思考紀律的方向
[00:02:24.000 --> 00:02:29.000]  有人以為紀律是否要處分我們
[00:02:29.000 --> 00:02:32.000]  整個教會的紀律目的不是懲罰
[00:02:32.000 --> 00:02:34.000]  亦都不是處分
