
[00:00:00.000 --> 00:00:05.120]  前一陣子,我不知道大家有沒有去會展美食節
[00:00:05.120 --> 00:00:10.500]  我沒有去,但我從電視中看到,人頭湧湧
[00:00:10.500 --> 00:00:12.020]  超多人
[00:00:12.020 --> 00:00:21.500]  我可以想像,雖然我沒有去美食節,但在疫情前我也去過花市的聚會
[00:00:21.500 --> 00:00:33.660]  通常很多人流的地方,很容易有一個取態,人去哪裡我去哪裡,跟著人去就可以
[00:00:33.660 --> 00:00:40.700]  潛水也是,潛水有個叫drift diver
[00:00:40.700 --> 00:00:54.020]  你站在那裡,下水之後,什麼都不用做,放鬆,因為有些current,有些水流,就會慢慢帶動人,就會看不同的東西
[00:00:54.020 --> 00:01:06.560]  不過無論在花市,美食節,或者潛水,如果你自己不知道去什麼方向的時候,你被帶動去一個方向
[00:01:06.560 --> 00:01:09.120]  慢慢你就迷失了
[00:01:09.120 --> 00:01:14.760]  希伯來書寫的作者,他有一個目的,因為他在二章一節給了一個警告我們
[00:01:14.760 --> 00:01:20.380]  他叫讀者要小心,要鄭重聽神的道
[00:01:20.380 --> 00:01:28.840]  為什麼要鄭重聽神的道,因為恐怕我們隨流失去,drift away from the truth
[00:01:28.840 --> 00:01:34.720]  即是慢慢離開了上帝的道,很容易的
[00:01:34.720 --> 00:01:43.440]  當我們沒有神的話語的時候,我們不留心聽的時候,慢慢我們就去了另一個方向
[00:01:43.440 --> 00:01:47.480]  這樣就離開上帝他自己
[00:01:47.480 --> 00:01:54.120]  今天我們讀希伯來書11章,有很多舊約人物,我們去思想
[00:01:54.120 --> 00:01:59.500]  今天我們就思想亞國的心靈,一個很特別的心靈
[00:01:59.500 --> 00:02:07.680]  在上一星期,我講到亞國的爸爸叫以撒,以撒憑著信心,雖然看不到
[00:02:07.680 --> 00:02:11.780]  因為他從阿伯拉罕領受了一個祝福
[00:02:11.780 --> 00:02:21.260]  所以他作為爸爸,以撒就將祝福頒布給他們兩個兒子,亞國和以素
[00:02:21.260 --> 00:02:28.180]  在頒布祝福的時候,他不是憑眼見,是憑信心見到什麼
[00:02:28.180 --> 00:02:32.780]  這個祝福是從天上而來的,從天上而來的祝福
[00:02:32.780 --> 00:02:36.880]  並且這個祝福是納約式的祝福,上帝和我們納約的
[00:02:36.880 --> 00:02:41.740]  同時這個祝福是被揀選的祝福,不是因為我們做了什麼好
[00:02:41.740 --> 00:02:48.400]  而是上主親自的恩代理和我得到這個祝福
[00:02:48.400 --> 00:02:54.300]  同樣今天我們讀經文的時候,在希伯來書11章的第21節
[00:02:54.300 --> 00:02:56.340]  亞國同樣頒布祝福
[00:02:56.340 --> 00:03:03.460]  但這個頒布祝福不是給他的兒子約瑟,而是給他的孫子
[00:03:03.460 --> 00:03:09.860]  如果你看創世紀第48章的時候,他是用交叉手
[00:03:09.860 --> 00:03:17.020]  右手按住以法蓮的頭,左手按住馬阿拉西的頭
[00:03:17.020 --> 00:03:22.660]  這是頒布祝福,以法蓮得到最大的祝福
[00:03:22.660 --> 00:03:32.900]  經文說到亞國練老,所以不能起床,在床上跪拜朝見神
[00:03:32.900 --> 00:03:42.620]  今天重點不是說創世紀第48和49章的祝福
[00:03:42.620 --> 00:03:50.300]  重點是我想有一個宏觀的觀察,看整個亞國人生
