
[00:00:00.000 --> 00:00:02.000]  我們再翻開聖經
[00:00:02.000 --> 00:00:05.000]  我們剛才讀過的詩篇119篇
[00:00:05.000 --> 00:00:08.000]  大家都會知道這篇聖經
[00:00:08.000 --> 00:00:12.000]  是整本聖經裏面最長的一章
[00:00:12.000 --> 00:00:15.000]  而你發覺每一節裏面
[00:00:15.000 --> 00:00:17.000]  都是在說神的話
[00:00:17.000 --> 00:00:22.000]  勉勵我們去認識明白神的道
[00:00:22.000 --> 00:00:24.000]  去尋求神讓我們明白
[00:00:24.000 --> 00:00:26.000]  也去遵行祂的道
[00:00:26.000 --> 00:00:28.000]  所以你會知道
[00:00:28.000 --> 00:00:30.000]  上帝這樣安排這一章聖經
[00:00:30.000 --> 00:00:32.000]  也清楚將信息告訴我們
[00:00:32.000 --> 00:00:34.000]  在基督的人生裏面
[00:00:34.000 --> 00:00:36.000]  最核心的部份
[00:00:36.000 --> 00:00:38.000]  就是神的道
[00:00:38.000 --> 00:00:41.000]  而你和我在我們信主的歷程裏面
[00:00:41.000 --> 00:00:43.000]  要常常鼓勵自己
[00:00:43.000 --> 00:00:45.000]  不要放輕
[00:00:45.000 --> 00:00:47.000]  不會輕視神的話
[00:00:47.000 --> 00:00:50.000]  以致我們得到神要給我們的豐富
[00:00:50.000 --> 00:00:53.000]  當我們今天讀這段聖經的時候
[00:00:53.000 --> 00:00:55.000]  我就想起一件事情
[00:00:55.000 --> 00:00:57.000]  就是很多時候都會在崇拜講道
[00:00:57.000 --> 00:00:59.000]  或者其他場合
[00:00:59.000 --> 00:01:01.000]  都會提及一件事情
[00:01:01.000 --> 00:01:04.000]  開始的時候我就會提一杯水的比喻
[00:01:04.000 --> 00:01:06.000]  什麼比喻呢?
[00:01:06.000 --> 00:01:08.000]  就是有些人有個經歷
[00:01:08.000 --> 00:01:10.000]  他發覺他在做其他事情
[00:01:10.000 --> 00:01:12.000]  然後拿個水樽倒水到自己的杯子裏
[00:01:12.000 --> 00:01:14.000]  倒水的時候發覺
[00:01:14.000 --> 00:01:16.000]  咦?為什麼杯子還是空的?
[00:01:16.000 --> 00:01:18.000]  還是沒有水的?
[00:01:18.000 --> 00:01:20.000]  而他發覺水都灑出來了
[00:01:20.000 --> 00:01:22.000]  一看原來發覺
[00:01:22.000 --> 00:01:24.000]  杯子還沒有打開蓋子
[00:01:25.000 --> 00:01:27.000]  還沒有打開蓋子一路倒水下去
[00:01:27.000 --> 00:01:29.000]  沒有再倒很多水
[00:01:29.000 --> 00:01:31.000]  不過那些水灑開了
[00:01:31.000 --> 00:01:33.000]  進入不了杯子
[00:01:33.000 --> 00:01:35.000]  杯子仍然是空的
[00:01:35.000 --> 00:01:39.000]  你會發覺很多時候
[00:01:39.000 --> 00:01:41.000]  沒錯我們有機會聽到
[00:01:41.000 --> 00:01:43.000]  有機會讀聖經
[00:01:43.000 --> 00:01:47.000]  但如果你的心靈沒有打開你的蓋子
[00:01:47.000 --> 00:01:51.000]  你會聽但你得不著
[00:01:51.000 --> 00:01:54.000]  提摩太后書第三章
[00:01:54.000 --> 00:01:56.000]  講到在末世的時候
[00:01:56.000 --> 00:01:58.000]  有不少的教徒
[00:01:58.000 --> 00:02:00.000]  他們常常聽道
[00:02:00.000 --> 00:02:02.000]  聖經講到他們
[00:02:02.000 --> 00:02:04.000]  常常學習真道
[00:02:04.000 --> 00:02:07.000]  但終究不能明白
[00:02:07.000 --> 00:02:11.000]  是因為內心裏面有罪
[00:02:11.000 --> 00:02:14.000]  來壓住他們
[00:02:14.000 --> 00:02:16.000]  是被各樣的私慾
[00:02:16.000 --> 00:02:18.000]  來纏繞著他們
[00:02:18.000 --> 00:02:21.000]  好像一個障礙
[00:02:21.000 --> 00:02:23.000]  一個蓋遮蓋著
[00:02:23.000 --> 00:02:26.000]  以致不能領受神的道
[00:02:26.000 --> 00:02:31.000]  但這會在你人生的信仰歷程裏面
[00:02:31.000 --> 00:02:35.000]  每當你自己來讀聖經尋求的時候
[00:02:35.000 --> 00:02:38.000]  你求神將這些障礙拿走
[00:02:38.000 --> 00:02:40.000]  反思自己的生命
[00:02:40.000 --> 00:02:42.000]  不讓這些情慾成為一種阻礙
[00:02:42.000 --> 00:02:45.000]  也要真的向神開闖你的心
[00:02:45.000 --> 00:02:49.000]  是真的願意將神的話藏在心中
[00:02:49.000 --> 00:02:52.000]  否則你不會得到真正的益處
[00:02:52.000 --> 00:02:54.000]  因此今天讀聖經的時候
[00:02:54.000 --> 00:02:56.000]  你會發覺聖經一直提醒我們
[00:02:56.000 --> 00:03:00.000]  要留意將神的話藏在心裏面
[00:03:00.000 --> 00:03:03.000]  所以我們一起來帶著這樣的心思
[00:03:03.000 --> 00:03:05.000]  向神開闖的心思
[00:03:05.000 --> 00:03:07.000]  來讀這段經文
[00:03:07.000 --> 00:03:09.000]  我們看的是其中兩個小段
[00:03:09.000 --> 00:03:11.000]  第九節開始
[00:03:11.000 --> 00:03:15.000]  聖經說到少年人用甚麼潔淨自己的行為呢?
[00:03:15.000 --> 00:03:18.000]  就是要遵守你的說話
[00:03:18.000 --> 00:03:21.000]  少年人當然不單止說一些
[00:03:21.000 --> 00:03:24.000]  teenagers 少年的朋友
[00:03:24.000 --> 00:03:27.000]  這裡是在泛指很多青成年
[00:03:27.000 --> 00:03:29.000]  但特別說到少年人
[00:03:29.000 --> 00:03:33.000]  亦提及到他們會有一些試探
[00:03:33.000 --> 00:03:36.000]  特別是這個年紀容易出現
[00:03:36.000 --> 00:03:38.000]  有一些情慾
[00:03:38.000 --> 00:03:40.000]  有一些貪婪的事情
