
[00:00:00.000 --> 00:00:05.000]  在最近一段時間我特別留意到很多不同的報導
[00:00:05.000 --> 00:00:08.000]  關於我們所身處的社會情況
[00:00:08.000 --> 00:00:12.000]  在早前香港衛生防衛中心
[00:00:12.000 --> 00:00:14.000]  他們有一個特別的調查
[00:00:14.000 --> 00:00:17.000]  就是調查香港人的精神狀況
[00:00:17.000 --> 00:00:21.000]  這個調查的結果都挺嚇人
[00:00:21.000 --> 00:00:24.000]  竟然有百分之四十的香港人
[00:00:24.000 --> 00:00:28.000]  承認他們的精神狀況不佳
[00:00:28.000 --> 00:00:35.000]  其中有幾大部分甚至寫精神狀況非常差
[00:00:35.000 --> 00:00:39.000]  很多人都體會到在這個社會的生活
[00:00:39.000 --> 00:00:43.000]  好像有很多精神的壓力、很多的困擾
[00:00:43.000 --> 00:00:46.000]  不單止是一般的成年人
[00:00:46.000 --> 00:00:49.000]  我再留意到在一個報導裏面說到
[00:00:49.000 --> 00:00:52.000]  香港有一間社會服務的機構做調查
[00:00:52.000 --> 00:00:54.000]  問到一些中學生的情況
[00:00:54.000 --> 00:00:58.000]  竟然發覺同樣有四成的中學生說出
[00:00:58.000 --> 00:01:03.000]  他們有各種抑鬱的徵兆
[00:01:03.000 --> 00:01:08.000]  有一個少年人有什麼抑鬱的情況
[00:01:08.000 --> 00:01:11.000]  但想不到調查說出
[00:01:11.000 --> 00:01:15.000]  有很多這些學生說出他們生活上很多不同的壓力
[00:01:15.000 --> 00:01:19.000]  以致他們產生一些抑鬱的狀況
[00:01:19.000 --> 00:01:22.000]  當然再看整個社會
[00:01:22.000 --> 00:01:25.000]  大家都會察覺到過去這幾年
[00:01:25.000 --> 00:01:28.000]  其實香港的政治發展、政局的狀況
[00:01:28.000 --> 00:01:32.000]  常常叫我們有很多不同的擔心的感受
[00:01:32.000 --> 00:01:37.000]  甚至很多對香港都覺得好像很沒有信心
[00:01:37.000 --> 00:01:41.000]  覺得這個社會越來越多問題
[00:01:41.000 --> 00:01:42.000]  不單止政治的層面
[00:01:42.000 --> 00:01:44.000]  在很多的社會層面
[00:01:44.000 --> 00:01:48.000]  很多叫我們很不開心的一些現象
[00:01:48.000 --> 00:01:51.000]  每當聽到一些劏房的數字的時候
[00:01:51.000 --> 00:01:54.000]  都會叫我們覺得不開心
[00:01:54.000 --> 00:01:56.000]  當然不單單是外在的
[00:01:56.000 --> 00:02:00.000]  有很多會覺得對自己有更多的不滿
[00:02:00.000 --> 00:02:02.000]  覺得自己很多地方
[00:02:02.000 --> 00:02:06.000]  自己的現況是不開心、不好
[00:02:06.000 --> 00:02:09.000]  當然這種情況也不單單在社會上出現
[00:02:09.000 --> 00:02:12.000]  我們都見到在教會裏面
[00:02:12.000 --> 00:02:14.000]  都有很多時候會留意到
[00:02:14.000 --> 00:02:18.000]  有時會感覺教會都有不少的問題
[00:02:18.000 --> 00:02:21.000]  他接受不了
[00:02:21.000 --> 00:02:22.000]  亦都有一些調查讓我們知道
[00:02:22.000 --> 00:02:27.000]  過去的五、六年香港教會的信徒增長的人數
[00:02:27.000 --> 00:02:31.000]  一直是一個停滯的狀況
[00:02:31.000 --> 00:02:34.000]  有青年的朋友突然之間離開教會
[00:02:34.000 --> 00:02:39.000]  有很多關係的事情令我們掛心
[00:02:39.000 --> 00:02:41.000]  當你說出這些情況的時候
[00:02:41.000 --> 00:02:45.000]  我估計大家都會在不同的時候
[00:02:45.000 --> 00:02:47.000]  或多或少去經歷到
[00:02:47.000 --> 00:02:50.000]  但這個時候亦都更加是一個時候
[00:02:50.000 --> 00:02:52.000]  我們要去留心聽
[00:02:52.000 --> 00:02:55.000]  究竟神對我們這種狀況
[00:02:55.000 --> 00:02:58.000]  有沒有許給我們的說話
[00:02:58.000 --> 00:03:00.000]  我相信這個時候
[00:03:00.000 --> 00:03:06.000]  亦都是我們要聽聖經耳塞亞書的訊息的時候
[00:03:06.000 --> 00:03:08.000]  在耳塞亞書裏面講述到
[00:03:08.000 --> 00:03:14.000]  一班的以色列人他們面對著被擄的日子
[00:03:14.000 --> 00:03:19.000]  他們面對著整個民族要被擄掠去到巴比倫的地方
[00:03:19.000 --> 00:03:21.000]  但聖經告訴我們
[00:03:21.000 --> 00:03:26.000]  這位上帝是使人有盼望的上帝
[00:03:26.000 --> 00:03:29.000]  當我們何時將我們的心思再轉移
[00:03:29.000 --> 00:03:33.000]  不單放在眼前一些好像灰暗的處境上
[00:03:33.000 --> 00:03:36.000]  而是留心到這位上帝
[00:03:36.000 --> 00:03:39.000]  祂的掌權、祂的慈愛
[00:03:39.000 --> 00:03:43.000]  去留意在主自己的工作上
[00:03:43.000 --> 00:03:47.000]  我們仍然可以全心地來信靠祂
[00:03:47.000 --> 00:03:50.000]  亦都因此我們會在這些情況當中
[00:03:50.000 --> 00:03:52.000]  經歷神的工作
[00:03:52.000 --> 00:03:55.000]  經歷祂給我們很奇妙的幫助
[00:03:55.000 --> 00:03:58.000]  而且說書裏面有一個很重要的訊息
[00:03:58.000 --> 00:04:00.000]  就是在一種好像茫茫當中
[00:04:00.000 --> 00:04:03.000]  神應許他的拯救
[00:04:03.000 --> 00:04:08.000]  一本我們說在舊日當中救恩的書卷
[00:04:08.000 --> 00:04:10.000]  而我們亦都在裏面去留心
[00:04:10.000 --> 00:04:13.000]  思想我們所身處的處境
[00:04:13.000 --> 00:04:17.000]  亦都思想上帝給我們的安慰
[00:04:17.000 --> 00:04:21.000]  和緊握著神給我們的盼望
[00:04:21.000 --> 00:04:24.000]  在聖經四十章一開始的時候
[00:04:24.000 --> 00:04:26.000]  你會留意到我們剛才讀過
[00:04:26.000 --> 00:04:32.000]  「你們的神說你們要安慰,安慰我的百姓」
[00:04:32.000 --> 00:04:36.000]  一開始就要叫我們留心上帝對我們的安慰
[00:04:36.000 --> 00:04:39.000]  如果大家留意到前面三十九章
[00:04:39.000 --> 00:04:41.000]  最後一段的時候
[00:04:41.000 --> 00:04:43.000]  當時耳塞經是講述一件事情
[00:04:43.000 --> 00:04:46.000]  上帝是吩咐一個寓言
[00:04:46.000 --> 00:04:50.000]  就是以色列人要被擄掠去到巴比倫
[00:04:50.000 --> 00:04:52.000]  甚至他們中間那些尊貴的人士
[00:04:52.000 --> 00:04:54.000]  那些王子那些貴族
