
[00:00:00.000 --> 00:00:07.000]  各位兄弟姐妹平安,我們分享這個題目
[00:00:07.000 --> 00:00:12.000]  因為經文太長,太貪心,我發覺說不完
[00:00:12.000 --> 00:00:14.000]  分開上下集
[00:00:14.000 --> 00:00:19.000]  事緣這個題目也是我有一次聽到
[00:00:19.000 --> 00:00:23.000]  有一位港語,我在網上聽到
[00:00:23.000 --> 00:00:25.000]  我見到題目挺有趣
[00:00:25.000 --> 00:00:30.000]  當基督徒遇上憂慮
[00:00:30.000 --> 00:00:34.000]  我就聽了
[00:00:34.000 --> 00:00:37.000]  看清楚一點,原來看錯了
[00:00:37.000 --> 00:00:39.000]  當基督徒遇上憂慮
[00:00:39.000 --> 00:00:41.000]  差很遠
[00:00:41.000 --> 00:00:45.000]  你喜歡憂慮還是憂慮?當然是憂慮
[00:00:45.000 --> 00:00:47.000]  現在我們很厲害
[00:00:47.000 --> 00:00:52.000]  我不厲害,網上訂食物
[00:00:52.000 --> 00:00:55.000]  買東西,現在很流行
[00:00:55.000 --> 00:00:59.000]  買完東西就會給你優惠碼
[00:00:59.000 --> 00:01:01.000]  鼓勵你下次用
[00:01:01.000 --> 00:01:05.000]  不過只有三小時或三天
[00:01:05.000 --> 00:01:07.000]  要你促銷
[00:01:07.000 --> 00:01:10.000]  記得不要浪費優惠碼,可以拿到八折
[00:01:10.000 --> 00:01:13.000]  我有一次買東西,一百元食物
[00:01:13.000 --> 00:01:17.000]  加二十元,加多一樣小食
[00:01:17.000 --> 00:01:19.000]  就給你八折
[00:01:19.000 --> 00:01:22.000]  心水清應該知道
[00:01:22.000 --> 00:01:25.000]  加二十元八折,應該少一百元
[00:01:25.000 --> 00:01:27.000]  加不加?
[00:01:27.000 --> 00:01:29.000]  正常加,不是貪心
[00:01:29.000 --> 00:01:33.000]  沒理由給貴幾元,還吃少一樣東西
[00:01:33.000 --> 00:01:37.000]  很多方式,真的划算
[00:01:37.000 --> 00:01:39.000]  免運費,折扣,買一送一
[00:01:39.000 --> 00:01:41.000]  感覺良好
[00:01:41.000 --> 00:01:44.000]  還有種被優待的感覺
[00:01:44.000 --> 00:01:46.000]  基督徒有沒有優惠碼?
[00:01:46.000 --> 00:01:50.000]  這個圖我隨意製作
[00:01:50.000 --> 00:01:53.000]  但都很現實
[00:01:53.000 --> 00:01:56.000]  看著聖經很優秀
[00:01:56.000 --> 00:02:00.000]  慘了,讀聖經有什麼優秀?
[00:02:00.000 --> 00:02:02.000]  讀聖經越有出路
[00:02:02.000 --> 00:02:04.000]  是不是?問心
[00:02:04.000 --> 00:02:08.000]  讀聖經越有出路
[00:02:08.000 --> 00:02:10.000]  每天靈修很棒
[00:02:10.000 --> 00:02:12.000]  對應生活所需
[00:02:12.000 --> 00:02:14.000]  但你想想,有問題
[00:02:14.000 --> 00:02:17.000]  不讀聖經的基督徒
[00:02:17.000 --> 00:02:20.000]  不讀聖經的基督徒,簡直是病了
[00:02:20.000 --> 00:02:22.000]  為什麼這樣說?
[00:02:22.000 --> 00:02:24.000]  看今天的經文
[00:02:24.000 --> 00:02:26.000]  整章聖經是說
[00:02:26.000 --> 00:02:28.000]  耶穌遇到挑戰
[00:02:28.000 --> 00:02:30.000]  上章也是,耶穌做全道
[00:02:30.000 --> 00:02:32.000]  有很多人反應很有趣
[00:02:32.000 --> 00:02:34.000]  驚訝,上次甚至驚訝到
[00:02:34.000 --> 00:02:36.000]  這是有權柄的新道理
[00:02:36.000 --> 00:02:38.000]  耶穌說的
[00:02:38.000 --> 00:02:41.000]  一套跟他們向來所聽的教導
[00:02:41.000 --> 00:02:43.000]  跟他們所說的不一樣
[00:02:43.000 --> 00:02:45.000]  有些不同,但他們說不出
[00:02:45.000 --> 00:02:47.000]  只是很驚訝
[00:02:47.000 --> 00:02:49.000]  因為耶穌是主
