
[00:00:00.000 --> 00:00:02.240]  耶路撒冷荒廢了70年
[00:00:02.240 --> 00:00:08.880]  在第一章波斯王居老使頒佈了詔書
[00:00:08.880 --> 00:00:14.640]  讓被擄的猶太子民可以重歸耶路撒冷
[00:00:14.640 --> 00:00:16.880]  並且興建聖殿
[00:00:16.880 --> 00:00:19.120]  少數的人回去
[00:00:19.120 --> 00:00:22.480]  但無論他們的盡心、樂意的侍奉
[00:00:22.480 --> 00:00:23.680]  是夢神的喜悅
[00:00:23.680 --> 00:00:29.120]  所以第二章就寫了他們回歸的家譜和名字
[00:00:29.120 --> 00:00:38.080]  回歸後,他們首先不興建耶路撒冷聖殿的根基
[00:00:38.080 --> 00:00:42.400]  而是重建祭壇以禱告行仙
[00:00:42.400 --> 00:00:50.240]  這是表達了索華伯伯、耶穌亞和眾子民
[00:00:50.240 --> 00:00:53.920]  他們很慷重與神的關係
[00:00:53.920 --> 00:00:58.000]  以神的關係為先,然後作神的工作
[00:00:58.000 --> 00:01:00.320]  這是第三章的重點
[00:01:00.320 --> 00:01:03.120]  第四章他們興建得非常順利
[00:01:03.120 --> 00:01:04.880]  但與此同時
[00:01:04.880 --> 00:01:10.480]  外族人、外邦領袖就佈告他們賄賂
[00:01:10.480 --> 00:01:13.760]  甚至上詔書給阿達舍西王
[00:01:13.760 --> 00:01:15.840]  說這批子民
[00:01:15.840 --> 00:01:19.040]  如果興建好耶路撒冷聖殿的時候
[00:01:19.040 --> 00:01:22.000]  他們不會再繳交稅款
[00:01:22.000 --> 00:01:23.680]  他們受虧損
[00:01:23.680 --> 00:01:26.080]  阿達舍西王深存懷疑
[00:01:26.080 --> 00:01:33.600]  果然一查就知道耶路撒冷是半億的城市
[00:01:33.600 --> 00:01:42.480]  所以他們在王的命令下禁止工程進行
[00:01:42.480 --> 00:01:45.600]  這個工程一禁止,直到什麼時候再開始呢?
[00:01:45.600 --> 00:01:48.720]  就是戴留士王第二年
[00:01:48.720 --> 00:01:50.560]  停了多久呢?
[00:01:50.560 --> 00:01:53.360]  由阿達舍西下命令到戴留士王第二年
[00:01:53.360 --> 00:01:56.560]  上次Kendall傳道說了
[00:01:56.560 --> 00:01:58.880]  16年的時間
[00:01:58.880 --> 00:02:00.800]  在這16年發生了什麼事呢?
[00:02:00.800 --> 00:02:02.880]  既然停工沒有興建聖殿
[00:02:02.880 --> 00:02:04.400]  16年發生了什麼事呢?
[00:02:04.400 --> 00:02:07.760]  就是哈蓋書給我們明白到
[00:02:07.760 --> 00:02:09.360]  他們在做什麼事
[00:02:09.360 --> 00:02:11.920]  因為停工之後的哈蓋書一張
[00:02:11.920 --> 00:02:13.920]  一起手就說到
[00:02:13.920 --> 00:02:16.240]  這些被佬回歸的以色列子民
[00:02:16.240 --> 00:02:18.320]  因為不能興建聖殿
[00:02:18.320 --> 00:02:20.560]  所以他們又要生活
[00:02:20.560 --> 00:02:25.680]  所以開始對神的事情冷淡
[00:02:25.680 --> 00:02:29.280]  顧著自己的事情
[00:02:29.280 --> 00:02:31.760]  興建一個有蓋的房屋
[00:02:31.760 --> 00:02:36.480]  這個跟自己興建了一間有蓋的房屋
[00:02:36.480 --> 00:02:41.040]  反而耶和華的聖殿仍然是荒廢沒有蓋的
[00:02:41.040 --> 00:02:43.200]  產生了強烈的對比
[00:02:43.200 --> 00:02:45.360]  就在這個時間
[00:02:45.360 --> 00:02:48.240]  就來到第五章
[00:02:48.240 --> 00:02:53.760]  神的子民都是有氣餒的
[00:02:53.760 --> 00:02:55.760]  本來一心
[00:02:55.760 --> 00:03:01.360]  不單止看到王的禹令
[00:03:01.360 --> 00:03:03.920]  有大量的公認
[00:03:03.920 --> 00:03:06.960]  有屬靈領袖的提醒和鼓勵
[00:03:06.960 --> 00:03:09.760]  並且看到神師恩的手臨在
[00:03:09.760 --> 00:03:15.120]  應該是一腔熱誠的興建神的工作
[00:03:15.120 --> 00:03:16.400]  耶和華的聖殿
[00:03:16.400 --> 00:03:19.680]  不過卻是一盤冷水倒下來的時候
[00:03:19.680 --> 00:03:21.520]  一停停了十六年
[00:03:21.520 --> 00:03:26.400]  一停了之後再啟動是非常非常困難
[00:03:26.400 --> 00:03:27.920]  我不知道大家認不認同
[00:03:27.920 --> 00:03:30.240]  你做一件事停下來
[00:03:30.240 --> 00:03:31.360]  一停就放了很久
