
[00:00:00.000 --> 00:00:04.040]  今天我們繼續講傳道書的一些信息
[00:00:04.040 --> 00:00:05.520]  剛才我們所讀的一段經文
[00:00:05.520 --> 00:00:08.320]  記載在四章的第一節十六節
[00:00:08.320 --> 00:00:09.840]  我們未講一段經文之前
[00:00:09.840 --> 00:00:11.280]  我們嘗試溫習一下
[00:00:11.280 --> 00:00:15.080]  究竟傳道書第一章至第三章
[00:00:15.080 --> 00:00:16.600]  究竟在講什麼呢
[00:00:16.600 --> 00:00:20.280]  然後引下來第四章主題的信息
[00:00:20.280 --> 00:00:21.880]  又是什麼呢
[00:00:21.880 --> 00:00:23.840]  傳道書第一章講到
[00:00:23.840 --> 00:00:25.680]  世事都是虛空的
[00:00:25.680 --> 00:00:26.800]  傳道者說
[00:00:26.800 --> 00:00:28.960]  一切都是循環不息
[00:00:28.960 --> 00:00:32.200]  人在這個循環不息的世代裡
[00:00:32.200 --> 00:00:34.640]  得著什麼好處呢
[00:00:34.640 --> 00:00:35.760]  傳道者說
[00:00:35.760 --> 00:00:37.680]  其實我們得不到什麼好處
[00:00:37.680 --> 00:00:39.920]  而且生活在其中的人
[00:00:39.920 --> 00:00:41.400]  是沒有人紀念
[00:00:41.400 --> 00:00:44.160]  你所做的事是沒有人去記得的
[00:00:44.160 --> 00:00:46.280]  接著在第二章裡
[00:00:46.280 --> 00:00:47.800]  傳道者再去講
[00:00:47.800 --> 00:00:51.120]  一個豐盛的人生
[00:00:51.120 --> 00:00:52.840]  上帝所賜的人生
[00:00:52.840 --> 00:00:55.720]  上帝所賜的有福的人生應該是怎樣呢
[00:00:55.720 --> 00:00:57.840]  當我們未去理解這個之前
[00:00:57.840 --> 00:00:59.320]  首先我們要知道
[00:00:59.320 --> 00:01:01.560]  什麼叫做虛空的人生
[00:01:01.560 --> 00:01:03.200]  虛空的人生是什麼呢
[00:01:03.200 --> 00:01:04.120]  傳道者在這裡說
[00:01:04.120 --> 00:01:06.480]  有四方面提醒我們
[00:01:06.480 --> 00:01:07.000]  第一
[00:01:07.000 --> 00:01:10.040]  就是不要以為自己這麼有智慧
[00:01:10.040 --> 00:01:13.040]  人能夠明白的都很有限
[00:01:13.040 --> 00:01:17.160]  人能夠知道的也很少
[00:01:17.160 --> 00:01:19.560]  所以傳道者也說
[00:01:19.560 --> 00:01:22.160]  多有智慧就多有憂傷
[00:01:22.160 --> 00:01:23.280]  接著再說
[00:01:23.280 --> 00:01:24.920]  你也不要以為
[00:01:24.920 --> 00:01:27.440]  追求物質的生活可以令你滿足
[00:01:27.440 --> 00:01:28.760]  你就算有大屋
[00:01:28.760 --> 00:01:29.800]  有瀑彼
[00:01:29.800 --> 00:01:31.760]  有多少的牛羊
[00:01:31.760 --> 00:01:32.880]  有多少的財寶
[00:01:32.880 --> 00:01:35.720]  都不可以讓你得到滿足
[00:01:35.720 --> 00:01:37.640]  接著傳道者再說
[00:01:37.640 --> 00:01:40.160]  在世間的一切活動
[00:01:40.160 --> 00:01:42.600]  你無論做過什麼都好
[00:01:42.600 --> 00:01:44.080]  都沒有人記得你
[00:01:44.080 --> 00:01:46.120]  沒有人記得你所做的事
[00:01:46.120 --> 00:01:48.520]  這個世界有什麼意義呢
[00:01:48.520 --> 00:01:49.440]  第四方面
[00:01:49.440 --> 00:01:50.440]  傳道者說
[00:01:50.440 --> 00:01:53.040]  當我勞碌得來的所有財富
[00:01:53.040 --> 00:01:54.800]  留給後人
[00:01:54.800 --> 00:01:57.600]  後人是有智慧還是蠢
[00:01:57.600 --> 00:01:59.400]  我都不知道
[00:01:59.400 --> 00:02:00.760]  我不能夠掌握
[00:02:00.760 --> 00:02:03.080]  這些都是一種虛空
[00:02:03.080 --> 00:02:05.600]  傳道者就用這幾方面去說
[00:02:05.600 --> 00:02:09.640]  人生都是虛空的一個人生
[00:02:09.640 --> 00:02:12.280]  接著在第三章他再說
[00:02:12.280 --> 00:02:15.120]  為什麼人生會有一個虛空感呢
[00:02:15.120 --> 00:02:18.080]  為什麼人生會感覺有一個虛空的人生呢
[00:02:18.080 --> 00:02:21.120]  是因為上帝賜給我們一個
[00:02:21.120 --> 00:02:23.400]  永恆的一個儀式
[00:02:23.400 --> 00:02:24.880]  我們其實希望
[00:02:24.880 --> 00:02:26.320]  我們所擁有的東西
[00:02:26.320 --> 00:02:27.560]  我們是不會失去
[00:02:27.560 --> 00:02:29.360]  但是在人世間裡
[00:02:29.360 --> 00:02:30.480]  我們所擁有的東西
[00:02:30.480 --> 00:02:31.800]  必然會失去
[00:02:31.800 --> 00:02:34.240]  所以這個也是一個虛空
[00:02:34.240 --> 00:02:35.440]  在第三章裡
[00:02:35.440 --> 00:02:37.720]  傳道者很講究時間
[00:02:37.720 --> 00:02:39.880]  上帝有上帝的時間
[00:02:39.880 --> 00:02:41.960]  我們有我們的時間
[00:02:41.960 --> 00:02:43.920]  上帝有他的時間
[00:02:43.920 --> 00:02:47.320]  他各按其時成為美好
[00:02:47.320 --> 00:02:49.160]  上帝讓一切東西
[00:02:49.160 --> 00:02:50.680]  最後都是成為美好
[00:02:50.680 --> 00:02:52.280]  我們未必看得到
[00:02:52.280 --> 00:02:53.760]  未必看得完
[00:02:53.760 --> 00:02:56.440]  但是上帝是各按其時
[00:02:56.440 --> 00:02:58.840]  成為美好的一個上帝
[00:02:58.840 --> 00:03:01.160]  接著在人世間裡
