
[00:00:00.000 --> 00:00:11.000]  我感謝主再一次賜給我機會能夠到下靈慧來和大家一同來聆受主的話
[00:00:11.000 --> 00:00:19.000]  求主將祂的道引進我們的心
[00:00:19.000 --> 00:00:21.000]  和睦的心
[00:00:21.000 --> 00:00:22.000]  謙卑的心
[00:00:22.000 --> 00:00:24.000]  愛主的心
[00:00:24.000 --> 00:00:26.000]  也願意對著說主啊
[00:00:26.000 --> 00:00:29.000]  請說你的僕人敬聽
[00:00:29.000 --> 00:00:34.000]  主啊請說你的僕人使女順服
[00:00:34.000 --> 00:00:44.000]  我們早上聚會的主題是榮耀的勝利
[00:00:44.000 --> 00:00:48.000]  我們有十四個小的分題
[00:00:48.000 --> 00:00:51.000]  但是今天早上呢
[00:00:51.000 --> 00:00:53.000]  在講到我們贖主的人
[00:00:53.000 --> 00:00:56.000]  從主得到的勝利之前
[00:00:56.000 --> 00:00:59.000]  我們要先想到
[00:00:59.000 --> 00:01:03.000]  在聖經中承接著基督所成就的
[00:01:03.000 --> 00:01:07.000]  榮耀無比奇妙的大勝利
[00:01:07.000 --> 00:01:14.000]  我們今天早上的題目是在講義之外的
[00:01:14.000 --> 00:01:21.000]  做一個講義的訊息的一個序言
[00:01:23.000 --> 00:01:27.000]  我要講的題目是勝利的歡呼
[00:01:27.000 --> 00:01:29.000]  勝利的歡呼
[00:01:29.000 --> 00:01:37.000]  這些歡呼都是因為主耶穌基督自己為我們帶來的勝利
[00:01:37.000 --> 00:01:39.000]  成全了勝利
[00:01:39.000 --> 00:01:40.000]  彰顯了勝利
[00:01:40.000 --> 00:01:45.000]  成為我們過得勝生活的基礎
[00:01:45.000 --> 00:01:49.000]  所以我們集中精神注意
[00:01:49.000 --> 00:01:52.000]  在主自己的勝利上面
[00:01:52.000 --> 00:02:00.000]  我們從聖經看見一次一次的勝利的歡呼
[00:02:00.000 --> 00:02:07.000]  首先我們看格林多前書第十五章
[00:02:07.000 --> 00:02:10.000]  無字無節
[00:02:10.000 --> 00:02:13.000]  道福是七節
[00:02:19.000 --> 00:02:23.000]  十二,你得勝的詮釋在哪裡?
[00:02:23.000 --> 00:02:26.000]  十二,你的篤篤在哪裡?
[00:02:26.000 --> 00:02:29.000]  你的篤篤就是罪
[00:02:29.000 --> 00:02:32.000]  罪的詮釋就是律法
[00:02:32.000 --> 00:02:33.000]  感謝神
[00:02:33.000 --> 00:02:39.000]  感謝神是我們藉著我們的主耶穌基督得勝
[00:02:39.000 --> 00:02:45.000]  感謝神是我們藉著我們的主耶穌基督得勝
[00:02:45.000 --> 00:02:50.000]  這是一個勝利的喜樂的歡呼
[00:02:50.000 --> 00:02:57.000]  在這裡提到主耶穌成全了什麼樣的勝利呢?
[00:02:57.000 --> 00:03:00.000]  勝過死亡
[00:03:00.000 --> 00:03:03.000]  勝過沉淪
[00:03:03.000 --> 00:03:13.000]  這是主耶穌為了我們一個最大的最寶貴的成就的勝利
[00:03:14.000 --> 00:03:16.000]  在這裡保羅
[00:03:16.000 --> 00:03:20.000]  給聖靈同盟們發出這個勝利的歡呼
[00:03:20.000 --> 00:03:24.000]  十二,你的得勝在哪裡?
[00:03:24.000 --> 00:03:26.000]  你已經被打敗
[00:03:26.000 --> 00:03:28.000]  你的詮釋在哪裡?
[00:03:28.000 --> 00:03:31.000]  你已經是基督的手下敗將
[00:03:31.000 --> 00:03:33.000]  十二,你的篤篤在哪裡?
[00:03:33.000 --> 00:03:39.000]  律法已經被傳全在基督的身上
[00:03:39.000 --> 00:03:42.000]  剩下的就是感謝神
[00:03:42.000 --> 00:03:45.000]  感謝神,感謝神
[00:03:45.000 --> 00:03:50.000]  是我們藉著我們的主耶穌基督得勝
[00:03:50.000 --> 00:03:53.000]  不是我們自己能得勝
[00:03:53.000 --> 00:03:58.000]  是藉著我們得勝的主來分享他的得勝
[00:03:58.000 --> 00:04:00.000]  來經歷他的得勝
[00:04:00.000 --> 00:04:03.000]  以見證他的得勝
[00:04:03.000 --> 00:04:07.000]  也對一個勝利的歡呼充滿了喜樂
[00:04:07.000 --> 00:04:10.000]  充滿了感謝
[00:04:11.000 --> 00:04:19.000]  我們今天對死的心態改變了
[00:04:19.000 --> 00:04:24.000]  我們再不沉淪滅亡
[00:04:24.000 --> 00:04:27.000]  那個永遠的死
[00:04:27.000 --> 00:04:32.000]  已經主耶穌為我們凸起了
[00:04:32.000 --> 00:04:37.000]  我們想到我們離開世界的時候
[00:04:37.000 --> 00:04:41.000]  是一個更加萌恩的時候
[00:04:41.000 --> 00:04:43.000]  被提升的時候
[00:04:43.000 --> 00:04:45.000]  與我們所在的天父
[00:04:45.000 --> 00:04:46.000]  我們的主耶穌基督
[00:04:46.000 --> 00:04:48.000]  包括是聖靈
[00:04:48.000 --> 00:04:54.000]  一個更完全的同在的時候
[00:04:54.000 --> 00:05:01.000]  所以死對我們的意義完全改變
[00:05:01.000 --> 00:05:03.000]  我想到
[00:05:03.000 --> 00:05:08.000]  有一次我到南美洲的巴西見到一個姊妹
[00:05:08.000 --> 00:05:14.000]  她是從前上海珠輝山墓祭的女兒
[00:05:14.000 --> 00:05:19.000]  她告訴我她的父親的經歷
[00:05:19.000 --> 00:05:26.000]  她的父親為了信仰付了很重大的代價
[00:05:26.000 --> 00:05:29.000]  她的父親在過世的時候
[00:05:29.000 --> 00:05:34.000]  她的女兒大女兒在她的身邊
[00:05:34.000 --> 00:05:40.000]  這位珠輝山的女兒做見證
[00:05:40.000 --> 00:05:45.000]  她說她的父親過世的時候
[00:05:45.000 --> 00:05:51.000]  那個房間裡充滿了光
[00:05:51.000 --> 00:05:56.000]  我相信這個見證是真的
[00:05:56.000 --> 00:05:59.000]  對於多麼之死亡
[00:05:59.000 --> 00:06:01.000]  不是可怕的事
[00:06:01.000 --> 00:06:03.000]  不是悲傷的事
[00:06:03.000 --> 00:06:10.000]  是在榮耀中與主會面相聚的一件事
