
[00:00:00.000 --> 00:00:06.400]  我家有五姐妹
[00:00:06.400 --> 00:00:08.120]  但我排中間
[00:00:08.120 --> 00:00:10.240]  一般對家長來說
[00:00:10.240 --> 00:00:12.520]  親的通常是最後一個
[00:00:12.520 --> 00:00:14.920]  而教的通常是最大那個
[00:00:14.920 --> 00:00:16.760]  所以對於在中間來說
[00:00:16.760 --> 00:00:19.320]  我感覺上自己會可有可無
[00:00:19.320 --> 00:00:23.080]  因為我不會得到爸爸媽媽的關注
[00:00:23.080 --> 00:00:24.400]  所以對小朋友來說
[00:00:24.400 --> 00:00:25.960]  很想去join attention的時候
[00:00:25.960 --> 00:00:28.920]  就會希望能夠得到爸爸媽媽的愛
[00:00:28.920 --> 00:00:31.320]  另一方面在姐妹之間
[00:00:31.320 --> 00:00:32.480]  我們也會有比較
[00:00:32.480 --> 00:00:33.720]  例如我的工作
[00:00:33.720 --> 00:00:35.960]  我們家分配不同的家務
[00:00:35.960 --> 00:00:39.280]  而我的家務負責就是倒屎
[00:00:39.280 --> 00:00:39.720]  為什麼呢?
[00:00:39.720 --> 00:00:42.240]  因為我們住在一個安置區的地方
[00:00:42.240 --> 00:00:44.360]  我們去廁所需要有一個公廁
[00:00:44.360 --> 00:00:45.400]  所以在家裡
[00:00:45.400 --> 00:00:47.800]  我的妹妹要用痰罐去廁所
[00:00:47.800 --> 00:00:48.880]  所以去完痰罐後
[00:00:48.880 --> 00:00:49.920]  她的大小便
[00:00:49.920 --> 00:00:52.360]  我就要負責拿到公廁倒
[00:00:52.360 --> 00:00:54.480]  所以小時候我有一個綽號
[00:00:54.480 --> 00:00:56.040]  叫「倒屎婆」
[00:00:56.040 --> 00:00:57.000]  所以從小到大
[00:00:57.000 --> 00:00:59.000]  因為都是這樣被家人取笑我
[00:00:59.000 --> 00:01:00.160]  所以從小我都覺得
[00:01:00.160 --> 00:01:02.280]  我自己的價值其實不高
[00:01:02.280 --> 00:01:04.800]  而且對自己的形象也覺得低
[00:01:04.800 --> 00:01:08.720]  因為在這種貶義的稱號裡面
[00:01:08.720 --> 00:01:11.400]  其實小時候也會有這種感覺
[00:01:11.400 --> 00:01:14.000]  我以前在一間模特兒公司工作
[00:01:14.000 --> 00:01:16.920]  大概差不多做了十年的時間
[00:01:16.920 --> 00:01:17.880]  在工作裡面
[00:01:17.880 --> 00:01:20.040]  其實我是感覺很有成功感的
[00:01:20.040 --> 00:01:22.440]  而且因為我在二十歲還沒有的時候
[00:01:22.440 --> 00:01:24.480]  我已經找到一桶又一桶金
[00:01:24.480 --> 00:01:26.240]  我想我自己覺得最自豪的
[00:01:26.240 --> 00:01:28.120]  就是我能夠手上戴一隻
[00:01:28.120 --> 00:01:29.320]  手伸一伸
[00:01:29.320 --> 00:01:32.160]  貴過你全身的六位數字的手錶
