
[00:00:00.000 --> 00:00:03.460]  很快40天的新聞更新之旅就完結了
[00:00:03.460 --> 00:00:05.140]  我們今年的主題是
[00:00:05.140 --> 00:00:07.620]  敬畏上帝 享受生命
[00:00:07.620 --> 00:00:10.240]  在未來的10個月裏面
[00:00:10.240 --> 00:00:13.440]  我們都有每個月的第一個主日
[00:00:13.440 --> 00:00:16.320]  其實我們的訊息都會圍繞這個主題
[00:00:16.320 --> 00:00:18.820]  敬畏上帝 享受生命
[00:00:18.820 --> 00:00:22.020]  另一方面 我們崇拜裏面的講道的內容
[00:00:22.020 --> 00:00:25.220]  也都開始約翰呼音的內容
[00:00:25.220 --> 00:00:26.340]  如果大家還記得
[00:00:26.340 --> 00:00:29.680]  上一段時間我已經講了約翰呼音
[00:00:29.680 --> 00:00:32.040]  第一章的1-18節
[00:00:32.040 --> 00:00:36.140]  今次我們將這兩件事疊在同一個主日
[00:00:36.140 --> 00:00:38.120]  就是我們去講
[00:00:38.120 --> 00:00:42.040]  施洗約翰的見證
[00:00:42.040 --> 00:00:44.440]  在約翰呼音裏面
[00:00:44.440 --> 00:00:46.920]  第一章1-18節
[00:00:46.920 --> 00:00:53.080]  基本上是整個約翰呼音21章的引言
[00:00:53.080 --> 00:00:55.280]  已經將很重要的訊息
[00:00:55.280 --> 00:00:58.560]  其實已經在18節經文裏面講了出來
[00:00:58.560 --> 00:01:02.340]  現在約翰更仔細地將他的大綱
[00:01:02.340 --> 00:01:04.920]  一步一步地講得明白
[00:01:04.920 --> 00:01:06.280]  在第一章裏面
[00:01:06.280 --> 00:01:08.240]  我已經帶出了其中一個人物
[00:01:08.240 --> 00:01:09.800]  這個人施洗約翰
[00:01:09.800 --> 00:01:12.440]  他來是為了做什麼呢
[00:01:12.440 --> 00:01:13.840]  是為了做見證
[00:01:13.840 --> 00:01:15.240]  為誰做見證呢
[00:01:15.240 --> 00:01:16.840]  為耶穌做見證
[00:01:16.840 --> 00:01:18.320]  接著在這裏就會講
[00:01:18.320 --> 00:01:21.280]  如何為耶穌做見證 施洗約翰
[00:01:21.280 --> 00:01:25.160]  在第一章的1-19-20節裏說
[00:01:25.160 --> 00:01:27.760]  約翰所作的見證記載下面
