
[00:00:00.000 --> 00:00:02.480]  我們翻開聖經路教庇堪十二章
[00:00:02.480 --> 00:00:04.480]  剛才大家讀過的經文
[00:00:04.480 --> 00:00:12.880]  這段經文當我在預備的過程裏面
[00:00:12.880 --> 00:00:15.520]  也想回一位姊妹
[00:00:15.520 --> 00:00:17.440]  剛剛上星期聽到消息
[00:00:17.440 --> 00:00:21.040]  程文輝女士安息主懷的消息
[00:00:21.040 --> 00:00:24.520]  大家過去都可能曾經聽過我在講道當中
[00:00:24.520 --> 00:00:27.120]  有提及這位姊妹是第一位
[00:00:27.120 --> 00:00:30.720]  是香港失明的社工
[00:00:30.720 --> 00:00:34.120]  她兩本書伴你同行
[00:00:34.120 --> 00:00:36.520]  講述她在失明的生命裏面
[00:00:36.520 --> 00:00:39.640]  這位上帝怎樣陪伴她
[00:00:39.640 --> 00:00:43.160]  她怎樣經歷神奇妙的保守
[00:00:43.160 --> 00:00:45.160]  曾經帶給很多人
[00:00:45.160 --> 00:00:48.600]  包括我生命很多的鼓勵
[00:00:48.600 --> 00:00:50.880]  當我想翻譯一次講道的題目
[00:00:50.880 --> 00:00:55.520]  就是聖經所講我們為道勇敢
[00:00:55.520 --> 00:00:57.520]  我就感覺這幾句話
[00:00:57.520 --> 00:01:03.120]  這幾個字是很可以來形容程文輝女士
[00:01:03.120 --> 00:01:05.120]  很多人認為一個盲眼的人
[00:01:05.120 --> 00:01:07.680]  應該感覺很不安全
[00:01:07.680 --> 00:01:09.360]  大家都試過如果你閉上眼
[00:01:09.360 --> 00:01:11.160]  走一條路你會很害怕
[00:01:11.160 --> 00:01:13.160]  因為你不知道前面有什麼
[00:01:13.160 --> 00:01:16.520]  你都沒有把握自己能夠行走
[00:01:16.520 --> 00:01:19.760]  但是對一位失明的女士
[00:01:19.760 --> 00:01:23.640]  在她生命當中看到很大的安全感
[00:01:23.640 --> 00:01:25.640]  甚至很多時候你看她傳記的時候
[00:01:25.640 --> 00:01:28.840]  就會發覺她為了去救一些朋友
[00:01:28.840 --> 00:01:31.120]  她照顧很多青年朋友
[00:01:31.120 --> 00:01:35.080]  甚至夠膽去黑社會的地盤
[00:01:35.080 --> 00:01:38.040]  和黑社會的頭子討價還價
[00:01:38.040 --> 00:01:41.160]  要將這些青年救出來
[00:01:41.160 --> 00:01:44.240]  去到一些很崎嶇的木屋區
[00:01:44.240 --> 00:01:49.840]  很多山路上要來關懷這些青年朋友
[00:01:49.840 --> 00:01:51.840]  有些時候你會發覺很不明白
[00:01:51.840 --> 00:01:56.120]  為什麼她會這麼平安去面對
[00:01:56.120 --> 00:01:57.680]  有人解釋
[00:01:57.680 --> 00:02:01.200]  因為她很緊張這些人的生命
[00:02:01.200 --> 00:02:03.320]  甚至緊張到一個地步
[00:02:03.320 --> 00:02:04.840]  不緊張自己
[00:02:04.840 --> 00:02:06.680]  忘記了自己
[00:02:06.680 --> 00:02:09.360]  以致她不太介懷自己的安危
[00:02:09.360 --> 00:02:13.400]  就去很勇敢去幫助這些朋友
[00:02:13.400 --> 00:02:15.160]  又或者另一個角度來說
[00:02:15.160 --> 00:02:17.640]  她不僅不緊張自己
[00:02:17.640 --> 00:02:21.480]  而是她很相信神的保守
[00:02:21.480 --> 00:02:24.280]  很相信神會保護她、帶領她
[00:02:24.280 --> 00:02:26.840]  所以內心有一種很特別的勇氣
[00:02:26.840 --> 00:02:30.400]  能夠去面對很多的挑戰
[00:02:30.400 --> 00:02:31.120]  各位弟兄姊妹
[00:02:31.120 --> 00:02:33.320]  當我們今天讀聖經的時候
