
[00:00:00.000 --> 00:00:04.000]  我們今天繼續思想《心願記》第八章的經文
[00:00:04.000 --> 00:00:08.000]  我請大家先揭開的是《針研》第三十章
[00:00:08.000 --> 00:00:10.000]  聖經詩篇後面的《針研》
[00:00:10.000 --> 00:00:14.000]  我們首先看看第三十章
[00:00:14.000 --> 00:00:18.000]  在《針研》三十章第七到第九節
[00:00:18.000 --> 00:00:22.000]  當時的作者提出一個很重要的祈禱
[00:00:22.000 --> 00:00:26.000]  聖經說:我求你兩件事
[00:00:26.000 --> 00:00:30.000]  在我未死之先,不要不賜給我
[00:00:30.000 --> 00:00:33.000]  求你使虛假和謊言遠離我
[00:00:33.000 --> 00:00:37.000]  使我也不貧窮,也不富足
[00:00:37.000 --> 00:00:40.000]  賜給我需要的食,的飲食
[00:00:40.000 --> 00:00:44.000]  恐怕我飽足不認你說,又或說是誰呢?
[00:00:44.000 --> 00:00:50.000]  又恐怕我貧窮就偷竊,以致竊逐我神的名
[00:00:50.000 --> 00:00:53.000]  《針研》的作者很清楚知道
[00:00:53.000 --> 00:00:58.000]  在貧窮和富足裏面,蘊藏了危機
[00:00:58.000 --> 00:01:00.000]  因此他放膽向神求
[00:01:00.000 --> 00:01:03.000]  神啊,你不要讓我經歷這兩種處境
[00:01:03.000 --> 00:01:06.000]  只是賜給我需要的飲食
[00:01:06.000 --> 00:01:09.000]  他已經很感恩,很滿足
[00:01:09.000 --> 00:01:13.000]  但有些時候,神將這兩件事賜給我們
[00:01:13.000 --> 00:01:17.000]  樂意讓我們在當中面對這些可能的危險
[00:01:17.000 --> 00:01:19.000]  或者說可能的試驗
[00:01:19.000 --> 00:01:23.000]  以致我們最終可以蒙受更大的祝福
[00:01:23.000 --> 00:01:28.000]  又或者說神很多時候容許我們得到順境或者逆境
[00:01:28.000 --> 00:01:31.000]  當我們在順境的時候,我們要很留心
[00:01:31.000 --> 00:01:33.000]  免得我們自以為是
[00:01:33.000 --> 00:01:36.000]  免得我們以為可以隨便地鬆懈
[00:01:36.000 --> 00:01:38.000]  以致我們忘記了神
[00:01:38.000 --> 00:01:40.000]  又或者當我們在逆境的時候
[00:01:40.000 --> 00:01:43.000]  要很留心,知道神歡迎我們
[00:01:43.000 --> 00:01:46.000]  能夠堅持去跟隨真理
[00:01:46.000 --> 00:01:50.000]  不會放任自己,甚至放棄自己
[00:01:50.000 --> 00:01:53.000]  以致我們得到神給我們的祝福
[00:01:53.000 --> 00:01:56.000]  神有些時候給我們逆境或者順境
[00:01:56.000 --> 00:02:00.000]  但最終盼望我們能夠蒙受更大的恩典
[00:02:00.000 --> 00:02:04.000]  這是我們要常常留心,去準備自己去面對
[00:02:04.000 --> 00:02:06.000]  而聖經的生命記第八章
[00:02:06.000 --> 00:02:08.000]  正是描述當時以色列人
[00:02:08.000 --> 00:02:11.000]  他們將會面對著的順境逆境
[00:02:11.000 --> 00:02:14.000]  而神透過他們,相信要提醒我們
[00:02:14.000 --> 00:02:17.000]  請大家看回剛才的生命記第八章
[00:02:17.000 --> 00:02:21.000]  當他們將化入去應許之地的時候
[00:02:21.000 --> 00:02:23.000]  摩西第一句說話就提醒他們
[00:02:23.000 --> 00:02:25.000]  在第八章第一節
[00:02:25.000 --> 00:02:30.000]  「我今日所吩咐的一切誡命,你們要謹守進行
[00:02:30.000 --> 00:02:32.000]  好叫你們存活,人數增多
[00:02:32.000 --> 00:02:36.000]  且進去得而和,向你們列祖起誓
[00:02:36.000 --> 00:02:38.000]  應許的那地」
[00:02:38.000 --> 00:02:41.000]  聖經提到一個重要的關鍵的事情
[00:02:41.000 --> 00:02:44.000]  就是當他們去到應許之地
[00:02:44.000 --> 00:02:46.000]  要盡一切的努力
[00:02:46.000 --> 00:02:50.000]  要謹守遵行神的說話
[00:02:50.000 --> 00:02:52.000]  謹守意味著一種很留心
[00:02:52.000 --> 00:02:55.000]  很警覺著去遵守的意思
[00:02:55.000 --> 00:02:58.000]  如此這樣做就可以存活
[00:02:58.000 --> 00:02:59.000]  可以人數增加
[00:02:59.000 --> 00:03:01.000]  可以蒙受神的祝福
[00:03:01.000 --> 00:03:05.000]  當時的以色列人是在兩個階段之間
[00:03:05.000 --> 00:03:08.000]  他們剛剛走完曠野的路
[00:03:08.000 --> 00:03:11.000]  將快去到迦南美地
[00:03:11.000 --> 00:03:12.000]  在這個時間
[00:03:12.000 --> 00:03:14.000]  摩西清楚提醒他們
